"date","epu_index_rel","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8"
"1-2002",2.790084117076239,0.9069248443523917,1.9426683500664648,0.3509633636512476,1.3392636074681796,1.2865663380489694,2.0821331029548,0.6429539757246104,4.632040213645267,1.6170549875587357
"2-2002",1.5943337811864224,2.267312110880979,0.7770673400265858,0.3509633636512476,0.3348159018670449,2.2514910915856965,0.0,0.3214769878623052,0.5146711348494741,0.8085274937793678
"3-2002",1.6740504702457435,0.45346242217619587,0.0,0.7019267273024952,0.6696318037340898,2.2514910915856965,1.0410665514774,1.2859079514492209,1.5440134045484224,0.0
"4-2002",2.2320672936609913,1.3603872665285874,0.3885336700132929,0.7019267273024952,2.0088954112022694,2.8947742606101814,0.0,0.9644309635869157,1.0293422696989483,0.8085274937793678
"5-2002",2.630650738957597,2.267312110880979,0.7770673400265858,0.3509633636512476,1.6740795093352245,3.538057429634666,0.5205332757387,1.6073849393115263,0.5146711348494741,0.8085274937793678
"6-2002",4.384417898262662,3.1742369552333707,1.1656010100398788,0.0,4.687422626138629,3.8596990141469085,3.1231996544321996,2.5718159028984418,2.0586845393978965,0.4042637468896839
"7-2002",4.384417898262662,3.1742369552333707,1.5541346800531717,0.0,4.017790822404539,3.8596990141469085,2.6026663786935,2.893292890760747,2.0586845393978965,0.8085274937793678
"8-2002",3.268384251432166,0.45346242217619587,0.7770673400265858,0.3509633636512476,2.0088954112022694,4.824623767683636,2.6026663786935,1.2859079514492209,1.5440134045484224,1.6170549875587357
"9-2002",2.630650738957597,0.9069248443523917,0.7770673400265858,0.3509633636512476,2.0088954112022694,2.8947742606101814,0.5205332757387,2.250338915036137,1.0293422696989483,1.2127912406690518
"10-2002",2.072633915542349,1.3603872665285874,0.3885336700132929,0.3509633636512476,1.6740795093352245,1.2865663380489694,0.5205332757387,2.250338915036137,0.0,1.6170549875587357
"11-2002",1.7537671593050648,0.45346242217619587,0.7770673400265858,0.3509633636512476,1.3392636074681796,0.6432831690244847,0.5205332757387,2.250338915036137,1.5440134045484224,0.4042637468896839
"12-2002",1.7537671593050648,0.9069248443523917,0.3885336700132929,0.3509633636512476,0.6696318037340898,0.9649247535367271,0.5205332757387,1.6073849393115263,1.5440134045484224,1.6170549875587357
"1-2003",1.8334838483643858,0.45346242217619587,0.3885336700132929,1.4038534546049903,1.3392636074681796,2.5731326760979387,0.5205332757387,0.6429539757246104,0.0,0.8085274937793678
"2-2003",1.5943337811864224,0.9069248443523917,0.3885336700132929,1.0528900909537429,0.0,1.2865663380489694,0.0,2.250338915036137,1.0293422696989483,0.4042637468896839
"3-2003",3.0292341842542028,0.0,0.7770673400265858,0.7019267273024952,1.3392636074681796,5.146265352195877,0.5205332757387,2.250338915036137,0.0,2.4255824813381035
"4-2003",2.710367428016918,0.45346242217619587,0.7770673400265858,1.754816818256238,1.6740795093352245,2.5731326760979387,0.5205332757387,2.5718159028984418,1.5440134045484224,0.4042637468896839
"5-2003",2.1523506046016703,0.45346242217619587,1.1656010100398788,0.3509633636512476,2.0088954112022694,1.6082079225612118,0.5205332757387,2.250338915036137,0.0,1.2127912406690518
"6-2003",1.1160336468304957,0.9069248443523917,0.7770673400265858,0.0,1.3392636074681796,0.9649247535367271,0.0,0.3214769878623052,1.0293422696989483,0.0
"7-2003",0.9566002687118534,1.8138496887047835,0.0,0.3509633636512476,0.3348159018670449,0.9649247535367271,0.0,0.3214769878623052,0.0,0.8085274937793678
"8-2003",1.8334838483643858,0.45346242217619587,0.7770673400265858,1.0528900909537429,1.0044477056011347,1.9298495070734543,0.5205332757387,1.6073849393115263,0.5146711348494741,0.4042637468896839
"9-2003",1.195750335889817,0.9069248443523917,0.7770673400265858,0.3509633636512476,0.6696318037340898,1.2865663380489694,0.0,0.9644309635869157,0.5146711348494741,0.0
"10-2003",1.1160336468304957,0.45346242217619587,0.3885336700132929,0.3509633636512476,0.6696318037340898,1.6082079225612118,0.0,0.3214769878623052,0.5146711348494741,0.8085274937793678
"11-2003",1.0363169577711746,0.45346242217619587,0.7770673400265858,1.4038534546049903,0.0,0.32164158451224234,0.5205332757387,0.6429539757246104,0.5146711348494741,0.4042637468896839
"12-2003",1.355183714008459,0.9069248443523917,1.1656010100398788,0.3509633636512476,1.3392636074681796,0.32164158451224234,1.0410665514774,0.6429539757246104,1.0293422696989483,0.0
"1-2004",0.9566002687118534,0.0,1.5541346800531717,0.7019267273024952,0.3348159018670449,0.9649247535367271,0.5205332757387,0.3214769878623052,0.0,0.0
"2-2004",1.8334838483643858,0.9069248443523917,1.5541346800531717,0.0,0.0,2.2514910915856965,0.0,1.2859079514492209,2.0586845393978965,0.8085274937793678
"3-2004",1.5146170921271014,0.9069248443523917,1.5541346800531717,0.0,1.6740795093352245,0.9649247535367271,0.0,0.6429539757246104,1.0293422696989483,0.4042637468896839
