"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"1-2002",35,2,5,1,4,4,4,2,9,4
"2-2002",20,5,2,1,1,7,0,1,1,2
"3-2002",21,1,0,2,2,7,2,4,3,0
"4-2002",28,3,1,2,6,9,0,3,2,2
"5-2002",33,5,2,1,5,11,1,5,1,2
"6-2002",55,7,3,0,14,12,6,8,4,1
"7-2002",55,7,4,0,12,12,5,9,4,2
"8-2002",41,1,2,1,6,15,5,4,3,4
"9-2002",33,2,2,1,6,9,1,7,2,3
"10-2002",26,3,1,1,5,4,1,7,0,4
"11-2002",22,1,2,1,4,2,1,7,3,1
"12-2002",22,2,1,1,2,3,1,5,3,4
"1-2003",23,1,1,4,4,8,1,2,0,2
"2-2003",20,2,1,3,0,4,0,7,2,1
"3-2003",38,0,2,2,4,16,1,7,0,6
"4-2003",34,1,2,5,5,8,1,8,3,1
"5-2003",27,1,3,1,6,5,1,7,0,3
"6-2003",14,2,2,0,4,3,0,1,2,0
"7-2003",12,4,0,1,1,3,0,1,0,2
"8-2003",23,1,2,3,3,6,1,5,1,1
"9-2003",15,2,2,1,2,4,0,3,1,0
"10-2003",14,1,1,1,2,5,0,1,1,2
"11-2003",13,1,2,4,0,1,1,2,1,1
"12-2003",17,2,3,1,4,1,2,2,2,0
"1-2004",12,0,4,2,1,3,1,1,0,0
"2-2004",23,2,4,0,0,7,0,4,4,2
"3-2004",19,2,4,0,5,3,0,2,2,1
"4-2004",17,1,3,0,1,2,2,2,1,5
"5-2004",19,1,3,0,5,2,2,4,1,1
"6-2004",18,2,3,1,5,2,1,1,1,2
"7-2004",24,1,3,1,6,3,2,4,2,2
"8-2004",21,3,2,2,5,2,3,2,1,1
"9-2004",16,4,0,1,3,0,2,3,1,2
"10-2004",27,2,4,2,6,1,5,4,1,2
"11-2004",26,0,2,4,4,4,0,9,2,1
"12-2004",15,1,3,3,2,0,1,3,1,1
"1-2005",16,3,2,0,0,5,1,2,1,2
"2-2005",14,1,2,1,2,3,1,3,1,0
"3-2005",18,1,1,0,3,5,2,3,0,3
"4-2005",14,3,0,2,2,2,0,2,0,3
"5-2005",21,11,1,1,1,1,0,5,1,0
"6-2005",17,5,2,3,2,1,1,3,0,0
"7-2005",10,3,1,0,0,0,0,2,2,2
"8-2005",19,9,2,1,3,1,0,1,1,1
"9-2005",26,4,2,2,9,1,0,3,2,3
"10-2005",18,2,1,0,4,4,1,2,2,2
"11-2005",25,7,4,1,5,1,2,4,0,1
"12-2005",27,4,1,1,5,4,2,10,0,0
"1-2006",20,2,2,1,5,5,1,0,2,2
"2-2006",9,0,0,0,3,3,0,1,1,1
"3-2006",17,1,1,1,5,4,0,3,1,1
"4-2006",19,1,2,0,6,0,4,6,0,0
"5-2006",21,2,0,2,7,6,1,2,1,0
