"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"1-2002",35,0,0,0,0,3,21,0,0,11
"2-2002",20,0,0,0,0,2,13,0,0,5
"3-2002",21,0,0,0,0,6,12,0,0,3
"4-2002",28,0,0,0,0,2,14,0,0,12
"5-2002",33,0,0,0,0,5,15,0,0,13
"6-2002",55,0,0,0,0,7,25,0,0,23
"7-2002",55,0,0,0,0,9,26,0,0,20
"8-2002",41,0,0,0,0,5,20,0,0,16
"9-2002",33,0,0,0,0,8,13,0,0,12
"10-2002",26,0,0,0,0,8,8,0,0,10
"11-2002",22,0,0,0,0,7,10,0,0,5
"12-2002",22,0,0,0,0,6,13,0,0,3
"1-2003",23,0,0,0,0,7,3,0,0,13
"2-2003",20,0,0,0,0,7,9,0,0,4
"3-2003",38,0,0,0,0,11,11,0,0,16
"4-2003",34,0,0,0,0,8,7,0,0,19
"5-2003",27,0,0,0,0,7,8,0,0,12
"6-2003",14,0,0,0,0,1,4,0,0,9
"7-2003",12,0,0,0,0,2,7,0,0,3
"8-2003",23,0,0,0,0,8,7,0,0,8
"9-2003",15,0,0,0,0,3,5,0,0,7
"10-2003",14,0,0,0,0,4,2,0,0,8
"11-2003",13,0,0,0,0,3,8,0,0,2
"12-2003",17,0,0,0,0,1,9,0,0,7
"1-2004",12,0,0,0,0,1,4,0,0,7
"2-2004",23,0,0,0,0,5,10,0,0,8
"3-2004",19,0,0,0,0,3,7,0,0,9
"4-2004",17,0,0,0,0,5,6,0,0,6
"5-2004",19,0,0,0,0,5,6,0,0,8
"6-2004",18,0,0,0,0,3,5,0,0,10
"7-2004",24,0,0,0,0,6,6,0,0,12
"8-2004",21,0,0,0,0,2,10,0,0,9
"9-2004",16,0,0,0,0,2,8,0,0,6
"10-2004",27,0,0,0,0,2,12,0,0,13
"11-2004",26,0,0,0,0,10,8,0,0,8
"12-2004",15,0,0,0,0,5,5,0,0,5
"1-2005",16,0,0,0,0,4,9,0,0,3
"2-2005",14,0,0,0,0,4,5,0,0,5
"3-2005",18,0,0,0,0,5,3,0,0,10
"4-2005",14,0,0,0,0,5,5,0,0,4
"5-2005",21,0,0,0,0,4,14,0,0,3
"6-2005",17,0,0,0,0,4,5,0,0,8
"7-2005",10,0,0,0,0,2,7,0,0,1
"8-2005",19,0,0,0,0,3,11,0,0,5
"9-2005",26,0,0,0,0,6,9,0,0,11
"10-2005",18,0,0,0,0,2,8,0,0,8
"11-2005",25,0,0,0,0,4,15,0,0,6
"12-2005",27,0,0,0,0,9,11,0,0,7
"1-2006",20,0,0,0,0,2,9,0,0,9
"2-2006",9,0,0,0,0,0,3,0,0,6
"3-2006",17,0,0,0,0,2,7,0,0,8
"4-2006",19,0,0,0,0,6,2,0,0,11
"5-2006",21,0,0,0,0,1,8,0,0,12
"6-2006",24,0,0,0,0,1,10,0,0,13
"7-2006",19,0,0,0,0,2,6,0,0,11
"8-2006",15,0,0,0,0,5,5,0,0,5
"9-2006",14,0,0,0,0,3,7,0,0,4
"10-2006",17,0,0,0,0,6,6,0,0,5
"11-2006",18,0,0,0,0,7,10,0,0,1
"12-2006",10,0,0,0,0,2,6,0,0,2
"1-2007",11,0,0,0,0,3,7,0,0,1
"2-2007",9,0,0,0,0,4,5,0,0,0
"3-2007",12,0,0,0,0,2,8,0,0,2
"4-2007",9,0,0,0,0,5,3,0,0,1
"5-2007",14,0,0,0,0,2,6,0,0,6
"6-2007",8,0,0,0,0,1,3,0,0,4
"7-2007",11,0,0,0,0,2,5,0,0,4
"8-2007",21,0,0,0,0,7,8,0,0,6
"9-2007",11,0,0,0,0,2,4,0,0,5
"10-2007",7,0,0,0,0,2,3,0,0,2
"11-2007",12,0,0,0,0,5,4,0,0,3
"12-2007",17,0,0,0,0,3,12,0,0,2
"1-2008",15,0,0,0,0,3,4,0,0,8
"2-2008",10,0,0,0,0,4,2,0,0,4
"3-2008",15,0,0,0,0,2,4,0,0,9
"4-2008",22,0,0,0,0,7,7,0,0,8
"5-2008",13,0,0,0,0,3,5,0,0,5
"6-2008",23,0,0,0,0,5,13,0,0,5
"7-2008",13,0,0,0,0,6,4,0,0,3
"8-2008",17,0,0,0,0,4,5,0,0,8
"9-2008",28,0,0,0,0,8,9,0,0,11
"10-2008",53,0,0,0,0,4,30,0,0,19
"11-2008",42,0,0,0,0,8,23,0,0,11
"12-2008",36,0,0,0,0,9,17,0,0,10
"1-2009",24,0,0,0,0,6,12,0,0,6
"2-2009",24,0,0,0,0,5,12,0,0,7
"3-2009",14,0,0,0,0,4,8,0,0,2
"4-2009",19,0,0,0,0,3,10,0,0,6
"5-2009",12,0,0,0,0,2,6,0,0,4
"6-2009",19,0,0,0,0,8,5,0,0,6
"7-2009",17,0,0,0,0,4,6,0,0,7
"8-2009",12,0,0,0,0,2,5,0,0,5
"9-2009",19,0,0,0,0,3,5,0,0,11
"10-2009",20,0,0,0,0,3,6,0,0,11
"11-2009",16,0,0,0,0,7,5,0,0,4
"12-2009",23,0,0,0,0,5,8,0,0,10
"1-2010",15,0,0,0,0,3,7,0,0,5
"2-2010",15,0,0,0,0,2,10,0,0,3
"3-2010",13,0,0,0,0,1,7,0,0,5
"4-2010",17,0,0,0,0,4,6,0,0,7
"5-2010",24,0,0,0,0,8,10,0,0,6
"6-2010",23,0,0,0,0,2,7,0,0,14
"7-2010",13,0,0,0,0,0,11,0,0,2
"8-2010",9,0,0,0,0,2,2,0,0,5
"9-2010",15,0,0,0,0,2,8,0,0,5
