"newspaper","date","epu_news_rel","eu_news_rel","pol_impositiva_rel","pol_gasto_gub_rel","pol_fiscal_rel","pol_monetaria_rel","pol_salud_rel","pol_reg_financiera_rel","pol_regulacion_rel","pol_deuda_crisis_rel","pol_prog_derechos_rel","pol_comercial_rel","otras_politicas_rel","autoridades_intls_rel"
"busqueda","04-2012",0.1717171717171717,0.20202020202020202,0.04040404040404041,0.020202020202020204,0.06060606060606061,0.10101010101010101,0.0,0.030303030303030304,0.020202020202020204,0.10101010101010101,0.1414141414141414,0.030303030303030304,0.1717171717171717,0.06060606060606061
"busqueda","05-2012",0.15979381443298968,0.16494845360824742,0.02577319587628866,0.015463917525773196,0.041237113402061855,0.08762886597938144,0.010309278350515464,0.010309278350515464,0.015463917525773196,0.08247422680412371,0.12886597938144329,0.02577319587628866,0.14432989690721648,0.05670103092783505
"busqueda","06-2012",0.26973684210526316,0.26973684210526316,0.07236842105263158,0.046052631578947366,0.07894736842105263,0.1513157894736842,0.019736842105263157,0.06578947368421052,0.006578947368421052,0.09868421052631579,0.17763157894736842,0.02631578947368421,0.2236842105263158,0.05263157894736842
"busqueda","07-2012",0.17333333333333334,0.18666666666666668,0.03333333333333333,0.02,0.07333333333333333,0.1,0.0,0.02666666666666667,0.006666666666666667,0.09333333333333334,0.13333333333333333,0.02666666666666667,0.15333333333333332,0.02666666666666667
"busqueda","08-2012",0.1783783783783784,0.1891891891891892,0.02702702702702703,0.021621621621621623,0.05405405405405406,0.0918918918918919,0.005405405405405406,0.03783783783783784,0.005405405405405406,0.10810810810810811,0.12432432432432433,0.010810810810810811,0.15675675675675677,0.021621621621621623
"busqueda","09-2012",0.1518987341772152,0.16455696202531644,0.006329113924050633,0.02531645569620253,0.05063291139240506,0.05063291139240506,0.012658227848101266,0.02531645569620253,0.006329113924050633,0.056962025316455694,0.10759493670886076,0.0189873417721519,0.13924050632911392,0.0189873417721519
"busqueda","10-2012",0.21105527638190955,0.22110552763819097,0.04522613065326633,0.03015075376884422,0.05527638190954774,0.10552763819095477,0.04522613065326633,0.035175879396984924,0.03015075376884422,0.05527638190954774,0.18592964824120603,0.020100502512562814,0.20100502512562815,0.01507537688442211
"busqueda","11-2012",0.17964071856287425,0.17964071856287425,0.05389221556886228,0.023952095808383235,0.04790419161676647,0.0718562874251497,0.017964071856287425,0.029940119760479042,0.023952095808383235,0.0658682634730539,0.16766467065868262,0.017964071856287425,0.17964071856287425,0.023952095808383235
"busqueda","12-2012",0.16025641025641027,0.16025641025641027,0.038461538461538464,0.01282051282051282,0.02564102564102564,0.08333333333333333,0.0,0.02564102564102564,0.019230769230769232,0.057692307692307696,0.10897435897435898,0.019230769230769232,0.15384615384615385,0.02564102564102564
"busqueda","01-2013",0.1694915254237288,0.1751412429378531,0.06779661016949153,0.05084745762711865,0.06779661016949153,0.096045197740113,0.005649717514124294,0.04519774011299435,0.01694915254237288,0.096045197740113,0.13559322033898305,0.011299435028248588,0.1638418079096045,0.02824858757062147
