"newspaper","date","epu_news_avg","eu_news_avg","pol_impositiva_avg","pol_gasto_gub_avg","pol_fiscal_avg","pol_monetaria_avg","pol_salud_avg","pol_seguridad_nacional_avg","pol_regulacion_financiera_avg","pol_regulacion_avg","pol_deuda_crisis_avg","pol_prog_derechos_avg","pol_comercial_avg"
"Promedio","4-2012",4.65859929267676,5.008696793426656,2.3318625508994866,1.084160649450005,1.819110778840687,3.365069651218,0.16577836683181696,1.3275563337754115,2.162874408112605,1.3771229146159498,3.2662216770221435,4.205273821543104,2.6152040586247196
"Promedio","05-2012",4.53315328611724,4.63609166396338,1.6863159822111051,1.3137061028846955,2.519054822002438,2.944069292025834,1.99322197307632,1.13976471902414,1.7599904720731139,1.5774179246007698,3.6583138651218214,3.9092340870140525,2.7780566049583677
"Promedio","06-2012",6.076343483427338,6.344734948596922,3.412047594137471,1.7353614681655039,2.852190906205309,4.927209875128988,0.6313430496759599,2.139277686552046,4.951591529700479,2.6210139671013892,4.212598620612696,4.739053287799341,3.455072641682366
"Promedio","07-2012",5.642528430010557,5.670678911540544,1.6771132888670917,0.8423189026038651,3.663555106487569,5.293620694627921,1.6863350230397849,1.9582788053077687,2.942156152398662,3.5039143785825626,3.920218452390797,4.764641599010386,1.9705275607000303
"Promedio","08-2012",4.990791955450709,5.00596796241939,2.5813317273579948,1.3462225022831902,2.9021937526327743,3.9711869123202077,0.8806561736621643,1.5409456129777246,2.280873664377461,1.6799388603354772,3.969160016063672,3.9255612231003005,1.9082585330149897
"Promedio","09-2012",4.708840132715944,5.286596703569486,1.4071778415429577,1.4134437041845265,2.1020394199291963,3.38814759824907,1.0416886741615061,0.9786084066457672,2.0897786775707385,1.8408246078277306,2.6511757415430544,3.5877385402738535,1.2329850366185997
"Promedio","10-2012",4.0868654006749265,4.510707777484872,1.4120148488697837,1.0198754032270363,1.4909139657522115,3.0966650757822642,1.7480211035457807,2.326831687548153,1.9222608705662754,1.8673495007027248,1.220147307048139,3.3517578953224962,0.5036512152100953
"Promedio","11-2012",5.5195775303652255,5.74955913247648,2.4778286199422803,1.362796012470235,2.3849200591718076,3.7536440860345373,0.5746355901242269,2.501225485237827,1.852426770172175,2.5415733998178958,2.889558627605192,4.739036390163623,1.7595689585662047
"Promedio","12-2012",4.9626890781123185,4.996388773437528,2.549652001518734,2.114334055203798,1.2303817995002762,3.790183628181244,0.9938676717992118,1.875620334799299,1.5213390004963736,2.445412217561058,2.1132454550160213,3.9500361825472674,0.8519605971599554
"Promedio","01-2013",4.875377572643193,4.981129182348624,2.8934014851691163,1.9272320151477722,2.436023370352901,3.1445138049342245,0.1807234341821957,1.3750778409269744,1.5848382372747725,1.6438311483015298,4.063792236862482,4.350667643563767,2.3472864914549674
"Promedio","02-2013",3.323499328606477,3.3048750097700132,2.797019371415041,1.2991272603855861,1.4868557342110045,2.0262262715893793,1.0015424746422912,0.8450151482221897,0.7896927497646272,0.7277373259894494,2.063917838471,2.9808309143162357,0.6159374723562911
"Promedio","03-2013",4.463743963545725,4.598786501359139,2.388942411597006,1.670864223411541,2.1606310074308257,2.9719816933493397,0.3075773831754677,1.423075626053732,0.9746120102057724,2.549561470889295,1.5251434117133156,3.7715399519369517,1.1055819417688164
"Promedio","04-2013",3.903219389015207,4.533953641015543,2.3606277197085093,2.0416587175878167,2.0394543839707313,3.465483782634155,1.2238431318645997,1.4398741000306867,2.090793900891754,2.12977026212625,3.029379949589582,3.227289183362004,0.8210125058070185
"Promedio","05-2013",4.237395804294871,4.365683338179615,2.237447541037508,2.212981416669054,2.9340742275308576,3.0886445612593074,1.1499906554959665,1.1610877993806443,1.0051562066855002,2.0846510427607883,2.8333547861622264,3.3553695775135703,0.5077595499542961
"Promedio","06-2013",3.9188617309520364,4.661209722062446,2.0372708955545877,1.8530436816290328,1.5124922318167717,3.027398893461061,0.6734325863210239,0.9271262924843316,1.2218829568188578,0.8039688921232666,2.7273876432496458,3.4420951434279328,0.18566889225547265
"Promedio","07-2013",3.5681861285020986,3.9571645904569253,1.320785357600183,0.5756645948689999,1.67273964977249,2.590742916360004,0.8546485581868896,2.263281434431951,0.5461843695751698,1.616336122914527,2.452812555192819,2.9553913801990745,1.3146254322152482
"Promedio","08-2013",3.2648817222679676,3.4991554124171316,1.2074466707818114,0.4913465731542783,0.9327410343934316,2.270101407018428,0.38660143681203873,1.1823527682446402,0.6184169524304671,1.8460113377408724,1.508784429604705,2.7701587753520904,0.9862689872211289
"Promedio","09-2013",3.347450127128974,3.38158587389051,1.400203580355724,0.6291779021964521,1.0046629637772113,2.073591255550094,0.6664176635468465,1.2663087130023598,0.6132899419477718,1.5802299598734486,1.7736645652993575,2.661714629296867,0.889021074518598
"Promedio","10-2013",5.110658432067139,5.10629556523415,1.5252000427443226,1.4914526603380527,1.504036471285364,2.7155382340350003,3.0148124627760926,2.184864073241282,0.8273301312095852,1.2835255688468579,1.855968283221223,4.370479243347233,0.16717465894649633
"Promedio","11-2013",3.627430323055547,3.989809312505509,1.8277009137559297,0.26386790932274096,0.7559470759764082,2.23839169620922,0.9153004376113286,0.8378342251688652,1.3092867362302678,1.5337768054471719,1.4528104258418983,3.1225491154556635,0.9491929517090728
"Promedio","12-2013",3.649495592593167,4.046891280263922,1.040700536264587,0.30683528222714324,0.9406436396822686,2.3704796545629296,1.4663819729394485,2.099671522521202,0.7986163907421423,1.228586004713942,1.4015537503960196,2.9722695947821904,1.1593712946285928
