"newspaper","date","epu_news_std","eu_news_std","pol_impositiva_std","pol_gasto_gub_std","pol_fiscal_std","pol_monetaria_std","pol_salud_std","pol_seguridad_nacional_std","pol_regulacion_financiera_std","pol_regulacion_std","pol_deuda_crisis_std","pol_prog_derechos_std","pol_comercial_std"
"busqueda","04-2012",5.732609142572706,6.507250617298693,1.2808043762664483,1.2283260123281383,3.0660454884849475,4.037344612967553,0.0,2.867797599307043,1.938302772407057,2.549424007257679,2.5797895987417365,4.8523015671743295,2.3340785079265443
"busqueda","05-2012",5.33455956899807,5.645207623151392,1.3072127139214265,0.940239241395508,2.0861752808248095,3.891667230025425,0.9893210675334629,1.463463723357718,0.9891338890118485,1.734659633804194,3.4228754779181596,4.5986098062985,1.985169864989071
"busqueda","06-2012",8.346004486980851,8.688463899873485,4.588144624191322,2.800098442576973,3.9939276757896023,6.720053862373625,1.8940291490278798,3.1130697624056713,4.418565201572665,1.660480109990199,4.36867001786923,6.095019778692191,1.520222186083736
"busqueda","07-2012",6.009123230626213,6.442178111125706,2.1133272208396394,0.40534758406828564,3.3726500373334423,4.441079074264309,0.0,2.523661887390198,1.9189197446829862,2.243493126386758,4.42691895144082,4.803778551502587,2.5674863587191985
"busqueda","08-2012",6.135441136375113,6.442178111125706,1.7135085574375457,1.64330101649305,2.461123000216296,4.321049910095003,0.5187251002743023,1.5346592558453906,3.1117617481345725,0.9095242404270639,4.969929799954351,4.636851883689756,0.832698278503524
"busqueda","09-2012",5.0709900680389985,5.708259085807588,0.40126466218474166,1.5392946230441227,2.561506357468437,2.24864763253889,1.2147359943132394,0.598970384665395,1.2145061675208773,0.5324746344272367,1.9397405337374578,3.691873208659312,1.4624922296501766
"busqueda","10-2012",7.045873134737604,7.283869723634592,2.8673283900839333,1.8332302797058144,2.796418372663407,4.686565857263843,4.34008689425484,3.3289509821101855,3.3749844755730916,3.8049192470127173,1.540095499148333,6.379748973639472,1.161174735099135
"busqueda","11-2012",6.396937570859575,6.36502627745953,1.8981981025505745,1.4563386253950383,2.423461104670737,3.723060301778462,1.723906770372681,4.533524348605146,1.1490537393311295,2.518891983218665,3.6704072374912373,5.753028205392319,0.9224501887613887
"busqueda","12-2012",5.350002876269777,5.574961826935707,2.4384544855841996,0.38975729237335155,0.9728798184615699,3.7008992285535904,0.0,0.6066494921611052,1.845115139118256,3.7751086261315634,2.6194786694916097,3.9591581468427917,0.9874947533535379
"busqueda","01-2013",5.0924773140900115,5.641455408047935,3.940101598175599,3.09163411577506,3.429813597288246,4.265443178671935,0.542170302546587,1.0693482573687279,2.7103386224335964,0.950632680672355,4.040212863114178,4.652570025668365,0.8703343588878639
"busqueda","02-2013",4.404835701462116,4.250048059423209,3.081935530391141,2.533422400426785,2.107906273333401,2.158857883322928,1.9992529906405396,1.971610849523592,0.0,0.5842430016632181,2.1283264189619326,4.527370658658192,1.069785982799666
"busqueda","03-2013",5.457002933795172,5.574961826935707,2.4384544855841996,1.7539078156800822,1.9457596369231398,3.416214672511007,0.922732149526403,2.7299227147249736,1.845115139118256,1.6179036969135272,1.4734567515890304,4.948947683553489,2.962484260060614
"busqueda","04-2013",4.909414404106383,5.921119587431716,3.729400977952305,0.8941490825035713,2.231900760000072,4.245149115105589,1.411237405158028,1.391725305546065,3.5274260012554897,2.4744409482206886,2.629109105776505,4.289087992413024,0.5663572850115879
"busqueda","05-2013",5.149662343030738,5.482704775426132,1.3489322686210465,1.9404937535183886,3.2291330144681893,3.3071865446649107,1.531342716235307,0.5033900041336831,0.5103509959263262,1.790021111478796,3.8038174296340923,3.6502876531174673,0.40970527000838275
"busqueda","06-2013",4.5683392981368875,6.1031161052769844,2.6694659631658606,1.920067503481353,1.5975710703158412,2.804892046903774,2.0202977589630717,0.9961823239698149,1.0099577603594665,0.8855893919947727,3.2260947824265087,3.9730499298141697,0.0
"busqueda","07-2013",5.180278647091563,5.553601819935954,2.1862005732823855,0.69887514494532,2.0352198501150083,3.8285164433313006,1.6545541991507915,1.0877852962888783,1.1028274394729807,2.417557248261592,3.22918491152845,3.9439889585407117,1.7706802473925507
"busqueda","08-2013",4.418472963695745,4.736895669945373,0.4661751222440381,0.44707454125178564,1.4879338400000481,2.612399455449593,0.705618702579014,2.78345061109213,0.0,2.4744409482206886,0.7511740302218586,4.0367886987416695,1.1327145700231758
"busqueda","09-2013",5.795836449292258,6.039541979180349,2.6416590260495494,1.2667112002133925,1.0539531366667005,3.0840826904613254,1.9992529906405396,3.28601808253932,0.0,2.9212150083160906,1.418884279307955,5.4805013236388636,1.6046789741994991
"busqueda","10-2013",7.554047856829384,7.523711662628561,2.776634304752811,3.1066785640270065,1.846341261313928,3.5658299136428755,4.202809206602011,4.144700180020398,0.7003356732419658,1.2281896677299768,2.237073024310353,6.261442324690546,0.0
"busqueda","11-2013",4.274782786014582,4.713788861799297,1.546336990858273,0.370744741525871,0.9254222663414933,2.4371775407548033,0.585147216772841,1.7311705020207149,2.3401460301012027,1.0259877102378465,1.245849611099668,3.55680467663519,0.4696621387900973
"busqueda","12-2013",4.2296493327685765,4.955521623942851,2.581892984736211,0.2751227946164835,1.1445644923077292,3.416214672511007,0.8684537877895558,1.7128926837490033,0.4341447386160603,1.9034161140159143,1.84904376669996,3.5710053873484,1.3941102400285244
"busqueda","01-2014",4.3458484902622185,4.574327652870324,1.8757342196801534,0.0,0.2993476364497138,2.89064318443239,1.7035055068179747,0.559984146610251,1.135455470226619,1.9912660885089564,2.115732771512454,3.4515737690424335,1.3673004277202834
"busqueda","02-2014",3.8101324831869103,4.376479695058224,0.6891284415781433,0.3304464000556676,1.37472148260874,3.379081904331539,0.5215442584279669,0.514333265093111,1.0428911655885795,0.914467306951124,3.331293525331721,3.1701954726531043,0.0
"busqueda","03-2014",4.619172294681226,4.456852781281935,1.1962229551922487,1.1472101435894875,1.5908726591195483,2.5138183439231936,0.0,1.7856098259836304,0.0,1.0582514747107348,0.9637704538695544,3.452850710873378,1.9377255537503386
"busqueda","04-2014",5.00760269218851,5.4172861389011615,3.1699908312594594,0.5527467055476621,1.1497670581818553,3.229875690374042,0.0,2.1508481994802824,1.744472495166351,1.1472408032659556,1.6252674472072939,3.4312703939304194,1.0503353285669448
"busqueda","05-2014",5.89129728492766,6.394809154426252,1.8647004889761525,0.44707454125178564,0.0,3.2654993193119917,0.0,2.0875879583190975,0.7054852002510978,3.711661422331033,1.126761045332788,4.0367886987416695,2.8317864250579396
"busqueda","06-2014",5.357928806456843,6.163812390274595,1.174070678244244,2.2519310226015867,1.8736944651852456,3.8379695703518713,0.0,1.752542977354304,1.1845183609154235,3.6352897881266903,4.09899902911187,3.6007158454825383,1.4263813103995546
"busqueda","07-2014",5.355724804479691,5.684274803934447,1.3561458101644746,1.6257256045519477,2.4348008290909875,4.037344612967553,1.539531714717849,1.5182457878684346,1.5392404369114865,2.249491771109717,3.0046961208874343,3.8532983033443213,0.8237924145623097
"busqueda","08-2014",5.712773124778336,6.201027058837577,2.712291620328949,1.300580483641558,2.9758676800000963,3.5623628937949,4.105417905914264,2.530409646447391,1.0261602912743242,3.1492884795536034,2.7315419280794857,4.770750280331064,0.8237924145623097
"busqueda","09-2014",4.976499569876781,6.00202929607985,1.1813630427053885,1.1329590859051462,1.57111026583856,3.861807890664616,0.5960505810605335,2.3512377832827926,2.9796890445387985,2.6127637341460686,2.5381284002527393,2.557468616594101,0.47841360721475745
"busqueda","10-2014",3.9486472841629836,4.502597604550224,2.045155375006103,0.9806796388748845,1.9039153436559755,2.387676921647478,2.0637450225966862,1.017605599754112,1.031677282087627,1.356951487733926,1.9223593461591653,3.1361073492912435,0.41411070301922565
"busqueda","11-2014",4.996247584042958,5.258920907041392,2.5877476173546605,2.068099918715743,2.06488777795925,2.11479955917348,0.0,1.2875825956072438,0.6526937907084988,1.7169590252959879,2.0848911859218933,3.734716075026306,1.5719304237056317
"busqueda","12-2014",5.799101709263691,6.200218369862768,2.381213769960157,1.712736270711066,2.1375950940845763,3.9615259347897585,0.45053588521476956,1.7772266812607027,1.3513519328753425,1.9749059211151034,2.3981142748866846,4.510590189204307,1.80808898501352
"busqueda","01-2015",4.437116309534123,5.096659898042489,0.8025293243694833,1.154470967283092,1.2807531787342186,1.6864857244041678,0.6073679971566197,2.9948519233269755,1.2145061675208773,1.5974239032817104,2.5863207116499436,3.2575351841111577,3.412481869183745
"busqueda","02-2015",4.909414404106383,4.736895669945373,1.8647004889761525,0.5960993883357142,1.4879338400000481,2.612399455449593,0.0,0.9278168703640433,1.881293867336261,1.6496272988137923,3.0046961208874343,4.0367886987416695,1.5102860933642344
"busqueda","03-2015",5.564002991320567,5.560213250673972,1.132139582592664,1.809587428876275,1.806776805714344,3.4365492836569054,1.1424302803660227,2.2532695423126765,1.1422141337398728,3.0046782942679786,4.560699469204142,3.4721188510010195,0.9169594138282852
"busqueda","04-2015",5.539052305260834,5.4888513054434265,1.9901287729880013,1.0906213024258806,1.5880190758744908,3.385575975896558,0.0,0.42438260438175973,0.8605021276605319,2.640883164468717,2.748690621798371,4.308321570854338,3.7994192752346883
"busqueda","05-2015",4.0878389323987845,4.382434089201161,0.43129126955911007,0.8272399674862971,1.032443888979625,1.8126853364344115,0.0,0.6437912978036219,1.958081372125496,1.7169590252959879,2.779854914562524,3.0344568109588743,1.0479536158037546
"busqueda","06-2015",5.4183484627519665,5.90251921176439,1.659681063486628,0.6366715980130141,1.8540746278534628,3.487758435286106,1.507290212838941,0.49548335485409645,2.0093400467884672,1.321429197479111,2.139469489218278,4.670839279695858,3.2261608695948047
"busqueda","07-2015",4.430106647117798,4.579747472364246,2.1033114520204945,1.152647158488016,2.6373803609479523,2.5257321749370476,0.9096127350781603,2.242590539742474,1.8188812745810297,2.791075571926654,2.1787606942927846,3.740247348834106,2.1902727230779893
"busqueda","08-2015",5.79722467359149,6.17214669329409,2.2778377230606894,2.1845079380925574,2.423461104670737,4.7867918165723085,1.149271180248454,2.8334527178782163,1.723580608996694,2.518891983218665,3.976274507282174,4.725701740143691,0.9224501887613887
"busqueda","09-2015",6.012287592517011,6.564304710388752,2.1033114520204945,1.44080894811002,3.116904062938489,3.7885982624055714,0.45480636753908016,1.3455543238454846,0.4547203186452574,2.791075571926654,3.3891833022332203,4.71596404852996,2.1902727230779893
"busqueda","10-2015",6.087673861091915,6.63165393792352,2.237640586771383,1.7882981650071426,2.9758676800000963,3.3961192920844714,1.6934848861896337,1.6700703666552779,0.5643881602008783,2.4744409482206886,3.6056353450649214,5.449664743301254,0.45308582800927033
"busqueda","11-2015",3.4936762968757056,4.494542868227237,0.7372071700603393,1.7675040002977571,2.353011653953564,2.582022717595528,1.115862134310999,1.6506509437871932,1.67347652152586,0.4891336758110663,2.375806235120297,3.1918794362143434,0.4478173881486974
"busqueda","12-2015",6.545885872141844,6.947446982586546,4.350967807611023,2.0863478591749995,3.223856653333437,3.9185991831743903,1.411237405158028,1.8556337407280865,2.351617334170326,1.6496272988137923,3.2550874642947205,5.382384931655559,2.2654291400463515
"busqueda","01-2016",5.202704095780271,5.229040674615021,1.2350613628283607,1.184457226173562,1.9710292425974663,3.7489628548984424,0.6231437892905579,3.687168341966198,0.6230258911308397,2.7315257220617988,3.9802468094872507,4.233385550953114,1.0003193605399476
"busqueda","02-2016",6.384921465449831,7.04063181543793,2.7715766830683797,0.9967563542662762,1.6586803462295618,2.9121829995175794,1.5731826811597691,1.5514314881497118,1.0485900244169324,2.75839318818044,2.232998210058421,5.250031203827964,1.2626982092061634
"busqueda","03-2016",3.755702019141383,4.83163358334428,1.5849954156297297,1.5200534402560713,1.897115646000061,2.4981069792736736,0.599775897192162,0.0,1.1993248404268664,1.577456104490689,2.2347427399100295,3.8601791931717218,0.9628073845196995
"busqueda","04-2016",4.604692130748056,5.18336169860689,1.0931002866411927,1.04831271741798,1.1629827714942904,2.8075787251096207,0.5515180663835972,2.1755705925777566,0.0,1.4505343489569553,1.7613735881064272,3.352390614759605,1.328010185544413
"busqueda","05-2016",4.29501985294921,5.274297868757888,1.4830366462032558,1.422272224801002,1.183385978011734,2.077697812521314,1.122387643868373,1.1068692488553498,1.122175289288296,0.9839882133275253,2.688412318688757,3.2105453978296317,1.3513086098522098
"busqueda","06-2016",5.180278647091563,5.692441865434352,2.459475644942684,1.3103908967724751,3.270889044827692,2.4885356881653453,2.0681927489384897,2.855436402758306,0.0,0.7252671744784777,1.5412018895931239,3.9932888205224706,0.6640050927722065
"busqueda","07-2016",5.500775684601016,5.490492708345772,1.8011311541246928,1.3818667638691555,2.5869758809091747,2.5233403831047205,1.0905016312584763,1.6131361496102115,0.0,0.4780170013608149,2.6120369687260085,3.899170902193658,4.814036922598498
"busqueda","08-2016",5.33455956899807,6.30934969646332,1.6340158924017831,2.5073046437213544,2.346947190927911,3.6627456282592235,0.49466053376673147,0.0,1.978267778023697,0.867329816902097,2.632981136860123,4.5986098062985,2.3822038379868853
