"newspaper","date","epu_uruguay","eu_uruguay","pol_impositiva","pol_gasto_gub","pol_fiscal","pol_monetaria","pol_salud","pol_seguridad_nacional","pol_regulacion_financiera","pol_regulacion","pol_deuda_crisis","pol_prog_derechos","pol_comercial"
"EPU Final","4-2012",116.11201115951407,118.33881460547204,136.89072505140288,73.00760443329322,100.71117016983955,124.94545170402657,17.366433116562508,85.29881888682023,193.03183865175527,86.04040831557069,158.11320646605392,128.44746537783524,191.32253350060202
"EPU Final","05-2012",112.9853657456334,109.53539703895643,98.99426421235795,88.46524318113234,139.4620722370314,109.3136563776555,208.80381887830956,73.23273737480046,157.07532326405723,98.55451599598152,177.093838897363,119.40511637392888,203.2364649006484
"EPU Final","06-2012",151.44819677147316,149.9049440940899,200.3024015678814,116.85960349222994,157.90543767475972,182.94791112739708,66.13756098180998,137.45394850015407,441.9187788460709,163.75670576442923,203.92598584025427,144.75142617109194,252.76545784458264
"EPU Final","07-2012",140.6356895866039,133.9792461146077,98.4540250958621,56.72193072049369,202.8248779830724,196.55279010366613,176.6552834933387,125.82431712619491,262.5810401047196,218.91889288627416,189.77227232170446,145.5330051735151,144.15942954912313
"EPU Final","08-2012",124.39165826883969,118.27434142213173,151.53567761527015,90.65490430384932,160.67373811809068,147.45066045850552,92.25483898093611,99.00961444101213,203.5630157330086,104.95985794323144,192.14146471798907,119.9038185598398,139.60396547509362
"EPU Final","09-2012",117.36422552971402,124.90466342834932,82.60761121223854,95.1815940711204,116.37490810708901,125.80233872719856,109.1241097003887,62.878040739865654,186.50820361720767,115.0117387590043,128.3396960926938,109.58523546689038,90.20245291996707
"EPU Final","10-2012",101.86198279739551,106.57299362177083,82.89156510128433,68.67862253423216,82.54125689319066,114.97955667266903,183.11732803994153,149.50476273337657,171.55760353997107,116.66897108683013,59.06561836739478,102.37735388568429,36.84600678744968
"EPU Final","11-2012",137.5712327971709,135.84292288051356,145.45958388764242,91.77096793927157,132.0359885250016,139.3732684540353,60.197061492425846,160.7100009486257,165.3250619050512,158.79338784026373,139.87947697991157,144.75091004335067,128.72616571226058
"EPU Final","12-2012",123.69121562457552,118.04801710749503,149.6759365092203,142.3796966072028,68.11745179274632,140.72998616623067,104.11452820333915,120.51330340422933,135.77619827436115,152.78539298542998,102.29924603495704,120.6513909272046,62.3275492991726
"EPU Final","01-2013",121.5150433761227,117.68748382003491,169.85556332075552,129.78020617559363,134.8652138412747,116.75618589494721,18.932032522100034,88.35219472377786,141.44336710411014,102.70390660165617,196.72247768804107,132.88842896609867,171.7222780057438
"EPU Final","02-2013",82.83566945506952,78.08318355159746,164.19750365995228,87.4835008841672,82.3165816001359,75.23403168391049,104.91851700359292,54.29433934441082,70.47836105751834,45.4678489552806,99.91136536104882,91.04762065727263,45.06062052807216
"EPU Final","03-2013",111.25539166315178,108.6540003596757,140.24156728423623,112.51634556784079,119.61870579551689,110.35004728571506,32.22086304242025,91.43617261332814,86.98200302174406,159.2924695775164,73.83005165969772,115.19933491983157,80.88192483264972
"EPU Final","04-2013",97.28474693408488,107.12221591414645,138.57936866934432,137.4857242024533,112.9100217022515,128.67384080370473,128.20605185628983,92.51551663277193,186.59881009142677,133.06459505309013,146.64803090471142,98.57553472987425,60.063455518373814
"EPU Final","05-2013",105.61383755177219,103.14654939006358,131.34814315661833,149.0226305191623,162.43873229541197,114.6817539779739,120.46949300449741,74.60279868456503,89.7080061518876,130.24561933503173,137.15872791111016,102.48767046502739,37.14656345305168
"EPU Final","06-2013",97.67462029889332,110.12885305021585,119.59688186210313,124.78434831094133,83.73589135464053,112.4076947693638,70.54673171393064,59.570185984445686,109.0503974189646,50.23067368724596,132.02900727278833,105.13664877128917,13.583124705476306
"EPU Final","07-2013",88.93430010671796,93.49461270005263,77.53598734600497,38.765373978264854,92.60764626189301,96.19460441671475,89.53036097271176,145.4214998293049,48.745767533468275,100.9860619664121,118.73721269136695,90.27058595836608,96.17508334244975
"EPU Final","08-2013",81.37467061534956,82.67338206002118,70.88250126941095,33.087380796102146,51.63920863525148,84.2891455786657,40.49918046287977,75.9691261854142,55.192368513545794,115.33579723977816,73.03813629954021,84.61277160248696,72.15325348166148
"EPU Final","09-2013",83.43262472222355,79.89560564496408,82.19819099566101,42.36897126365041,55.62101213692122,76.99269938749974,69.81186992524385,81.36350587700484,54.7347939745206,98.73020740340142,85.86061184627911,81.3004128151712,65.03881169478312
"EPU Final","10-2013",127.37923818205896,120.64474835211179,89.53604045794403,100.43473346148653,83.26775629233458,100.82826997302979,315.8225044338632,140.3829880015147,73.83741552462332,80.19259781023742,89.84481929804282,133.49356192182435,12.230127580775711
"EPU Final","11-2013",90.41091617668991,94.26589869912219,107.29418985893962,17.76892009154508,41.85138997228719,83.11176010047016,95.88406578684423,53.83294705590147,116.85099470820789,95.82788958415452,70.32851335020348,95.37631469879074,69.44085288602491
"EPU Final","12-2013",90.96087608133705,95.61455538138402,61.09375997126849,20.662351951605466,52.07671944288703,88.01620230575803,153.61367676049747,134.9091532801569,71.27477661400968,76.76006286327967,67.8472496427975,90.78612049316813,84.8170346878639
"EPU Final","01-2014",91.56811724764962,86.81836534321184,110.60028548844225,49.86486512998032,49.78840135395123,99.1577296952498,123.43628191389185,85.35127214013447,160.41800158632532,108.21019882484116,81.68253797556753,90.18158418593124,78.02090091297501
"EPU Final","02-2014",56.80525131799051,55.80032093223417,17.47601863306876,7.417443184860293,41.30624012462317,65.82761898357177,18.211792154411448,23.95040277597701,31.025256398329418,27.96823665813848,92.27547425566493,55.76108796609319,46.00724862199788
