"newspaper","date","epu_news_rel","eu_news_rel","pol_impositiva_rel","pol_gasto_gub_rel","pol_fiscal_rel","pol_monetaria_rel","pol_salud_rel","pol_reg_financiera_rel","pol_regulacion_rel","pol_deuda_crisis_rel","pol_prog_derechos_rel","pol_comercial_rel","otras_politicas_rel","autoridades_intls_rel"
"el_observador","04-2012",0.024979524979524978,0.02661752661752662,0.0045045045045045045,0.0036855036855036856,0.006142506142506142,0.011875511875511875,0.0004095004095004095,0.004095004095004095,0.000819000819000819,0.011875511875511875,0.01678951678951679,0.005733005733005733,0.020475020475020474,0.007780507780507781
"el_observador","05-2012",0.02586206896551724,0.027504105090311988,0.00451559934318555,0.0028735632183908046,0.006568144499178982,0.010262725779967159,0.0012315270935960591,0.0049261083743842365,0.0016420361247947454,0.01600985221674877,0.019704433497536946,0.006157635467980296,0.02175697865353038,0.0069786535303776685
"el_observador","06-2012",0.03305455993628036,0.03663878932696137,0.005973715651135006,0.005177220230983672,0.008761449621664676,0.01632815611310235,0.0,0.009159697331740343,0.001991238550378335,0.019514137793707687,0.02429311031461569,0.007168458781362007,0.02867383512544803,0.009557945041816009
"el_observador","07-2012",0.027578390630902908,0.02871174914998111,0.0056667925953910086,0.0011333585190782018,0.006422364941443143,0.015867019267094825,0.0011333585190782018,0.00680015111446921,0.0018889308651303363,0.013978088401964487,0.020022667170381564,0.004533434076312807,0.02455610124669437,0.006044578768417076
"el_observador","08-2012",0.023520485584218515,0.02541729893778452,0.0030349013657056147,0.0018968133535660092,0.004552352048558422,0.013277693474962063,0.00037936267071320183,0.0037936267071320183,0.0011380880121396055,0.014415781487101669,0.013657056145675266,0.0034142640364188165,0.019726858877086494,0.004552352048558422
"el_observador","09-2012",0.023987416437278804,0.027133307117577665,0.003932363350373574,0.001966181675186787,0.003932363350373574,0.01219032638615808,0.0015729453401494297,0.0027526543452615023,0.0,0.009437672040896579,0.014549744396382226,0.001966181675186787,0.019661816751867872,0.005898545025560362
"el_observador","10-2012",0.01935243766282099,0.021585411239300335,0.00297729810197246,0.002232973576479345,0.0018608113137327876,0.010048381094157052,0.0003721622627465575,0.0018608113137327876,0.0003721622627465575,0.009676218831410495,0.011537030145143283,0.000744324525493115,0.016747301823595087,0.0018608113137327876
"el_observador","11-2012",0.029552715654952075,0.031150159744408944,0.008386581469648562,0.004792332268370607,0.00718849840255591,0.012779552715654952,0.0,0.003194888178913738,0.001996805111821086,0.013977635782747603,0.020766773162939296,0.003993610223642172,0.02755591054313099,0.00718849840255591
"el_observador","12-2012",0.025865665415102213,0.028368794326241134,0.008760951188986232,0.0020859407592824365,0.004171881518564873,0.011264080100125156,0.0008343763037129745,0.003337505214851898,0.0012515644555694619,0.010429703796412181,0.01835627868168544,0.003337505214851898,0.020859407592824362,0.007509386733416771
"el_observador","01-2013",0.027346938775510202,0.030204081632653063,0.008979591836734694,0.004897959183673469,0.007346938775510204,0.012244897959183673,0.0,0.002857142857142857,0.00040816326530612246,0.014693877551020407,0.02,0.002857142857142857,0.02489795918367347,0.0069387755102040816
"el_observador","02-2013",0.016556291390728478,0.01903973509933775,0.00869205298013245,0.0024834437086092716,0.0033112582781456954,0.009519867549668874,0.0008278145695364238,0.0041390728476821195,0.0016556291390728477,0.007036423841059603,0.012417218543046357,0.0008278145695364238,0.014072847682119206,0.0028973509933774835
