"date","epu_index_rel","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8"
"1-2002",2.790084117076239,1.4401214000685336,1.301417336746197,1.101238074094916,1.1909974081441255,0.47683645657028983,0.3527347328413249,4.935519409365247,1.004071662869375,1.993435594171081
"2-2002",1.5943337811864224,2.4002023334475564,0.9760630025596477,1.101238074094916,0.29774935203603137,0.9536729131405797,0.7054694656826498,0.8225865682275412,0.5020358314346876,0.3986871188342162
"3-2002",1.6740504702457435,4.320364200205601,0.0,0.7341587160632773,0.29774935203603137,0.47683645657028983,0.7054694656826498,0.8225865682275412,1.004071662869375,0.7973742376684324
"4-2002",2.2320672936609913,2.8802428001370672,2.277480339305845,1.8353967901581931,0.29774935203603137,0.9536729131405797,0.3527347328413249,1.2338798523413117,1.5061074943040627,0.0
"5-2002",2.630650738957597,4.320364200205601,1.9521260051192955,2.202476148189832,0.29774935203603137,1.4305093697108695,0.3527347328413249,0.8225865682275412,1.5061074943040627,0.7973742376684324
"6-2002",4.384417898262662,5.280445133584624,3.578897676052042,5.139111012442941,0.5954987040720627,2.861018739421739,0.7054694656826498,1.6451731364550823,0.0,1.993435594171081
"7-2002",4.384417898262662,2.8802428001370672,2.602834673492394,5.139111012442941,0.5954987040720627,2.861018739421739,1.4109389313652996,2.4677597046826234,2.00814332573875,1.993435594171081
"8-2002",3.268384251432166,6.240526066963646,0.9760630025596477,1.4683174321265546,0.5954987040720627,0.47683645657028983,1.4109389313652996,2.056466420568853,1.004071662869375,2.7908098318395136
"9-2002",2.630650738957597,4.800404666895113,0.0,2.5695555062214703,0.0,1.9073458262811593,1.7636736642066244,0.8225865682275412,1.004071662869375,1.1960613565026486
"10-2002",2.072633915542349,1.4401214000685336,0.9760630025596477,1.4683174321265546,0.29774935203603137,0.47683645657028983,3.174612595571924,0.4112932841137706,1.004071662869375,0.7973742376684324
"11-2002",1.7537671593050648,0.9600809333790224,0.6507086683730985,1.101238074094916,0.5954987040720627,1.4305093697108695,0.3527347328413249,1.6451731364550823,1.5061074943040627,0.7973742376684324
"12-2002",1.7537671593050648,1.920161866758045,1.301417336746197,0.36707935803163866,0.29774935203603137,1.4305093697108695,1.0582041985239745,0.8225865682275412,1.5061074943040627,0.3986871188342162
"1-2003",1.8334838483643858,3.3602832668265785,0.32535433418654924,1.8353967901581931,0.29774935203603137,0.0,1.7636736642066244,0.0,1.004071662869375,0.7973742376684324
"2-2003",1.5943337811864224,1.920161866758045,0.6507086683730985,0.0,0.0,0.9536729131405797,1.7636736642066244,1.6451731364550823,1.004071662869375,0.3986871188342162
"3-2003",3.0292341842542028,3.84032373351609,0.9760630025596477,1.8353967901581931,1.1909974081441255,1.4305093697108695,3.174612595571924,0.4112932841137706,0.5020358314346876,1.5947484753368648
"4-2003",2.710367428016918,0.9600809333790224,1.6267716709327462,3.6707935803163863,0.5954987040720627,1.4305093697108695,2.116408397047949,1.6451731364550823,0.0,0.7973742376684324
"5-2003",2.1523506046016703,1.4401214000685336,1.301417336746197,1.4683174321265546,1.1909974081441255,0.47683645657028983,2.116408397047949,0.0,1.004071662869375,1.1960613565026486
