"newspaper","date","epu_uruguay","eu_uruguay","pol_impositiva","pol_gasto_gub","pol_fiscal","pol_monetaria","pol_salud","pol_reg_financiera","pol_regulacion","pol_deuda_crisis","pol_prog_derechos","pol_comercial","otras_politicas","autoridades_intls"
"EPU Final","1-2002",141.47428274209517,142.75493498056565,180.13028962846383,209.23957308305063,160.64836165262386,211.3171316361709,0.0,48.57172837087327,93.42529048247273,204.3740577405924,144.6244035476236,75.24644614357406,124.92853062814676,46.523091184552435
"EPU Final","02-2002",89.60811390934704,87.02004323861368,137.25397299038107,260.40950244275615,244.81863585183473,102.46563577787711,0.0,51.81431613043893,0.0,113.74842464207363,110.19953401073528,0.0,98.50288039298728,49.62891449107183
"EPU Final","03-2002",78.12932251114701,84.09233500422982,176.84825469031807,171.18929761067386,112.65806717588664,56.58187141768197,0.0,47.68673501496328,275.16915006087623,78.51533209404151,74.37534651368608,36.93771519378413,74.65791592696802,0.0
"EPU Final","04-2002",114.77447938145467,105.88657362143917,47.71758772870871,161.66736389003214,127.67012654746335,106.86932096496955,209.00421608906473,90.06858314150729,86.62120770223662,164.77362833305585,102.16497814968848,0.0,100.72182106422257,21.56742742589196
"EPU Final","05-2002",131.48652752243663,125.09523905276524,263.0783732600228,291.70161903335037,298.6139221412992,178.54421252270285,0.0,135.42803205212198,0.0,189.94572474326216,147.2156149496,104.90133316164929,126.2052902323968,86.47733836711431
"EPU Final","06-2002",227.44885007356942,213.72151244417748,318.70914320365125,365.46662549120833,590.3430954315376,311.13825127157355,214.7621447395447,138.8248700271135,267.02269496038974,364.0230217883467,288.6937792307552,107.53249324506235,253.56677037695553,199.45436276140458
"EPU Final","07-2002",229.17348294391132,219.4051153500378,176.176395554728,272.8622996107659,291.7981849688647,281.83456425861004,661.420265099079,285.03341824055724,91.37458760991528,391.08523373140133,202.0712434540456,110.39215853608763,217.8104065939042,204.7585522312098
"EPU Final","08-2002",161.55755521628672,165.16003602909262,177.90361511899007,68.8843550487963,158.66251233978238,180.24517720722218,0.0,95.94262117247516,92.27041690020857,219.3996681608624,176.84535619932487,111.47443460016694,160.9359532221817,160.81799145828134
"EPU Final","09-2002",175.5736010248712,167.03933099011448,31.935257561339863,86.55741668156193,85.44393311250963,178.8071994452724,279.75443813956764,180.8366812565292,0.0,275.68913846030165,196.57660849992115,0.0,175.2624424699196,173.20943054302305
"EPU Final","10-2002",129.46126110325218,129.3890437538439,94.19135208060273,42.54941994325331,196.0096124008054,128.9156908902075,275.04030332099666,59.26313566893804,0.0,184.30958537317565,151.25016611141677,45.90469081481334,119.29091508980673,283.81780483045816
"EPU Final","11-2002",107.31924866207261,108.90952713760913,93.69794531223918,0.0,27.854692355693295,81.60751840580636,0.0,0.0,113.39256052796718,107.8494754332914,117.02278436174048,0.0,98.8883567991719,141.16553467078054
"EPU Final","12-2002",106.09655395955286,107.66871429606205,123.50725192547182,167.37721071411298,110.1493686318353,161.35551800795892,0.0,0.0,0.0,181.25525770256888,115.68953668905363,90.28794185119683,117.31405891017243,139.5572271810047
"EPU Final","01-2003",108.34600493532992,104.49935769298523,143.32482179572483,77.6936043002289,51.12943048751779,128.39732360166295,251.10650769546766,108.21220638010901,0.0,148.47450620347593,115.07374416890244,0.0,114.9608842776527,259.1201977755
"EPU Final","02-2003",99.4018505674677,96.53091619727729,121.80413864560067,165.06914907505222,135.788068710466,56.83231892480824,0.0,114.95474426487574,0.0,115.66553292255803,138.542989234334,178.08581789035864,122.12392201098959,247.73902463520736
