"newspaper","date","epu_news_rel","epu_cat2_news_rel","epu_cat3_news_rel","epu_cat4_news_rel","epu_cat5_news_rel","epu_cat6_news_rel","epu_cat7_news_rel","epu_cat8_news_rel","epu_cat9_news_rel","epu_cat10_news_rel","epu_cat11_news_rel","epu_cat12_news_rel","epu_cat13_news_rel"
"la_republica","10-2011",0.02106649111257406,0.017774851876234364,0.0,0.0019749835418038184,0.007241606319947334,0.0,0.0019749835418038184,0.0,0.02106649111257406,0.01119157340355497,0.005924950625411455,0.013166556945358789,0.0
"la_republica","11-2011",0.019782393669634024,0.01483679525222552,0.0019782393669634025,0.002967359050445104,0.008902077151335312,0.0,0.003956478733926805,0.0,0.019782393669634024,0.010880316518298714,0.00791295746785361,0.01483679525222552,0.004945598417408506
"la_republica","12-2011",0.022588741484403013,0.020437432771602725,0.002151308712800287,0.004302617425600574,0.008425959125134457,0.0005378271782000717,0.0026891358910003586,0.0010756543564001434,0.022588741484403013,0.01577626389386877,0.008067407673001075,0.019899605593402654,0.004123341699533883
"la_republica","01-2012",0.01747608535688006,0.014716703458425313,0.0016556291390728477,0.0027593818984547464,0.006070640176600441,0.0016556291390728477,0.002207505518763797,0.0005518763796909492,0.01747608535688006,0.012693156732891833,0.00772626931567329,0.01379690949227373,0.003863134657836645
"la_republica","02-2012",0.013267291703520255,0.011675216699097823,0.0015920750044224306,0.0015920750044224306,0.0037148416769856715,0.0015920750044224306,0.0,0.0015920750044224306,0.013267291703520255,0.007960375022112153,0.0037148416769856715,0.010613833362816204,0.003184150008844861
"la_republica","03-2012",0.016683866529067767,0.013243894048847609,0.0010319917440660474,0.0030959752321981426,0.005331957344341246,0.001891984864121087,0.0013759889920880633,0.0015479876160990713,0.016683866529067767,0.008599931200550396,0.004299965600275198,0.013071895424836602,0.0006879944960440316
"la_republica","04-2012",0.013979979288919572,0.01277183293061788,0.0010355540214014498,0.0020711080428028996,0.004659993096306524,0.0010355540214014498,0.0005177770107007249,0.0017259233690024164,0.013979979288919572,0.005868139454608215,0.005868139454608215,0.009492578529513289,0.001380738695201933
"la_republica","05-2012",0.010499139414802065,0.00946643717728055,0.0010327022375215145,0.001376936316695353,0.0036144578313253013,0.002065404475043029,0.0005163511187607573,0.0010327022375215145,0.010499139414802065,0.006540447504302926,0.002753872633390706,0.0070567986230636835,0.002065404475043029
"la_republica","06-2012",0.020693947409366736,0.01804885638711685,0.0009335615372646647,0.004201026917690991,0.007157305119029096,0.0018671230745293294,0.0023339038431616616,0.0034230589699704374,0.020693947409366736,0.013069861521705306,0.0066905243503967635,0.01773766920802863,0.0020227166640734403
"la_republica","07-2012",0.02132732812293019,0.017485759703271958,0.0026493575307987814,0.0037091005431182937,0.006093522320837197,0.0011922108888594515,0.0014571466419393297,0.001987018148099086,0.02132732812293019,0.013114319777453967,0.005696118691217379,0.015233805802092992,0.0007948072592396343
"la_republica","08-2012",0.016557236654296318,0.014844419069369112,0.00042820439623180134,0.0027119611761347415,0.006565800742220953,0.0011418783899514702,0.001284613188695404,0.0,0.016557236654296318,0.0109905795032829,0.003996574364830145,0.014844419069369112,0.0027119611761347415
"la_republica","09-2012",0.014265129682997119,0.01239193083573487,0.0012968299711815562,0.001729106628242075,0.0025936599423631124,0.0024495677233429395,0.0007204610951008645,0.0008645533141210375,0.014265129682997119,0.008933717579250721,0.002737752161383285,0.012247838616714697,0.0030259365994236313
"la_republica","10-2012",0.018913239267487243,0.015761032722906035,0.0,0.0012008405884118883,0.007054938456919844,0.0009006304413089162,0.003602521765235665,0.0018012608826178324,0.018913239267487243,0.015761032722906035,0.006604623236265386,0.017562293605523867,0.002701891323926749
"la_republica","11-2012",0.018142476697736352,0.01348202396804261,0.0,0.002496671105193076,0.005992010652463382,0.0014980026631158455,0.0014980026631158455,0.0009986684420772304,0.018142476697736352,0.012316910785619174,0.0039946737683089215,0.01514647137150466,0.0013315579227696406
"la_republica","12-2012",0.017027577271885988,0.014436424208772903,0.002220988339811216,0.00277623542476402,0.008143623912641125,0.000555247084952804,0.002591153063113085,0.001665741254858412,0.017027577271885988,0.011660188784008884,0.003331482509716824,0.016472330186933185,0.001110494169905608
"la_republica","01-2013",0.02127248114484626,0.01914523303036163,0.0005801585766776252,0.0009669309611293754,0.008702378650164379,0.0,0.0005801585766776252,0.002707406691162251,0.02127248114484626,0.013923805840263006,0.008122220073486753,0.01605105395474763,0.0032875652678398763
"la_republica","02-2013",0.013415892672858616,0.01238390092879257,0.0010319917440660474,0.0020639834881320948,0.0041279669762641896,0.0010319917440660474,0.0,0.0010319917440660474,0.013415892672858616,0.009631922944616443,0.0041279669762641896,0.010663914688682491,0.003783969728242174
"la_republica","03-2013",0.016973636691946552,0.01444564824846515,0.0005417118093174431,0.0005417118093174431,0.004875406283856988,0.004875406283856988,0.003791982665222102,0.004875406283856988,0.016973636691946552,0.010292524377031419,0.004333694474539545,0.01282051282051282,0.0005417118093174431
"la_republica","04-2013",0.013267371261524623,0.012367888464133123,0.0006746120980436249,0.0006746120980436249,0.0033730604902181245,0.0,0.001124353496739375,0.0013492241960872497,0.013267371261524623,0.006521250281088374,0.00494715538565325,0.009219698673262874,0.001124353496739375
"la_republica","05-2013",0.01903839948370442,0.017102291061632784,0.000484027105517909,0.001936108422071636,0.005485640529202969,0.000484027105517909,0.0017747660535656663,0.003872216844143272,0.01903839948370442,0.00984188447886415,0.008067118425298484,0.012907389480477573,0.001452081316553727
"la_republica","06-2013",0.01864461738002594,0.017185473411154346,0.0014591439688715954,0.0038910505836575876,0.0038910505836575876,0.0009727626459143969,0.00048638132295719845,0.0012970168612191958,0.01864461738002594,0.013456549935149158,0.005350194552529183,0.01523994811932555,0.0024319066147859923
"la_republica","07-2013",0.010188564476885644,0.008211678832116789,0.0,0.0013686131386861315,0.0019768856447688566,0.0010644768856447689,0.0,0.0019768856447688566,0.010188564476885644,0.006082725060827251,0.0018248175182481751,0.007451338199513382,0.0009124087591240876
"la_republica","08-2013",0.01091901728844404,0.01013908748212661,0.0,0.0011698947094761472,0.0031197192252697256,0.0003899649031587157,0.0,0.0015598596126348628,0.01091901728844404,0.008319251267385936,0.0035096841284284414,0.01013908748212661,0.0014298713115819576
"la_republica","09-2013",0.012886259040105194,0.01051939513477975,0.0,0.0007889546351084812,0.0035502958579881655,0.0007889546351084812,0.0,0.001183431952662722,0.012886259040105194,0.008284023668639054,0.0035502958579881655,0.010650887573964497,0.0019723865877712033
"la_republica","10-2013",0.017097524278484474,0.015456161947749967,0.0016413623307345096,0.002051702913418137,0.008480372042128299,0.0008206811653672548,0.0024620434961017644,0.0024620434961017644,0.017097524278484474,0.01107919573245794,0.00752291068253317,0.014635480782382712,0.004103405826836274
"la_republica","11-2013",0.01782294888790691,0.013845927235233466,0.0004418912947414936,0.0004418912947414936,0.005302695536897923,0.0008837825894829872,0.0013256738842244808,0.0013256738842244808,0.01782294888790691,0.011783767859773163,0.004860804242156429,0.01399322433348063,0.0017675651789659744
"la_republica","12-2013",0.016729205753596,0.013602251407129456,0.0,0.0,0.005472170106316448,0.0009380863039399625,0.0010944340212632896,0.0014071294559099437,0.016729205753596,0.011569731081926203,0.002188868042526579,0.013602251407129456,0.00046904315196998124
"la_republica","01-2014",0.012269938650306749,0.011349693251533743,0.0009202453987730061,0.002147239263803681,0.006134969325153374,0.0007668711656441718,0.003067484662576687,0.0013803680981595093,0.012269938650306749,0.006901840490797546,0.004294478527607362,0.009662576687116564,0.0009202453987730061
"la_republica","02-2014",0.01193019943019943,0.009081196581196582,0.00035612535612535614,0.00035612535612535614,0.004629629629629629,0.0,0.00035612535612535614,0.0008903133903133903,0.01193019943019943,0.007656695156695157,0.002849002849002849,0.008903133903133903,0.00035612535612535614
"la_republica","03-2014",0.018839613204401466,0.01833944648216072,0.0005001667222407469,0.002334111370456819,0.0056685561853951315,0.0010003334444814939,0.0010003334444814939,0.0015005001667222407,0.018839613204401466,0.012337445815271757,0.00766922307435812,0.016672224074691565,0.0025008336112037344
"la_republica","04-2014",0.01993686658913441,0.017278617710583154,0.0009968433294567204,0.0023259677687323477,0.00880544941020103,0.0009968433294567204,0.001993686658913441,0.0004984216647283602,0.01993686658913441,0.01079913606911447,0.007310184416015949,0.01511879049676026,0.0021598272138228943
"la_republica","05-2014",0.013227939990321019,0.011453460235521858,0.0014518470721084046,0.0014518470721084046,0.004839490240361349,0.001129214389417648,0.0025810614615260526,0.0024197451201806745,0.013227939990321019,0.011453460235521858,0.005000806581706727,0.012098725600903372,0.002742377802871431
"la_republica","06-2014",0.00896752302472128,0.0075133301017935045,0.0,0.00036354823073194375,0.0023024721279689773,0.00036354823073194375,0.00036354823073194375,0.0002423654871546292,0.00896752302472128,0.006301502666020358,0.00290838584585555,0.008603974793989336,0.002060106640814348
"la_republica","07-2014",0.005514199062586159,0.004870875838617774,0.0008271298593879239,0.0016542597187758478,0.0015623564010660786,0.0008271298593879239,0.0007352265416781545,0.0006433232239683853,0.005514199062586159,0.0038599393438103115,0.002573292895873541,0.0050546824740373125,0.00018380663541953864
"la_republica","08-2014",0.028779112891262424,0.026924788607031597,0.00022251891410769915,0.0008159026850615635,0.0264797507788162,0.025070464322800773,0.024328734609108442,0.02217771843940068,0.028779112891262424,0.027592345349354695,0.0012609405132769618,0.028037383177570093,0.0007417297136923305
"la_republica","09-2014",0.014263881813550688,0.013245033112582781,0.0010188487009679063,0.0020376974019358125,0.004075394803871625,0.0020376974019358125,0.0020376974019358125,0.003056546102903719,0.014263881813550688,0.012226184411614875,0.00815078960774325,0.013245033112582781,0.004075394803871625
"la_republica","10-2014",0.026331904470300063,0.02204531537048377,0.000612369871402327,0.001837109614206981,0.008573178199632579,0.001224739742804654,0.001224739742804654,0.002449479485609308,0.026331904470300063,0.018983466013472138,0.009185548071034905,0.02204531537048377,0.003674219228413962
