Newspaper,Date,EPU Uruguay,Política impositiva,Política de gasto gubernamental,Política fiscal,Política monetaria,Política de salud,Política de seguridad nacional,Política de regulación financiera,Política de regulación,Política de deuda soberana y crisis monetaria,Política de programas de derechos,Política comercial,Otras políticas,Autoridades
el_pais,Oct-04,104.9705127,62.5879434,0,0,36.20934557,279.554988,0,0,237.1704331,104.9705127,44.90256939,66.74046635,70.08144373,56.36262115
el_pais,Nov-04,51.90031431,0,0,0,31.33007206,0,0,0,0,51.90031431,58.27780282,57.74707017,60.63784493,97.53531603
el_pais,Dec-04,207.1116316,388.9899728,405.7384684,694.3439956,225.0444987,579.1535411,40.63088916,321.5548044,0,207.1116316,294.5777996,276.5321964,193.5834597,272.4547838
el_pais,Jan-05,139.5370738,0,607.4615488,0,112.310343,289.0314282,243.3262289,0,245.2101088,139.5370738,162.4864163,172.5071376,144.9141718,233.0928739
el_pais,Feb-05,100.3112472,59.80988847,0,0,34.60214224,267.146542,112.4510248,0,0,100.3112472,107.2737624,63.77809578,100.4561687,107.721772
el_pais,Mar-05,33.56855191,70.0525605,0,0,0,0,65.85434635,0,265.456815,33.56855191,50.2579217,37.35016924,39.21989053,63.08476863
el_pais,Apr-05,74.97893768,62.5879434,587.5447767,335.1569378,181.0467279,0,0,0,0,74.97893768,112.2564235,66.74046635,87.60180466,112.7252423
el_pais,May-05,59.65715476,0,0,0,96.03348173,0,78.02308426,0,314.5086178,59.65715476,59.54471158,132.7554928,46.46704421,0
el_pais,Jun-05,91.47430396,152.7145819,0,0,132.5262048,341.0570853,71.78123752,0,0,91.47430396,82.17170198,162.8467379,64.12452101,0
el_pais,Jul-05,80.51527977,0,0,0,64.80499012,250.1641213,0,0,0,80.51527977,60.27264204,149.3093563,78.39183498,0
el_pais,Aug-05,120.2949751,0,589.1544884,0,181.5427463,0,58.99827741,0,0,120.2949751,45.02559013,100.3849754,87.8418096,56.51703929
el_pais,Sep-05,117.0871091,122.1716655,573.443702,327.1131713,106.0209638,545.6913365,172.27497,0,231.4783427,117.0871091,153.387177,97.70804273,136.7989782,165.0297547
el_pais,Oct-05,119.3143095,110.6627405,0,296.2981624,128.0446423,494.2856309,52.01538951,0,209.6724119,119.3143095,158.7858975,147.5061032,139.4011326,49.8278245
el_pais,Nov-05,137.9009607,115.1114939,540.3049956,0,33.29804141,0,54.10646044,214.1005607,218.1014536,137.9009607,185.8154065,92.06159805,161.116887,155.4928594
el_pais,Dec-05,150.5061674,125.6335683,0,224.2549163,72.68347612,0,118.1044127,0,476.0752021,150.5061674,210.3114859,200.95347,164.1212604,150.8498672
el_pais,Jan-06,30.07374377,0,589.1544884,0,36.30854926,0,0,0,0,30.07374377,45.02559013,33.46165847,35.13672384,0
el_pais,Feb-06,70.91031315,0,0,0,68.48899473,0,111.2887403,0,0,70.91031315,21.23299793,63.11889065,82.84821836,106.6083687
el_pais,Mar-06,70.91031315,59.19169841,0,0,34.24449736,0,0,0,0,70.91031315,63.69899378,126.2377813,82.84821836,0
el_pais,Apr-06,39.77143651,0,0,0,0,0,0,0,0,39.77143651,29.77235579,44.25183095,23.23352211,0
el_pais,May-06,141.9428855,0,370.7610143,0,22.84934565,352.8176745,482.6669419,0,0,141.9428855,155.8428831,168.4621426,143.7273747,177.8337874
el_pais,Jun-06,108.0405165,0,0,0,156.5270135,0,169.5619784,0,341.7495217,108.0405165,97.05319132,144.2540001,126.2293721,81.21543048
el_pais,Jul-06,41.06078482,114.2503106,0,0,66.09785775,0,53.70167395,0,0,41.06078482,40.98339251,91.37285792,31.98230474,51.44319038
el_pais,Aug-06,80.71262114,61.87415533,64.53823177,110.4448733,71.5927877,61.41484129,58.16606882,25.57383648,234.4656083,80.71262114,78.91640046,95.30346305,78.90472273,80.48419911
el_pais,Sep-06,54.82192875,19.61231788,0,0,52.94996767,29.20009292,18.43696169,0,99.0917563,54.82192875,60.9721533,80.16855675,54.901131,82.4206823
el_pais,Oct-06,39.4172525,26.32253638,0,35.23913796,38.07130273,58.7860532,30.93130028,0,49.87324247,39.4172525,40.12981711,49.12067647,38.68471535,47.40872012
