"newspaper","date","epu_news_avg","eu_news_avg","pol_impositiva_avg","pol_gasto_gub_avg","pol_fiscal_avg","pol_monetaria_avg","pol_salud_avg","pol_reg_financiera_avg","pol_regulacion_avg","pol_deuda_crisis_avg","pol_prog_derechos_avg","pol_comercial_avg","otras_politicas_avg","autoridades_intls_avg"
"Promedio","4-2012",3.648406297575139,4.004844219413808,2.488232831404961,0.5786457420970081,0.9227591181290533,2.4280099126279686,0.3669946837550175,2.586966179438354,0.20314409037225414,3.002103838558183,3.4605372915341017,2.8673660507666647,3.8729114694790483,2.96144940995287
"Promedio","05-2012",2.532770324865725,2.513570883998861,1.4800983562409054,0.5808145341014652,2.388578692791137,2.1289824259785424,0.735797223095035,1.1871243427902152,0.6109333358239466,2.8813749793041556,2.4710828388695383,1.3314546771533615,2.4809446660964207,1.3533515647896832
"Promedio","06-2012",4.092131479372864,4.075363655442745,2.199271462541025,1.7769963050744966,2.0557824011389294,3.85053857330472,0.0,3.2567847152702263,0.7902475008985178,3.565248527652043,3.670661395216309,1.2425203625277252,3.748524652956284,1.3850699816594017
"Promedio","07-2012",3.264797548430195,3.441208432062995,0.686724477637275,0.3247877131470069,2.5853110812615543,4.087054931538387,1.667669280047219,1.8156575168286835,2.030813783320271,2.8900349022443614,2.9851759482481217,0.6963979196638546,3.083841164127962,0.736219829546191
"Promedio","08-2012",3.160440595770916,3.1940480200407357,1.1382896752079648,0.4221149917328377,2.157733159247984,2.4575549552769504,0.0,1.5744915129194041,0.188193425147589,2.5498858281582866,2.2981908280492584,1.267181034682748,2.841724886163627,1.318819228615194
"Promedio","09-2012",2.183012570734923,2.546487662977961,0.31264854290028593,0.13800588431926816,0.4333792944192545,1.7070511250786264,0.3524188036687977,0.3227079656046807,0.0,0.7614784111232463,1.984743840072379,0.32040397751707733,2.0381101903884358,0.8638758025592885
"Promedio","10-2012",2.7515042978918056,2.7869168712513392,1.0239582708659372,0.5509747659602412,1.1498259699167697,2.3016024194459845,0.39768803365714217,1.5486773009565724,0.5066505703538574,1.1044508569500284,2.184999267868031,0.18114759980077,2.815297944622696,0.8595824150258187
"Promedio","11-2012",2.250548884732445,2.276947103206448,1.0879052740233321,0.9383811081533441,0.7731226400699477,1.5287323868566898,0.9477834574583389,1.132487606485869,0.0,1.238768042794604,2.0768727089200407,1.7578324640794982,2.399608600583598,0.731358719099697
"Promedio","12-2012",2.445695160747313,2.5490335883473736,1.9282973109861825,0.3312233334372112,0.6323394529579568,2.0379376725987792,0.3738844462785785,1.3277145753279143,1.0602198716383806,1.5291869156967597,2.1383040721092286,0.7352412871210195,2.3702836359399395,0.49215447358068776
"Promedio","01-2013",2.9865680076107197,3.1404034025752634,2.634002062245184,1.7974949432125313,2.1622664103245426,1.9218697118206676,0.0,1.4445187540553455,1.8800723511582855,2.92181130946665,2.8197275339566166,0.4985871457091669,2.8626481273951065,0.7451072044465051
"Promedio","02-2013",1.4572686977306744,1.4411961488422993,1.8238262497793498,1.0364186455523037,1.0354302263636719,1.4244575130345627,0.7418882597100601,1.0203018770058567,0.20533024366268404,0.7462106550390634,1.5681939620627705,0.6945613352831043,1.560310759280596,0.14045406312116956
"Promedio","03-2013",2.4456095152067583,2.482596875832239,1.635035558421191,2.029687174839053,1.8855027490137057,2.617251383226567,0.0,1.2050270397706389,1.454184569717562,1.7062191453866422,2.445458025724114,0.6827463874435686,2.4357017058711694,0.8139224310523567
"Promedio","04-2013",2.2320937657871673,2.361140121478735,2.5861107222407913,2.6777039110689285,2.0607523417528735,2.260076246429445,2.7963827868896107,2.0904986165951707,0.0,2.2004284847041866,2.227369933823178,1.7594244198731979,2.2010657596944134,0.5089900413731213
"Promedio","05-2013",1.705219488361836,1.694749009104943,1.1789110735600685,1.7072975114589255,1.9598827835633508,2.0696327172037887,0.0,1.0075034358136365,0.19592332886613137,1.4401258270615973,1.5804158642056512,0.4805920227731723,1.4824838197572026,0.18171616130865056
"Promedio","06-2013",2.6929797081523765,2.861843429785593,0.7147521152030895,1.1046636741494733,1.2573986803472146,2.7463186508581643,0.0,2.514414320438798,0.0,2.1798379319095624,2.310417553399388,0.0,2.543311401751047,0.13407230995683353
"Promedio","07-2013",1.8887236094581275,2.0077034266386744,0.4996032175545703,0.5598701907188426,0.974528716192505,1.156559133369839,0.33553014516276775,1.153761679069043,0.18572739374355848,1.3252293553073446,1.5878826005919169,1.1175906719588655,1.8928744880869548,0.37180721720888843
"Promedio","08-2013",2.144603498871239,2.1151783764504564,1.3054428995367566,0.34323469577013227,0.6957740981407713,2.4071864677247263,0.33515370894904734,0.8616040108605757,1.6162735641222847,1.4374185111166444,2.0122899898530675,1.1555651055129832,2.228029876189194,0.22201604242765752
"Promedio","09-2013",1.4754075650186185,1.480639037252464,0.5023156260722828,0.2002125491422004,0.2761406964812702,1.0517224441415496,0.5495827687345228,0.6501700032297096,1.2371614682407712,0.9598765322107088,1.1987917738419158,0.6764946134041289,1.4569486796400035,0.46940245986055396
"Promedio","10-2013",2.450086255951929,2.4178801902962808,0.8944228909972551,1.551605695651803,0.9686478057213517,2.1932731587386747,1.2153022155333124,0.43791160967593545,0.0,1.8763541972824458,2.4245218828170976,0.0,2.5736192710105112,1.3803116021706832
"Promedio","11-2013",1.695462618493471,1.8996191202767143,1.5417211390134409,0.31025958914289326,0.5924373109731383,1.0567152414754661,0.0,0.2993785170419438,0.7602725956920224,1.1135939076449277,1.532479344544944,0.37298360204189196,1.6730759373080766,0.2615069788973083
