"newspaper","date","epu_news_avg","eu_news_avg","pol_impositiva_avg","pol_gasto_gub_avg","pol_fiscal_avg","pol_monetaria_avg","pol_salud_avg","pol_reg_financiera_avg","pol_regulacion_avg","pol_deuda_crisis_avg","pol_prog_derechos_avg","pol_comercial_avg","otras_politicas_avg","autoridades_intls_avg"
"Promedio","11-2008",3.276963757497401,3.3785995420574895,2.3893740816225533,0.4369907917639755,0.5387403950180409,1.902387135332566,2.5172902224921496,2.9363818559257955,0.701839528141098,1.1566452235567286,2.2766578371891213,1.6376397008151955,2.9725358605267234,2.893922761520761
"Promedio","12-2008",3.4828326535946537,3.491107578497774,1.0883493757757032,1.3933316736204056,0.8588785740854217,1.6542825705655355,0.0,2.600711961858731,0.7459312360720298,1.6903001743657304,2.873375287706857,0.3481042481335203,3.791135596908754,1.7941745788871755
"Promedio","01-2009",2.28260251904303,2.2600091531330504,2.2417679607501175,0.0,0.8845534864147565,1.135823277360721,0.0,0.5356912845270032,1.5364595075521337,0.9495432071766388,2.1805151920375536,0.717020625762329,2.212530745916377,1.5838361059674433
"Promedio","02-2009",2.400566473515538,2.59287871832319,1.571747734755035,1.0060950787124088,0.6201778965905356,1.1945221547437042,1.4489054187600163,0.5633755886369258,0.0,0.9986152075475245,2.7846040261550087,0.75407595525909,2.60062323425617,2.2209174681438397
"Promedio","03-2009",1.1295066568395298,1.3586283264869479,0.7059184216830157,0.9037341480735833,0.5570804935718466,1.0729905003152342,0.0,0.0,0.7257319376097311,0.44850764253875275,1.6184857443634366,0.3386778274877383,1.352440571095818,0.7481098202654732
"Promedio","04-2009",1.627764090498505,1.8460745249222548,1.1190509730481986,0.0,0.5887379705164446,0.37798861315275023,0.0,1.0696305125224381,0.7669734500086488,1.1059887969117923,1.8659565818090318,0.35792403272927376,1.5592323836836495,0.5270820074642268
"Promedio","05-2009",0.9449788683606034,1.091562965180164,0.36091754747836147,0.0,0.28482062418576415,0.5485918598328483,0.0,0.0,0.0,0.4586203544156155,0.7522629547575309,0.0,1.131492012605876,1.0199704036847301
"Promedio","06-2009",1.604800872776841,1.718918690835174,1.471019040750178,0.47080870067920455,0.2902162587430922,1.304296863039377,0.0,1.0545410050906423,0.7561535907783777,0.4673084465790713,1.8396331314409073,0.35287472150576527,1.9215449468410957,1.0392926967009262
"Promedio","07-2009",1.586259348748742,1.4991694183133581,1.4540232032275664,1.8614763129643133,1.4343158126326927,0.9208766412067998,0.0,1.0423570651911886,2.2422514646069582,0.46190926532377524,2.1214414736875327,1.046393048672275,1.8993438299254017,0.770463699357071
"Promedio","08-2009",0.8632002092919984,0.9177842048698852,0.3708941300915845,0.0,0.29269371461041127,0.7516749168875017,0.0,0.5317715922011959,0.0,0.15709922167515936,0.46383432917732637,0.0,0.6459827931047099,0.0
