"newspaper","date","epu_news_std","epu_cat2_news_std","epu_cat3_news_std","epu_cat4_news_std","epu_cat5_news_std","epu_cat6_news_std","epu_cat7_news_std","epu_cat8_news_std","epu_cat9_news_std","epu_cat10_news_std","epu_cat11_news_std","epu_cat12_news_std","epu_cat13_news_std"
"la_republica","10-2011",4.491305264474541,4.21720101230392,0.0,1.8319005095990957,1.8237286198188103,0.0,0.5108313122948986,0.0,4.491305264474541,2.6778539690139684,2.7805864312525523,3.0581896475514525,0.0
"la_republica","11-2011",4.217539995509908,3.52012767210114,2.8121399852103726,2.752380686529205,2.24190216361325,0.0,1.0233468689428962,0.0,4.217539995509908,2.603378249156595,3.713560425605123,3.4461350702007834,3.821607631467757
"la_republica","12-2011",4.815843939297465,4.848915916342115,3.058164422783457,3.9909026519627484,2.1219964365644954,0.13487967558570216,0.6955474752383929,0.3070997560251593,4.815843939297465,3.774851789024478,3.7860440920335487,4.622071515632869,3.1862259682509775
"la_republica","01-2012",3.7258427968060075,3.4916351008037796,2.353537686297754,2.5594710026499508,1.5288321045832078,0.4152090675590765,0.5709733358174769,0.15756093074947927,3.7258427968060075,3.037144011019381,3.625947451987784,3.2046013207992936,2.9851564247127285
"la_republica","02-2012",2.8285421029501046,2.770022277830304,2.263193147481796,1.4767328183695523,0.935547002293235,0.39927056275449135,0.0,0.4545380609698404,2.8285421029501046,1.9047117933418987,1.7433796523090035,2.4652698078705058,2.460485253049717
"la_republica","03-2012",3.5569443992059697,3.1422013403286027,1.4670142028109838,2.8716789206202544,1.3428019667049436,0.4744838398456319,0.35590082026187414,0.4419510936812019,3.5569443992059697,2.0577410403550345,2.0179790109470566,3.0362026631572916,0.5316333423342143
"la_republica","04-2012",2.9804847063540034,3.0302017220178885,1.4720781110015637,1.921061010756663,1.1735742599653067,0.2597027374584213,0.1339235007552556,0.4927518234692034,2.9804847063540034,1.404093951995933,2.7539248806901644,2.204836504182655,1.0669369183055306
"la_republica","05-2012",2.2383813172383094,2.2459747470703832,1.4680241953774629,1.2771804356080443,0.9102663001658619,0.5179750983938358,0.13355469249155782,0.29483690862449885,2.2383813172383094,1.5649598744499775,1.2923957281537968,1.6390791141123657,1.595998064886982
"la_republica","06-2012",4.411880196174334,4.28221039233788,1.327092045299994,3.896672143570754,1.802498176460381,0.4682488441991888,0.6036663788516812,0.9772847274618394,4.411880196174334,3.1272797209411243,3.1398710981471045,4.1199196243029,1.5630119527113968
"la_republica","07-2012",4.546914840436768,4.148611984785989,3.7661591270998636,3.4403847076552627,1.5345947516374179,0.2989901299842548,0.3768923211522701,0.5672944890410447,4.546914840436768,3.1379174313254548,2.6731953302147886,3.538348513594684,0.6141706687636354
"la_republica","08-2012",3.529947334523409,3.521936473074529,0.608708291117832,2.5154858030040677,1.6535335112918736,0.2863674299807961,0.33226638454579693,0.0,3.529947334523409,2.6297613287583816,1.875597140451574,3.4479058504252658,2.0956112187514746
"la_republica","09-2012",3.0412778141973433,2.9400674407157132,1.8434914787773187,1.6038368150322917,0.6531882096291054,0.6143179691205471,0.18634792588279323,0.24683032263808913,3.0412778141973433,2.137607485114405,1.2848303713157205,2.844799397288226,2.3382291534205177
"la_republica","10-2012",4.0322391914442,3.7394091167006556,0.0,1.1138424393399484,1.7767181211583243,0.22586575515372156,0.9317955729522078,0.5142607142324642,4.0322391914442,3.7712073638713237,3.099557602308209,4.0791852201425005,2.08782995128941
"la_republica","11-2012",3.86791519611515,3.1986992365294546,0.0,2.3157930043949952,1.509030018250996,0.3756785105278195,0.3874597686630914,0.28512024618980336,3.86791519611515,2.9471180900072858,1.8747051882257555,3.5180633887432564,1.0289335061022378
"la_republica","12-2012",3.6302223770346806,3.4251369975513812,3.157216574178442,2.5751035295956193,2.0508930397962413,0.13924834914252204,0.6702041265508862,0.47556980541597405,3.6302223770346806,2.789981505620295,1.5634687355441892,3.8260199578209177,0.8581111194700507
"la_republica","01-2013",4.535221648623641,4.54233299262465,0.8247167448407524,0.89687902858281,2.1916100245726127,0.0,0.15005855025642065,0.7729657109365287,4.535221648623641,3.3316065032718636,3.811767617289807,3.728170336437289,2.540397229241398
"la_republica","02-2013",2.8602233313202645,2.938162292255317,1.4670142028109838,1.9144526137468358,1.0395886193844723,0.2588093671885265,0.0,0.29463406245413454,2.8602233313202645,2.304669965197639,1.937259850509174,2.4769021725756852,2.9239833828381787
"la_republica","03-2013",3.6187224262666002,3.4273254618940676,0.7700632516380517,0.5024660299893511,1.227823991014624,1.2226849898435208,0.9807998092509314,1.3919304759818567,3.6187224262666002,2.462734797008226,2.0338080120730115,2.977814150404267,0.41859645887474567
"la_republica","04-2013",2.8285590644498595,2.934363229250939,0.9589858978123521,0.625737997319772,0.8494727109710651,0.0,0.29081506760211046,0.38520405646690764,2.8285590644498595,1.560366475601983,2.3217059530669317,2.141454835393039,0.8688206241092653
