"newspaper","date","epu_news_rel","pol_impositiva_rel","pol_gasto_gub_rel","pol_fiscal_rel","pol_monetaria_rel","pol_salud_rel","pol_reg_financiera_rel","pol_regulacion_rel","pol_deuda_crisis_rel","pol_prog_derechos_rel","pol_comercial_rel","otras_politicas_rel","autoridades_intls_rel"
"el_observador","08-2010",0.19543973941368079,0.17263843648208468,0.019543973941368076,0.019543973941368076,0.0749185667752443,0.009771986970684038,0.03908794788273615,0.009771986970684038,0.19543973941368079,0.11074918566775244,0.05863192182410423,0.1498371335504886,0.02280130293159609
"el_observador","09-2010",0.18181818181818182,0.1396103896103896,0.032467532467532464,0.05844155844155844,0.06818181818181818,0.0,0.016233766233766232,0.003246753246753247,0.18181818181818182,0.1331168831168831,0.05844155844155844,0.15584415584415584,0.032467532467532464
"el_observador","10-2010",0.18258426966292135,0.1544943820224719,0.014044943820224719,0.028089887640449437,0.07865168539325842,0.0028089887640449437,0.019662921348314606,0.0056179775280898875,0.18258426966292135,0.09831460674157304,0.05898876404494382,0.1348314606741573,0.033707865168539325
"el_observador","11-2010",0.2596491228070175,0.22807017543859648,0.021052631578947368,0.04912280701754386,0.13333333333333333,0.0035087719298245615,0.06666666666666667,0.02456140350877193,0.2596491228070175,0.17894736842105263,0.08421052631578947,0.20350877192982456,0.03859649122807018
"el_observador","12-2010",0.17302052785923755,0.11730205278592376,0.020527859237536656,0.03519061583577713,0.07038123167155426,0.002932551319648094,0.02932551319648094,0.002932551319648094,0.17302052785923755,0.10263929618768329,0.05865102639296188,0.1378299120234604,0.03225806451612903
"el_observador","01-2011",0.15605095541401273,0.1337579617834395,0.012738853503184714,0.009554140127388535,0.05732484076433121,0.0031847133757961785,0.01910828025477707,0.0031847133757961785,0.15605095541401273,0.11146496815286625,0.054140127388535034,0.12738853503184713,0.03184713375796178
"el_observador","02-2011",0.20477815699658702,0.18088737201365188,0.017064846416382253,0.027303754266211604,0.09215017064846416,0.006825938566552901,0.030716723549488054,0.034129692832764506,0.20477815699658702,0.14334470989761092,0.06825938566552901,0.17406143344709898,0.030716723549488054
"el_observador","03-2011",0.2535211267605634,0.22253521126760564,0.011267605633802818,0.04225352112676056,0.14647887323943662,0.0028169014084507044,0.036619718309859155,0.005633802816901409,0.2535211267605634,0.16619718309859155,0.12112676056338029,0.19718309859154928,0.02535211267605634
"el_observador","04-2011",0.2255892255892256,0.18181818181818182,0.02356902356902357,0.05387205387205387,0.09427609427609428,0.006734006734006734,0.04040404040404041,0.0,0.2255892255892256,0.1447811447811448,0.08754208754208755,0.17845117845117844,0.04377104377104377
"el_observador","05-2011",0.2138364779874214,0.18867924528301888,0.02830188679245283,0.050314465408805034,0.10377358490566038,0.009433962264150943,0.0440251572327044,0.0031446540880503146,0.2138364779874214,0.1320754716981132,0.1069182389937107,0.17295597484276728,0.03459119496855346
"el_observador","06-2011",0.24427480916030533,0.22391857506361323,0.017811704834605598,0.04071246819338423,0.14249363867684478,0.010178117048346057,0.05089058524173028,0.002544529262086514,0.24427480916030533,0.15267175572519084,0.089058524173028,0.19083969465648856,0.03816793893129771
"el_observador","07-2011",0.3165829145728643,0.27889447236180903,0.04020100502512563,0.08040201005025126,0.16331658291457288,0.007537688442211055,0.07537688442211055,0.01256281407035176,0.3165829145728643,0.228643216080402,0.1407035175879397,0.2613065326633166,0.06030150753768844
