"newspaper","date","epu_news_std","eu_news_std","pol_impositiva_std","pol_gasto_gub_std","pol_fiscal_std","pol_monetaria_std","pol_salud_std","pol_reg_financiera_std","pol_regulacion_std","pol_deuda_crisis_std","pol_prog_derechos_std","pol_comercial_std","otras_politicas_std","autoridades_intls_std"
"el_observador","03-2014",1.6379466601623938,1.7435447446740184,2.020762879399352,1.1671312184884035,1.4772570266639156,1.8227177991004975,0.0,0.48139856185378227,0.0,1.2697027972402648,2.02933879184678,0.6727820816134924,1.838390528154094,0.23432175864606897
"el_observador","04-2014",1.5619064764409276,1.4875915011020484,1.4559183829270668,0.8408942056528746,1.8625836538614877,2.1489233684844007,0.0,0.0,0.0,1.0977539198891992,1.4620971526926194,0.0,1.6142621973481892,0.7597081861247705
"el_observador","05-2014",1.1728680153282751,1.32016578526067,0.0,0.0,0.0,0.5501151792340688,0.0,0.0,0.0,0.5620406043801017,0.7485812188625381,0.7445262950275221,0.8900644505688237,0.7779281683187694
"el_observador","06-2014",1.3488972495455007,1.2847171802861188,0.6735876264664507,0.7780874789922692,1.2310475222199297,1.325612944800362,1.248357790927201,0.48139856185378227,1.3994408696542344,0.8887919580681853,1.3528925278978532,0.3363910408067462,1.2638934881059394,0.9372870345842759
"el_observador","07-2014",1.2961884663519785,1.3294790524066202,0.697056638682142,0.0,0.25478788926041634,1.0288497745386869,1.2918528361056818,0.0,2.1722998841729324,0.39418246232304893,0.9800208267767869,0.34811151359416587,1.1890271137240134,0.0
"el_observador","08-2014",2.177561740624057,2.2714735365848937,1.449854582914876,1.2560879086105936,0.5299503202692708,2.318304354525914,0.0,1.036179828263368,0.0,1.7764205066595156,2.0384106659405554,0.7240603493916136,2.1021662619937795,0.7565440537377455
"el_observador","09-2014",3.0441489020310692,3.002856101744248,1.900164221385708,2.194954198379938,1.9447325399051605,2.9916016151651834,1.408627306443619,0.5432025693581543,0.7895535386870177,1.4327126760125957,3.053165320600919,1.8978918110144805,3.3709178286982713,2.1152399103631168
"el_observador","10-2014",1.8989923542950597,1.903830471904187,0.3493678094719608,0.8071369111666091,1.2770079475777993,1.7188798922943271,0.0,0.9987425803534109,1.4516881602515221,1.1853957548221434,1.4034019639052802,0.6978999995541005,1.787836633662502,1.458420130890668
"el_observador","11-2014",2.3721496888622973,2.3619783288611216,2.638339754769415,2.1768926436942655,1.653197122953468,1.6689289001882424,0.0,1.0774654688871141,3.9152828141907117,0.8525540133569972,2.5738355550236856,1.1293648108851868,2.314508993219554,1.0489171491406535
"el_observador","12-2014",1.8289652330187978,1.8508151743279753,2.39745237849767,0.9231304158475773,0.8763159221532503,1.7693098395475906,0.0,0.5711358511616957,0.0,1.2051100194926883,1.6050846152837708,1.5963901734520332,1.4994953045297283,0.5560031444824998
"el_observador","01-2015",2.458075100723254,2.4526026685776507,3.2732495097119103,3.3084264974170576,2.691983185401663,2.415644463585427,1.5165757083948694,2.9241511138461993,5.950419946005122,1.5425068303097527,2.7940697209918617,2.4520012678268888,2.65213979108643,0.8540020089442062
"el_observador","02-2015",1.8256124094935573,1.8474222959149085,1.5953716102560116,1.3821572266608775,1.1662793024441056,2.158525569603889,0.0,2.2803554240699784,2.4858995466451934,1.353263439625096,1.6021422053565777,0.7967318510033292,1.9049500385684723,0.2774919451610643
"el_observador","03-2015",1.889133368430109,2.1780383232189813,1.7377699947976322,0.4014732519401005,0.7622268683904868,2.051947194107908,1.2882414264200828,0.49677870759990944,0.7220757202848525,1.0482147054533049,1.5357275244795758,0.0,1.7785547342065864,0.725424230441025
"el_observador","04-2015",2.1724946975975903,2.1725845509550594,2.278207364907472,0.43860777611606094,0.5551530187462999,2.2417433569137013,0.0,0.0,1.5777291479871471,1.4314624904314328,1.2202004509905944,1.1377414259746494,1.6839881823121814,0.26417426890987883
"el_observador","05-2015",1.1596082549822258,1.1044344912699884,0.40534476636919153,0.0,0.2963229434016114,1.5954279689632676,0.0,0.0,0.8421414082875038,0.9168827279186337,1.1397820235033242,1.214580041142942,1.3828601317973273,1.1280622717120488
"el_observador","06-2015",1.6315065029140488,1.5538799821472247,0.7603977399691169,2.1959131124028213,1.3897015279232408,1.8705678513347177,1.4092426962673166,1.6303196380474092,0.0,1.0033370116418483,1.527249581515095,1.5189767574392872,1.815902570623157,0.7935614997921916
"el_observador","07-2015",2.285157341392234,2.1764303375462735,1.597568083331169,1.845413534388273,1.4598562631557128,2.5544969046428267,0.0,0.0,0.8297740264310558,1.3551265834153097,2.7273916000686964,1.1967431612362993,2.588848708417089,2.222991920482578
"el_observador","08-2015",1.779189321186402,2.033443322992852,0.414614203618225,1.9157484952034523,1.2123970642844395,1.83590130087406,3.073612702959397,1.1852633480992598,0.8613995252945548,1.5630833864072626,1.3323961094189813,1.2423550968717942,1.6973801065091159,0.5769294181433465
"el_observador","09-2015",3.5550459063497004,3.385898039403805,1.603455022376148,3.24137409488995,3.809612931037483,2.95835776948768,4.457517086719329,1.1459547524920988,0.8328316921203458,2.8713647412854924,3.5425718298451017,2.402306170735971,3.829204038835934,0.5577958768691315
"el_observador","10-2015",2.0060080851406936,2.0167052910643077,0.38955918236108067,1.7999803453142555,1.9934814307890858,2.2999443930376917,0.0,1.1136382129186868,0.0,1.7623520294013488,2.50375956461096,0.7781866154383457,2.2593111884722763,1.0841314670392876
"el_observador","11-2015",1.9234602981723523,1.946439135531787,2.1010990183357174,1.9416494888614422,1.2287887194268654,2.274216703464841,0.0,1.8019322315260837,1.7460913603025308,1.5842163341713393,2.363217773502305,0.8394345238480271,2.2937716681555664,1.4618238154066687
"el_observador","12-2015",2.347588066773694,2.2358906303909003,0.863796737860699,1.9956109634898496,1.262938678874957,2.762406330132367,0.0,1.2346738301043902,1.7946179688270676,1.9538930191973265,3.1228653725848607,1.2941455822997003,2.6522090646868244,2.1034302582581117
"el_observador","01-2016",1.6131828877625305,1.6644638815246569,0.0,0.5428126473315398,1.030570236743941,1.1559745711947,0.0,0.0,0.0,1.2400855397668418,1.3213347756272338,2.346745273878596,1.6031321290328626,1.6346852709002218
"el_observador","02-2016",1.4731827949389578,1.7538615774827402,0.8582595792846689,1.4871139391390704,0.9411321885847036,1.0556533066334244,1.5906097296626664,1.8401388814055817,0.0,1.1324647039685358,1.379043113249725,0.0,1.1712034331238115,0.8956914561263938
