"newspaper","date","epu_uruguay","eu_uruguay","pol_impositiva","pol_gasto_gub","pol_fiscal","pol_monetaria","pol_salud","pol_reg_financiera","pol_regulacion","pol_deuda_crisis","pol_prog_derechos","pol_comercial","otras_politicas","autoridades_intls"
"EPU Final","1-2002",168.68640168908723,172.23725984351708,173.42888759315426,253.39874844839306,143.06809628810575,254.24579961031722,0.0,63.321286750487474,103.97929623129589,254.63185192654,162.14814613472305,75.26521399074934,144.70421832255357,50.65743812396632
"EPU Final","02-2002",93.07639376872145,91.86780180880044,123.33785529568398,216.25226525043342,183.14297187819946,103.32149744753222,0.0,0.0,0.0,108.65230219406874,109.24607577614226,0.0,102.909660482921,27.019632627354966
"EPU Final","03-2002",91.37262249295502,100.40255415904598,170.26895447175355,149.2690424122695,84.27680824564602,47.54540094407627,0.0,62.16755144105062,306.2542746202278,87.49733064399474,83.78618523509216,36.94692813910302,87.94664568389095,0.0
"EPU Final","04-2002",102.46969769368006,94.81793830145999,0.0,140.96636258221528,53.05942842729748,56.12602352341937,241.33287688736618,58.70965242132032,96.40657437691581,129.84797939279164,102.8635519412816,0.0,102.22136057572945,23.484050446824728
"EPU Final","05-2002",118.93468110294386,115.05585407040799,161.18521161385416,235.50938634373315,265.9356430802576,123.77442925272965,0.0,58.85095122377837,0.0,153.8260331303512,126.9059909537537,34.97583249429728,115.27580328463353,70.62171127149819
"EPU Final","06-2002",238.29393838880233,225.62762343913036,275.3801621116628,386.2663816808728,517.9512173430329,276.82684102307564,0.0,60.32706472075636,297.18753622686586,388.1460532327587,276.4392887855179,107.55931382600713,249.46404304565223,193.04816469281243
"EPU Final","07-2002",204.8073556089452,200.04223538653315,141.35174213920726,247.83659778595472,251.86990391691594,248.6650560139743,509.1522662233246,61.931372478209994,101.69693092778076,348.6596881719335,158.58896352644715,36.80656412337827,188.70391099105476,173.40924207104467
"EPU Final","08-2002",178.09092768501145,186.05579426430648,142.7375435327289,50.053273670496736,141.29956483356395,191.31653235809037,0.0,125.07708559324763,102.69395966236684,238.91001742033396,185.42961370016988,74.33482558250905,170.13745476259317,175.10933267958436
"EPU Final","09-2002",166.031934551339,160.31349667545356,35.87169546093005,62.895008050875916,71.02062755212448,135.22553776810122,0.0,157.16702881722495,0.0,252.80428534067195,180.04829949822695,0.0,162.47899107847513,125.73463752890194
"EPU Final","10-2002",120.65131695686398,124.77621264631308,70.53444489263443,61.8351658930939,139.64772157958546,88.63123714693522,317.5833909118104,0.0,0.0,155.3401792821994,135.36388430819522,45.916140288722026,100.88909165827324,154.51985799530013
"EPU Final","11-2002",134.13922186302068,137.18812781898262,105.24744173738564,0.0,34.7290496699362,102.86144887325041,0.0,0.0,126.20221548869179,139.07380849198898,134.65480162454833,0.0,117.08736645830508,153.71042971874013
"EPU Final","12-2002",125.63144107653838,129.16679539663033,138.73113500892055,243.24180223922392,137.3335180112029,174.32492940655618,0.0,0.0,0.0,229.1488869421776,133.1206713108559,90.31046132395973,132.28958056900458,151.95919747958308
"EPU Final","01-2003",103.67278321316051,101.92688443473999,96.59488763301404,0.0,0.0,94.4050509129976,289.9475285295808,70.53626028888436,0.0,127.64033673615718,95.06509478596996,0.0,107.46143392735789,197.50312233956967
"EPU Final","02-2003",110.13247654922057,108.27779347510683,136.81809075701003,239.88759965471982,101.57980973428224,57.307020545464766,0.0,74.93126731403447,0.0,120.52747720404356,141.38383861937922,178.1302357676877,130.4653626551317,269.75473881487994
