"newspaper","date","epu_news_rel","pol_impositiva_rel","pol_gasto_gub_rel","pol_fiscal_rel","pol_monetaria_rel","pol_salud_rel","pol_reg_financiera_rel","pol_regulacion_rel","pol_deuda_crisis_rel","pol_prog_derechos_rel","pol_comercial_rel","otras_politicas_rel","autoridades_intls_rel"
"la_diaria","08-2009",0.046511627906976744,0.046511627906976744,0.011627906976744186,0.0,0.023255813953488372,0.011627906976744186,0.0,0.0,0.046511627906976744,0.03488372093023256,0.011627906976744186,0.046511627906976744,0.0
"la_diaria","09-2009",0.05405405405405406,0.05405405405405406,0.0,0.013513513513513514,0.02702702702702703,0.0,0.013513513513513514,0.013513513513513514,0.05405405405405406,0.04054054054054054,0.04054054054054054,0.04054054054054054,0.0
"la_diaria","10-2009",0.05263157894736842,0.05263157894736842,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.0,0.008771929824561403,0.05263157894736842,0.03508771929824561,0.02631578947368421,0.043859649122807015,0.008771929824561403
"la_diaria","11-2009",0.06779661016949153,0.059322033898305086,0.0,0.00847457627118644,0.0423728813559322,0.0,0.01694915254237288,0.00847457627118644,0.06779661016949153,0.03389830508474576,0.025423728813559324,0.06779661016949153,0.025423728813559324
"la_diaria","12-2009",0.08056872037914692,0.08056872037914692,0.0,0.014218009478672985,0.04739336492890995,0.004739336492890996,0.018957345971563982,0.009478672985781991,0.08056872037914692,0.04739336492890995,0.037914691943127965,0.06635071090047394,0.004739336492890996
"la_diaria","01-2010",0.06358381502890173,0.06358381502890173,0.005780346820809248,0.011560693641618497,0.046242774566473986,0.005780346820809248,0.017341040462427744,0.005780346820809248,0.06358381502890173,0.03468208092485549,0.017341040462427744,0.04046242774566474,0.005780346820809248
"la_diaria","02-2010",0.04294478527607362,0.04294478527607362,0.012269938650306749,0.012269938650306749,0.018404907975460124,0.0,0.012269938650306749,0.0,0.04294478527607362,0.03067484662576687,0.024539877300613498,0.03067484662576687,0.012269938650306749
"la_diaria","03-2010",0.04568527918781726,0.04568527918781726,0.0,0.005076142131979695,0.02030456852791878,0.005076142131979695,0.005076142131979695,0.0,0.04568527918781726,0.025380710659898477,0.025380710659898477,0.03553299492385787,0.01015228426395939
"la_diaria","04-2010",0.05113636363636364,0.05113636363636364,0.017045454545454544,0.022727272727272728,0.045454545454545456,0.005681818181818182,0.017045454545454544,0.005681818181818182,0.05113636363636364,0.05113636363636364,0.022727272727272728,0.05113636363636364,0.011363636363636364
"la_diaria","05-2010",0.08823529411764706,0.08823529411764706,0.01764705882352941,0.029411764705882353,0.047058823529411764,0.0,0.01764705882352941,0.0058823529411764705,0.08823529411764706,0.058823529411764705,0.052941176470588235,0.07647058823529412,0.023529411764705882
