"Newspaper","Date","EPU Uruguay","Política impositiva","Política de gasto gubernamental","Política fiscal","Política monetaria","Política de salud","Política de seguridad nacional","Política de regulación financiera","Política de regulación","Política de deuda soberana y crisis monetaria","Política de programas de derechos","Política comercial","Otras políticas","Autoridades"
"final","1-2002",151.67479609178733,133.35090546090834,232.7882875417152,131.59783717095127,179.1288451877776,0.0,154.68006326764404,0.0,0.0,151.67479609178733,170.1271653597464,189.2990952926974,153.1453922189408,56.800756150788324
"final","02-2002",131.46283762317927,284.506489827739,124.164471048378,701.9157199012295,89.17405586557905,0.0,82.5031552926177,0.0,297.44268115527683,131.46283762317927,118.35954904471907,148.08674161218474,131.9520355078092,121.18540699942592
"final","03-2002",65.14866307766681,52.36848270388552,0.0,258.4001599365204,35.17301138136278,0.0,75.93087004049391,0.0,0.0,65.14866307766681,65.3585442013042,86.73000075006381,69.3946298118551,55.76582711922735
"final","04-2002",79.10350447434077,98.91125984887543,215.8345187011421,244.02736192484525,77.50542190477698,0.0,0.0,131.24593285868974,258.5216100317172,79.10350447434077,96.01379664804102,70.20504262395835,87.3796592535564,52.66400640311187
"final","05-2002",88.10431772580006,148.72397013377838,0.0,244.61467206184844,77.6919572162205,0.0,143.7600106663182,0.0,86.38126801300459,88.10431772580006,82.49560867232405,35.18700391441475,93.06433173056648,70.38767321908092
"final","06-2002",130.95554808022547,228.681449965158,110.89030884748233,626.875388003894,147.90405553456824,560.6305260983914,73.68291665113719,0.0,88.54790343602814,130.95554808022547,119.8001093455923,144.27829072144073,123.45700314663917,144.30630701905324
"final","07-2002",120.53072322395329,52.1695311022245,227.67854041120899,128.7092396475703,163.51713747575997,0.0,75.64240324844477,138.44811575089307,90.90270204998752,120.53072322395329,130.2204848586559,160.45808496725306,126.74015688164899,111.10793752754458
"final","08-2002",149.79987320744723,105.36199418684555,114.95534148213002,129.97109493823277,176.9145500000344,387.4547995087491,76.38399543715501,419.4163506571172,183.58781002252383,149.79987320744723,131.4971562788388,112.1754485404552,133.8001032320082,74.79815402181106
"final","09-2002",76.46954561262596,66.19690368568283,0.0,0.0,74.10132731656503,0.0,47.990587384993475,175.67412223560024,0.0,76.46954561262596,73.43744060707154,31.323406805440445,73.09914584716036,117.48558471824367
"final","10-2002",121.44616497890495,195.24426410927305,142.01433971410057,0.0,131.1347659715895,0.0,188.7275969410907,0.0,226.80200227111158,121.44616497890495,117.32491580925708,107.78451909960536,114.98776644267373,115.50583816164347
"final","11-2002",80.53999207087148,64.74050245215813,282.54083930547625,159.7235142614427,72.47102048194182,0.0,93.86948836855193,0.0,0.0,80.53999207087148,71.82173997559067,76.58564759790114,92.93815447126397,68.94046726106683
"final","12-2002",136.49553439073196,192.00872995520947,418.9827516060233,157.9037745857556,143.29070750909054,0.0,139.20004139997332,0.0,0.0,136.49553439073196,124.25607344560048,136.28358481403828,127.21749846399126,136.31004868086646
"final","01-2003",89.75839157541182,89.12712921718979,129.65636111397936,0.0,79.81567967309246,0.0,258.4569999455274,0.0,0.0,89.75839157541182,90.63610082616758,56.23153894784357,85.29756581040525,168.7273743607392
"final","02-2003",95.35110034568773,126.24067332090893,550.9402065721697,0.0,70.6573943309637,0.0,228.80088520884277,0.0,0.0,95.35110034568773,96.28349832401867,149.33810139366014,90.61232731646726,134.43039019548166
"final","03-2003",114.55359351654532,28.02485695718137,0.0,0.0,75.29098127892621,206.1154103509128,446.9762780615016,0.0,97.6637193453154,114.55359351654532,93.27054531523984,106.08761996509263,92.84088795690366,159.16233046273808
"final","04-2003",93.73146404996565,58.60105224332377,255.74701860320252,0.0,91.83786123282962,0.0,339.8707506791193,0.0,102.10929405235679,93.73146404996565,97.51614623997338,166.37496587697672,77.65354497675584,145.60636383904472
"final","05-2003",83.1985091251589,27.53779393519827,0.0,0.0,49.32163212122172,0.0,39.92799761487648,0.0,0.0,83.1985091251589,68.73714987302938,78.18288837668089,79.0636973643685,117.29710517056733
"final","06-2003",72.28303995955007,27.114879153393996,0.0,0.0,97.1283391663199,0.0,39.314798880115326,0.0,94.49254109540169,72.28303995955007,67.68151132737073,51.321457223130594,83.8378882910521,19.24928360412119
"final","07-2003",77.8189775342496,54.734109469074326,238.87088672903192,135.03639890393893,61.269786581057105,0.0,79.36087391300515,0.0,95.37134683632438,77.8189775342496,83.49118233765657,64.74845051567462,72.52937393975999,97.1415352829765
"final","08-2003",112.1130375960863,109.71115772851296,239.40100409860366,135.3360802153103,122.81152072794224,201.72413662839003,119.30549487054971,145.57638092049075,95.58300095713291,112.1130375960863,114.10427897253876,90.84900211724393,115.0930315417807,97.35711791786993
"final","09-2003",84.82392297903525,56.15157618408443,490.11400475615994,0.0,87.99911373922657,0.0,40.708053906307505,0.0,97.84120906697885,84.82392297903525,62.29336738455365,92.99536654709249,68.20704944403145,79.72579251938608
"final","10-2003",78.47934402516105,27.59928967868911,0.0,0.0,74.14766133096575,0.0,40.017162415267,0.0,0.0,78.47934402516105,68.89064953777486,91.4170619786291,85.33566208812314,58.77952300195469
"final","11-2003",89.98118152004076,25.315366485286734,0.0,0.0,68.01172213028771,0.0,0.0,0.0,88.22142611897601,89.98118152004076,98.29515683058358,131.76747348695827,89.45586582328448,125.80246674991615
"final","12-2003",57.32337470824346,53.75799007445404,117.3054506816342,0.0,48.141688769039376,197.68789900990112,38.972782360932065,0.0,0.0,57.32337470824346,37.2737335834609,89.0312317399524,41.55427303508215,19.0818257215277
"final","01-2004",62.96103393255268,25.304999832344357,110.43621257865563,0.0,45.32258086814969,0.0,73.38118480571895,0.0,0.0,62.96103393255268,56.14565995634832,59.869779387548434,55.88702100599852,53.89326453782824
"final","02-2004",72.03019154692376,81.06009128629417,117.92095807480413,0.0,84.6900084565097,0.0,117.53182332459488,0.0,0.0,72.03019154692376,67.44475921079051,63.92741638145748,71.60967483864367,76.72779594891506
"final","03-2004",43.597472030650955,49.06296910725281,0.0,0.0,43.93717446606651,0.0,35.56904591019564,0.0,85.48967890290609,43.597472030650955,20.411031403344964,23.21587951796638,48.76081570741705,52.24587217204309
"final","04-2004",81.14928476247024,177.57129192696814,0.0,0.0,56.792766050914175,0.0,110.34288996032367,0.0,88.40250457981135,81.14928476247024,63.319443479096016,96.02758703736832,61.62714114380674,126.0606819936557
"final","05-2004",95.22141506810092,153.08375621119302,222.6963097581148,0.0,34.27262876136092,0.0,36.993570044501574,0.0,88.91350171611084,95.22141506810092,70.76161313656202,96.58265979480976,67.61821897439226,36.22553041601336
"final","06-2004",100.03591037781482,73.41957575119,320.4180963767252,0.0,109.58192324754607,179.9938533955496,0.0,0.0,85.28653511145365,100.03591037781482,88.23762975119968,127.38392189372881,75.6699197684387,69.49563141986881
"final","07-2004",108.34849254657632,121.93135278331674,106.4266894700383,120.32840912592505,152.86981005527835,0.0,70.71699025081517,0.0,84.98362318722195,108.34849254657632,101.45104203833063,115.39226619131277,96.94435261798228,34.62440199983598
"final","08-2004",98.81737034742801,50.547901505590936,110.3007080233444,0.0,124.48416843356206,0.0,109.93671981323045,0.0,0.0,98.81737034742801,70.09596197004223,71.75558344264701,72.56398236631611,71.76951711049847
"final","09-2004",66.237655033299,49.69425781309604,325.3139096707805,0.0,66.75376506635797,365.4881220938984,36.02670954876672,0.0,259.7690001886857,66.237655033299,55.1297553733022,58.78649025508374,65.85095551104868,17.639371666181017
"final","10-2004",75.36395641684237,117.7941471417936,102.8155665715124,0.0,105.48774540604416,0.0,136.6350387308926,0.0,0.0,75.36395641684237,52.271331152650625,111.47693577155415,67.63970144324928,133.7982991499571
"final","11-2004",71.60360687544238,75.54377700560504,0.0,0.0,67.65143183375399,0.0,109.53352890926995,0.0,0.0,71.60360687544238,69.83888631489536,83.40782468221295,61.175108323681016,17.876575930640662
"final","12-2004",92.71594094150254,78.25429665333674,227.67854041120899,128.7092396475703,105.11815980584568,191.84655121306997,75.64240324844477,138.44811575089307,363.6108081999501,92.71594094150254,72.3447138103644,86.40050729005934,80.65282710650389,74.07195835169638
"final","01-2005",67.62440396872522,25.36732741813831,0.0,0.0,79.50987247127983,0.0,36.78096332010789,0.0,88.40250457981135,67.62440396872522,77.39043091889512,84.02413865769728,72.83207589722616,36.01733771247306
"final","02-2005",63.0603540895639,54.589054408643925,238.2378366758631,0.0,73.32889298588,0.0,0.0,0.0,0.0,63.0603540895639,60.559938875177814,103.322969091444,66.30906176073906,58.130455830996716
"final","03-2005",50.56686280859386,103.46556649742138,112.88624157265679,0.0,69.49209448306082,0.0,0.0,137.28906915607604,90.14169156819608,50.56686280859386,43.043439183780634,36.71879479222937,39.98881277005185,18.362962467054075
"final","04-2005",49.14736991445513,25.14028054946498,0.0,0.0,22.513780000004378,0.0,109.35528069298148,0.0,87.6112697951263,49.14736991445513,55.78018780040789,59.480065607971234,55.52323242337201,35.69496935214987
"final","05-2005",59.04410325011278,25.556166083782017,223.0647072928677,0.0,80.10175737801393,0.0,148.21906806911963,0.0,89.0605877404551,59.04410325011278,63.7908041005285,60.464020374025345,56.44173089191413,54.428185277657796
"final","06-2005",80.65265511276114,176.484564314196,220.06138810043007,124.40317777441619,101.60135478582148,185.42818434262045,109.66759687611116,133.81623264539604,175.72297115986981,80.65265511276114,111.87898948462063,95.43990290617268,94.65906936120042,89.49228342266868
"final","07-2005",79.35755025346349,49.61445972748689,108.26384227903534,0.0,111.07762191892967,0.0,143.87543419957098,0.0,259.35186811291106,79.35755025346349,96.32215087252288,58.69209203709084,82.18151663788541,88.05523350821395
