"newspaper","date","total_news","economy_news_count","epu_news_count","pol_impositiva_count","pol_gasto_gub_count","pol_fiscal_count","pol_monetaria_count","pol_salud_count","pol_reg_financiera_count","pol_regulacion_count","pol_deuda_crisis_count","pol_prog_derechos_count","pol_comercial_count","otras_politicas_count","autoridades_intls_count"
"la_diaria","08-2015","539",107,13,1,1,5,6,1,3,2,5,12,2,13,2
"la_diaria","09-2015","610",121,21,8,1,6,11,4,8,5,6,16,1,20,1
"la_diaria","10-2015","601",130,15,0,0,3,6,0,4,3,4,10,3,14,3
"la_diaria","11-2015","577",115,13,2,1,1,3,1,1,6,0,8,0,11,4
"la_diaria","12-2015","609",130,19,5,4,7,11,1,4,3,7,18,3,18,5
"la_diaria","01-2016","527",91,9,2,0,0,2,0,2,3,0,8,0,9,1
"la_diaria","02-2016","592",104,12,2,1,1,7,1,2,2,3,9,1,12,2
"la_diaria","03-2016","632",120,24,3,2,5,7,1,0,3,4,17,3,22,4
"la_diaria","04-2016","590",122,14,0,3,3,5,2,1,1,4,12,3,12,5
"la_diaria","05-2016","586",135,14,4,3,5,7,1,3,4,2,8,0,13,3
"la_diaria","06-2016","638",134,22,5,3,7,11,5,7,3,4,16,4,22,3
"la_diaria","07-2016","590",132,25,2,4,5,10,3,4,1,9,15,6,20,2
"la_diaria","08-2016","743",135,8,1,2,4,1,2,0,1,2,4,0,7,1
"la_diaria","09-2016","748",131,19,5,3,6,8,1,5,2,4,11,3,16,2
"la_diaria","10-2016","711",114,8,0,0,0,0,1,0,0,1,3,2,8,2
"la_diaria","11-2016","708",118,19,4,2,1,3,1,1,5,1,16,6,17,10
"la_diaria","12-2016","687",128,19,3,4,5,7,1,1,2,4,15,3,18,8
"la_diaria","01-2017","692",128,22,5,1,2,6,2,1,1,3,19,5,20,9
"la_diaria","02-2017","636",111,17,4,0,4,7,1,3,5,1,15,2,16,5
"la_diaria","03-2017","694",109,21,7,7,6,5,3,2,6,5,16,3,20,6
"la_diaria","04-2017","641",101,13,2,2,1,3,0,1,6,2,12,1,12,4
