"newspaper","date","epu_news_rel","epu_cat2_news_rel","epu_cat3_news_rel","epu_cat4_news_rel","epu_cat5_news_rel","epu_cat6_news_rel","epu_cat7_news_rel","epu_cat8_news_rel","epu_cat9_news_rel","epu_cat10_news_rel","epu_cat11_news_rel","epu_cat12_news_rel","epu_cat13_news_rel","epu_cat14_news_rel"
"la_republica_fake","10-2011",0.005037783375314861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005037783375314861,0.0,0.0,0.0025188916876574307,0.0
"la_republica_fake","11-2011",0.00596529284164859,0.0010845986984815619,0.0,0.0005422993492407809,0.0021691973969631237,0.0,0.0016268980477223427,0.0010845986984815619,0.0,0.00596529284164859,0.004880694143167028,0.0016268980477223427,0.005422993492407809,0.0016268980477223427
"la_republica_fake","12-2011",0.012063492063492064,0.00031746031746031746,0.0,0.00031746031746031746,0.0025396825396825397,0.0,0.00031746031746031746,0.00031746031746031746,0.0022222222222222222,0.012063492063492064,0.004761904761904762,0.0022222222222222222,0.009841269841269842,0.0009523809523809524
"la_republica_fake","01-2012",0.007311129163281885,0.0008123476848090983,0.0,0.0,0.0029786081776333605,0.0,0.001083130246412131,0.0,0.0005415651232060655,0.007311129163281885,0.005686433793663688,0.0016246953696181965,0.007311129163281885,0.001083130246412131
"la_republica_fake","02-2012",0.003051881993896236,0.0,0.0,0.0,0.0,0.0,0.001017293997965412,0.0,0.0006781959986436081,0.003051881993896236,0.002373685995252628,0.00033909799932180403,0.00169548999660902,0.00033909799932180403
"la_republica_fake","03-2012",0.005671564836298015,0.0007733952049497294,0.0,0.0005155968032998196,0.0018045888115493685,0.0005155968032998196,0.0005155968032998196,0.0002577984016499098,0.0,0.005671564836298015,0.003351379221448827,0.0015467904098994587,0.004898169631348285,0.0007733952049497294
"la_republica_fake","04-2012",0.004246284501061571,0.00035385704175513094,0.0,0.0,0.0,0.0,0.00035385704175513094,0.0,0.0007077140835102619,0.004246284501061571,0.0017692852087756545,0.0017692852087756545,0.0031847133757961785,0.00035385704175513094
"la_republica_fake","05-2012",0.0022675736961451248,0.0005039052658100278,0.0,0.0,0.0012597631645250692,0.0,0.0002519526329050139,0.0,0.0007558578987150416,0.0022675736961451248,0.002015621063240111,0.0005039052658100278,0.0022675736961451248,0.0002519526329050139
"la_republica_fake","06-2012",0.005922416345869114,0.0005922416345869114,0.0,0.0,0.002961208172934557,0.0,0.0005922416345869114,0.0,0.0005922416345869114,0.005922416345869114,0.002961208172934557,0.0011844832691738228,0.005922416345869114,0.0017767249037607344
"la_republica_fake","07-2012",0.003762541806020067,0.0004180602006688963,0.0,0.0,0.0010451505016722408,0.0,0.0,0.0,0.0,0.003762541806020067,0.00229933110367893,0.0010451505016722408,0.0033444816053511705,0.0006270903010033445
"la_republica_fake","08-2012",0.004422821760283061,0.0006634232640424591,0.0,0.0,0.0008845643520566122,0.0006634232640424591,0.0006634232640424591,0.0,0.0,0.004422821760283061,0.0030959752321981426,0.0022114108801415304,0.0037593984962406013,0.0
"la_republica_fake","09-2012",0.0027924294135898233,0.0012410797393732546,0.0006205398696866273,0.0,0.0006205398696866273,0.0006205398696866273,0.0,0.0006205398696866273,0.00031026993484331366,0.0027924294135898233,0.0027924294135898233,0.0,0.0027924294135898233,0.0
"la_republica_fake","10-2012",0.003801169590643275,0.0008771929824561404,0.0,0.0,0.0005847953216374269,0.0,0.0005847953216374269,0.0005847953216374269,0.0,0.003801169590643275,0.0020467836257309943,0.0014619883040935672,0.0020467836257309943,0.0005847953216374269
"la_republica_fake","11-2012",0.00312256049960968,0.0,0.0,0.0,0.0005204267499349467,0.0,0.0005204267499349467,0.0,0.0,0.00312256049960968,0.0026021337496747333,0.00026021337496747333,0.0026021337496747333,0.00156128024980484
"la_republica_fake","12-2012",0.0040650406504065045,0.0,0.0007390983000739098,0.0,0.0007390983000739098,0.0,0.0007390983000739098,0.0,0.0007390983000739098,0.0040650406504065045,0.0040650406504065045,0.0014781966001478197,0.0040650406504065045,0.0011086474501108647
"la_republica_fake","01-2013",0.0035,0.0015,0.0,0.0005,0.002,0.0,0.0,0.0,0.0005,0.0035,0.0025,0.0025,0.003,0.0
"la_republica_fake","02-2013",0.0026014568158168575,0.0005202913631633715,0.0,0.0,0.001040582726326743,0.0,0.0,0.0,0.0,0.0026014568158168575,0.0026014568158168575,0.0,0.0026014568158168575,0.0
"la_republica_fake","03-2013",0.005483870967741935,0.0,0.0,0.0,0.000967741935483871,0.000967741935483871,0.0012903225806451613,0.0003225806451612903,0.0025806451612903226,0.005483870967741935,0.004516129032258065,0.0025806451612903226,0.004516129032258065,0.0
"la_republica_fake","04-2013",0.0012782275244993609,0.0,0.0,0.0,0.0,0.0,0.00042607584149978694,0.0,0.00042607584149978694,0.0012782275244993609,0.0012782275244993609,0.0008521516829995739,0.0012782275244993609,0.00042607584149978694
"la_republica_fake","05-2013",0.004803843074459567,0.0016012810248198558,0.0,0.0005337603416066186,0.0018681611956231651,0.0,0.0016012810248198558,0.0002668801708033093,0.0,0.004803843074459567,0.0026688017080330933,0.0026688017080330933,0.0037363223912463303,0.0002668801708033093
"la_republica_fake","06-2013",0.003979533826037522,0.0011370096645821489,0.0005685048322910744,0.0005685048322910744,0.0005685048322910744,0.0,0.0002842524161455372,0.0,0.0,0.003979533826037522,0.002558271745309835,0.0011370096645821489,0.003979533826037522,0.0005685048322910744
"la_republica_fake","07-2013",0.004294917680744453,0.0014316392269148174,0.0,0.0,0.0004772130756382725,0.000954426151276545,0.000954426151276545,0.0,0.0,0.004294917680744453,0.0033404915294679076,0.000954426151276545,0.00381770460510618,0.000954426151276545
"la_republica_fake","08-2013",0.00440324449594438,0.0004634994206257242,0.0,0.0,0.0009269988412514484,0.0,0.0009269988412514484,0.0,0.0,0.00440324449594438,0.0025492468134414832,0.0009269988412514484,0.00440324449594438,0.0006952491309385864
