"newspaper","date","epu_news_rel","eu_news_rel","pol_impositiva_rel","pol_gasto_gub_rel","pol_fiscal_rel","pol_monetaria_rel","pol_salud_rel","pol_reg_financiera_rel","pol_regulacion_rel","pol_deuda_crisis_rel","pol_prog_derechos_rel","pol_comercial_rel","otras_politicas_rel","autoridades_intls_rel"
"busqueda","04-2012",0.0707070707070707,0.09090909090909091,0.020202020202020204,0.010101010101010102,0.020202020202020204,0.04040404040404041,0.0,0.010101010101010102,0.0,0.04040404040404041,0.06060606060606061,0.020202020202020204,0.0707070707070707,0.020202020202020204
"busqueda","05-2012",0.04639175257731959,0.04639175257731959,0.015463917525773196,0.005154639175257732,0.02577319587628866,0.02577319587628866,0.0,0.0,0.0,0.030927835051546393,0.03608247422680412,0.020618556701030927,0.041237113402061855,0.015463917525773196
"busqueda","06-2012",0.11842105263157894,0.11842105263157894,0.039473684210526314,0.013157894736842105,0.03289473684210526,0.07236842105263158,0.0,0.019736842105263157,0.0,0.06578947368421052,0.08552631578947369,0.013157894736842105,0.09210526315789473,0.03289473684210526
"busqueda","07-2012",0.06,0.07333333333333333,0.013333333333333334,0.006666666666666667,0.02666666666666667,0.05333333333333334,0.0,0.013333333333333334,0.006666666666666667,0.03333333333333333,0.05333333333333334,0.006666666666666667,0.06,0.013333333333333334
"busqueda","08-2012",0.08648648648648649,0.08648648648648649,0.016216216216216217,0.005405405405405406,0.02702702702702703,0.04864864864864865,0.0,0.016216216216216217,0.0,0.05405405405405406,0.05405405405405406,0.010810810810810811,0.07567567567567568,0.005405405405405406
"busqueda","09-2012",0.0379746835443038,0.0379746835443038,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.0,0.012658227848101266,0.03164556962025317,0.006329113924050633,0.03164556962025317,0.006329113924050633
"busqueda","10-2012",0.08040201005025126,0.08040201005025126,0.02512562814070352,0.010050251256281407,0.020100502512562814,0.04522613065326633,0.005025125628140704,0.01507537688442211,0.010050251256281407,0.01507537688442211,0.07035175879396985,0.0,0.07537688442211055,0.010050251256281407
"busqueda","11-2012",0.03592814371257485,0.03592814371257485,0.011976047904191617,0.017964071856287425,0.011976047904191617,0.017964071856287425,0.011976047904191617,0.005988023952095809,0.0,0.023952095808383235,0.029940119760479042,0.017964071856287425,0.03592814371257485,0.0
"busqueda","12-2012",0.05128205128205128,0.05128205128205128,0.01282051282051282,0.00641025641025641,0.01282051282051282,0.019230769230769232,0.0,0.0,0.01282051282051282,0.019230769230769232,0.05128205128205128,0.00641025641025641,0.05128205128205128,0.00641025641025641
"busqueda","01-2013",0.03389830508474576,0.03389830508474576,0.02824858757062147,0.022598870056497175,0.022598870056497175,0.03389830508474576,0.0,0.022598870056497175,0.0,0.02824858757062147,0.03389830508474576,0.005649717514124294,0.03389830508474576,0.005649717514124294
"busqueda","02-2013",0.034722222222222224,0.034722222222222224,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.013888888888888888,0.0,0.006944444444444444,0.0,0.013888888888888888,0.034722222222222224,0.013888888888888888,0.034722222222222224,0.0
"busqueda","03-2013",0.07692307692307693,0.07692307692307693,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.04807692307692308,0.0,0.009615384615384616,0.028846153846153848,0.028846153846153848,0.0673076923076923,0.019230769230769232,0.0673076923076923,0.028846153846153848
