"newspaper","date","epu_news_std","eu_news_std","pol_impositiva_std","pol_gasto_gub_std","pol_fiscal_std","pol_monetaria_std","pol_salud_std","pol_reg_financiera_std","pol_regulacion_std","pol_deuda_crisis_std","pol_prog_derechos_std","pol_comercial_std","otras_politicas_std","autoridades_intls_std"
"la_diaria","04-2012",5.3868763247477345,5.397123726220533,4.080619770846509,0.0,0.0,2.8891198491268932,0.0,5.264912972213859,0.0,4.668787113335693,5.140023581338628,4.357534677793554,5.925147698379638,6.3267617020011935
"la_diaria","05-2012",1.57575293853165,1.578750477737979,1.7904760219020395,0.0,3.115724666895614,1.267675035841392,0.0,1.5400765837088155,0.0,2.7313992635841466,1.8042531754902937,0.0,1.7332064695940437,1.3880140468676088
"la_diaria","06-2012",0.8085015077282813,0.8100395121378113,0.0,0.0,0.0,1.3008602462037322,0.0,0.0,0.0,0.0,0.9257424670054911,0.0,0.8892891833519178,0.0
"la_diaria","07-2012",3.3209416769054134,3.3272590713617625,0.0,0.0,3.28323674576097,4.007488822982465,5.003007840141657,1.6228764000372469,2.8352704005370923,2.8782486863574883,2.851884051581432,0.0,2.7395844196809076,0.0
"la_diaria","08-2012",2.998520154875761,3.004224210064504,1.703559710159222,0.0,2.9644758966579627,1.2061374127422952,0.0,0.0,0.0,1.2994035331613902,2.5750021048259537,1.8191649625740078,2.473605349808975,2.641269448408265
"la_diaria","09-2012",1.795625441582578,2.6985618631102666,0.0,0.0,0.0,1.4445599245634466,0.0,0.0,0.0,0.0,2.056009432535451,0.0,1.9750492327932125,1.5816904255002984
"la_diaria","10-2012",1.5442378797610172,1.5471754681832195,0.0,0.0,1.526705086778851,1.2423215351245642,0.0,1.5092750520346394,0.0,0.0,0.0,0.0,1.6985423402021629,1.3602537659302567
"la_diaria","11-2012",1.5677541926507788,1.57073651592205,0.0,0.0,0.0,1.2612401371822985,0.0,1.532258936075776,0.0,0.0,1.7950945299294294,1.9022740217778966,1.7244084672103175,1.3809682902845244
"la_diaria","12-2012",1.7749860686908243,1.7783626071071488,2.0168580476597686,0.0,0.0,2.855911574998998,0.0,3.4695978207692857,0.0,1.5383742978807264,1.0161885701037288,0.0,1.9523475174737503,0.0
"la_diaria","01-2013",3.3031826305048493,3.3094662421031433,1.8766486646673783,0.0,1.6328396650041186,1.328686133823063,0.0,0.0,5.640217053474856,2.8628569821523677,2.836633334728056,0.0,2.7249342356184436,0.0
"la_diaria","02-2013",0.8627027261234733,0.8643438369738656,1.9605212306860322,0.0,0.0,1.3880687543291221,0.0,0.0,0.0,0.0,0.9878034145142391,0.0,0.9489063353084709,0.0
"la_diaria","03-2013",1.7749860686908243,1.7783626071071488,0.0,2.4035507989807297,1.754833433079139,2.855911574998998,0.0,1.7347989103846428,0.0,1.5383742978807264,2.0323771402074575,0.0,1.9523475174737503,0.0
"la_diaria","04-2013",3.2510271152863517,3.2572115119646727,5.541052109886312,6.6034395635154794,4.821173958249004,3.923120637235466,4.897681359296569,3.177421162178188,0.0,4.226480965756522,3.722459183116817,3.9447156030552173,3.575878610951922,0.0
"la_diaria","05-2013",1.6002465075243701,1.6032906406043725,1.8183072554031077,2.1669318084074973,3.164155620267049,2.5747596582892522,0.0,1.564015597963357,0.0,1.3869281234779607,1.8322985616378116,0.0,1.7601475028001687,0.0
"la_diaria","06-2013",3.5499721373816486,3.5567252142142975,0.0,2.4035507989807297,1.754833433079139,2.855911574998998,0.0,3.4695978207692857,0.0,1.5383742978807264,3.0485657103111863,0.0,2.9285212762106254,0.0
"la_diaria","07-2013",0.7644741979014936,0.7659284495956532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85518803113983,0.8408625446545361,0.0
"la_diaria","08-2013",2.3048326563597272,2.3092171166913724,1.7459368173771133,0.0,0.0,3.7084224929091465,0.0,1.5017662209299893,2.6236830572134284,2.6634540082711085,1.759371255701978,1.8644178223395307,2.535137821197258,0.0
"la_diaria","09-2013",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la_diaria","10-2013",2.1057789269468414,2.109784729340754,0.0,0.0,0.0,1.1293832137496038,0.0,0.0,0.0,0.0,2.411138334518847,0.0,2.3161941002756765,1.2365943326638695
"la_diaria","11-2013",0.7644741979014936,0.7659284495956532,1.7372935658059394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8753307485051921,0.0,0.8408625446545361,0.0
"la_diaria","12-2013",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la_diaria","01-2014",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la_diaria","02-2014",0.8627027261234733,0.8643438369738656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9878034145142391,2.0935641468728807,0.9489063353084709,0.0
"la_diaria","03-2014",0.7424220575774121,0.743834359703471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816606894327963,0.0
"la_diaria","04-2014",0.8438458359349821,0.845451075509956,0.0,0.0,0.0,1.3577284536880483,0.0,0.0,0.0,1.4627165455259368,0.966212083049447,0.0,0.9281652132252256,0.0
"la_diaria","05-2014",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la_diaria","06-2014",0.7838770963253894,0.785368257961025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8975472649647147,0.0,0.8622042336051587,1.3809682902845244
