"newspaper","date","epu_news_std","pol_impositiva_std","pol_gasto_gub_std","pol_fiscal_std","pol_monetaria_std","pol_salud_std","pol_reg_financiera_std","pol_regulacion_std","pol_deuda_crisis_std","pol_prog_derechos_std","pol_comercial_std","otras_politicas_std","autoridades_intls_std"
"busqueda","04-2012",8.039273903432141,7.801808198102229,1.2350247124230582,3.2691883259636967,6.345631455687659,0.9011022968297543,2.1201754015295733,1.4588660933244555,8.039273903432141,6.015785507070762,3.4723238985175353,7.090793749698835,3.9030479034087064
"busqueda","05-2012",7.2764963545422,7.321427198938182,0.9054535110742084,2.0543936269900276,4.755658630273785,3.5234112280534213,1.3816873403226433,1.782603232011624,7.2764963545422,5.460556507622016,5.091441221983577,5.82241805874147,2.7555225834926635
"busqueda","06-2012",8.514009580713292,8.543798348411253,2.629825349180568,3.9778934875362464,7.721257855172396,2.192892302774507,4.729622049565972,0.8875618889456478,8.514009580713292,5.751355374891827,5.130436609298137,6.729807886077803,2.638423990649242
"busqueda","07-2012",7.064816460591881,6.78757313234894,1.627987120921304,4.309384611497601,5.297640806187728,0.593908332001429,2.3289805547105162,2.4038134492277963,7.064816460591881,5.475406505894492,4.250214642016593,5.6081732383981695,2.000804859575675
"busqueda","08-2012",7.995162661163651,7.3741535265025515,2.3213890427951926,3.0097289350141967,5.225353309806997,3.387477152897039,3.036300575030006,1.958662810481908,7.995162661163651,5.692185052104874,4.528718735368108,6.702113203419048,1.1644896008112395
"busqueda","09-2012",5.777224012138684,5.2737978294509755,1.5460021579972096,2.6308062273685247,2.647817441941613,1.6919978379321288,1.7693550113484209,1.369654857401737,5.777224012138684,3.5859769723546164,3.4152250471544514,4.7931725231777165,1.0857399443535012
"busqueda","10-2012",7.871480586847308,7.950085657778868,2.0777073200708354,2.4693079936442444,4.880176235534376,4.33126518365683,3.0572695016531415,2.4542802509242914,7.871480586847308,6.05851800080686,4.768621612802297,6.952895440312427,1.2507004331364915
"busqueda","11-2012",7.401236292048637,7.404625235289752,1.7442719152728254,2.902238615906547,5.257808920426917,2.0362571382906136,2.3955228562736735,2.0604115279095394,7.401236292048637,6.149717651940612,4.203508986609818,6.569574364980713,1.9599721073394372
"busqueda","12-2012",6.202444498266111,5.544778051778008,0.7566700702873667,1.4306810078412557,4.924567509977323,1.1041676031575862,2.1649678395900573,1.3407184871749398,6.202444498266111,4.387771119342356,3.039156732102873,5.908328989185677,1.3285022206438086
"busqueda","01-2013",5.738300289721253,5.670630718164937,3.400226265215382,3.0859246042550628,5.590581636909634,1.4885297434972524,3.1131689440181076,2.0082492107472727,5.738300289721253,4.416652650760812,4.0970910375817216,5.153840216553255,1.4327644202386391
"busqueda","02-2013",5.8234533615731525,5.472151982668913,2.9152327514172187,1.8898297964042632,3.9943044511770376,1.8231604610276424,1.4298857359152937,0.9838864350327724,5.8234533615731525,5.216345572576309,4.349056842993724,5.547309342787647,1.462382289390859
"busqueda","03-2013",6.2062450157282845,6.221942037986528,2.798102864083491,2.1162156574318574,4.600582805373552,1.6332479130039297,2.5618786101815676,3.30524349268822,6.2062450157282845,5.451805615782878,4.04587739961195,5.911949288811404,2.35809144164276
"busqueda","04-2013",6.095135769922407,6.3883041245637076,0.9029172267294626,2.048639022992857,5.567091798099089,1.3175781483056912,3.616769802609272,2.666414918471169,6.095135769922407,3.9792290689027485,4.351868127313693,4.561942600646579,1.2682172459255179
"busqueda","05-2013",5.90800440856514,5.874624699342942,2.1992106721217612,3.5641526862010227,4.304638882220868,1.3753666635822566,0.7191238204018435,1.8555752941407548,5.90800440856514,4.0808837357906915,3.533241861649422,4.762027802429323,1.1032006744527532
"busqueda","06-2013",6.024262098179123,6.31402151846413,1.8740781973396405,1.4173723473031974,4.2796119119753975,2.7347406915414636,1.4298857359152937,1.4758296525491585,6.024262098179123,3.7673606913051114,4.014514008917283,4.877806491071897,1.7548587472690307
"busqueda","07-2013",6.558057473967147,6.701654485104017,0.6800452530430763,2.057283069503375,5.3576407353717315,1.984706324663003,1.5565844720090538,1.2049495264483636,6.558057473967147,4.8898654347709,4.643369842592618,5.466194169071634,2.626734770437505
"busqueda","08-2013",5.802569252966132,6.08166552658465,0.8595771998464485,1.6252536249076663,4.122122193614703,1.254334397187018,1.475642079464583,3.553797803338374,5.802569252966132,4.18698671292125,3.452482047668864,4.737784751798774,0.9055071135908199
"busqueda","09-2013",6.525517494134484,6.424878384818844,1.6404145035237565,1.2406516220669208,3.9333227038308234,2.3937679335630113,0.469351806445478,1.4532979021285608,6.525517494134484,5.517203502122695,3.6237884088127386,5.839349845171835,3.16812285289409
"busqueda","10-2013",7.954872077674323,7.696145913844467,3.384162204119876,2.239522711486942,5.216408850187335,3.703743298780565,1.452403621520259,1.9987614192004353,7.954872077674323,5.8872141632750985,4.757357152299615,7.383358783150977,2.9708238634869417
"busqueda","11-2013",5.538166466808808,5.6173019026336055,1.1115222411807524,1.4010807111272987,4.0612041316401015,0.5406613780978525,2.544210481835488,0.8753196559946733,5.538166466808808,3.6094713042424575,4.166788678221042,4.93519244979039,1.301015967802902
"busqueda","12-2013",5.928353447859854,6.078423700610991,0.2672814676139454,1.2128758394833332,4.94390988040143,0.7800587047182947,1.2235838138180621,1.8943485092422034,5.928353447859854,3.8437748193721495,3.864718710077086,4.910639253522776,1.313961400318354
"busqueda","01-2014",5.756517116037829,6.033398339865724,0.0,0.2655643177953703,3.3677468902080903,2.04956600847552,2.4111798684061814,2.0738782699220204,5.756517116037829,4.398095286681985,3.9489173747846475,5.16098556840825,2.2193801803696567
"busqueda","02-2014",4.963703381493697,4.877298059172891,0.965094161504246,1.4598086451266463,5.2892928061779765,0.0,1.1045225145692985,0.38000404227313667,4.963703381493697,3.7309191553689494,2.3257738345074683,4.432807589632087,2.0333243568656134
"busqueda","03-2014",4.925470630976029,4.971180322283731,1.5133401405747333,2.002953410977758,3.3694409278792214,0.5520838015787931,0.43299356791801147,2.234530811958233,4.925470630976029,3.1591952059264967,2.7352410588925857,4.170585168836949,0.2657004441287617
"busqueda","04-2014",5.857762391948042,5.730212493641316,0.26996771351961324,1.0208879553440116,4.068857154501233,0.0,1.544851423225066,1.9133871877270496,5.857762391948042,3.6319279335581554,2.8192378529959314,4.711992791257155,1.5167623343229815
"busqueda","05-2014",7.339559322948231,7.013825570093905,0.8953929165067172,0.6771890103781943,4.907288325731789,0.6532991652015718,2.5618786101815676,1.5865168764903455,7.339559322948231,4.153756659644097,5.3945031994826,6.168990562237987,1.2576487688761386
"busqueda","06-2014",6.651110992178842,6.971021054844857,2.5409798981947382,1.9217525970192002,4.724922881194459,0.5297020258391124,1.661759098496152,2.572730069984344,6.651110992178842,3.199515264860994,2.915947675396,5.168613714307503,1.01971521800768
"busqueda","07-2014",6.059491701092451,6.033398339865724,1.8850377189615097,2.61371196988075,5.380798602776085,1.3753666635822566,2.516933371406452,2.2266903529689057,6.059491701092451,4.226629583497503,3.028493024270933,4.762027802429323,1.5444809442338545
"busqueda","08-2014",6.626688307997036,6.156170980502527,1.2493854648930938,2.598515970055862,4.2796119119753975,4.102111037312196,1.4298857359152937,2.2137444788237377,6.626688307997036,4.49185313194071,4.014514008917283,5.451666078256825,1.535501403860402
"busqueda","09-2014",6.20994140942437,5.392866324332034,1.4718787668603568,1.3914842679003991,5.04173458123129,1.0739164359477893,2.9479151130856396,1.7386486317702414,6.20994140942437,3.0726419126134417,3.25148138051006,5.239416641900756,1.5505258794363352
