"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"1-2002",35,5,8,3,4,4,3,1,2,5
"2-2002",20,2,4,4,1,2,3,2,1,1
"3-2002",21,2,6,1,4,1,3,1,2,1
"4-2002",28,6,6,4,2,2,4,2,1,1
"5-2002",33,6,9,5,5,2,2,2,0,2
"6-2002",55,13,13,7,6,1,4,6,1,4
"7-2002",55,14,15,6,6,2,3,5,0,4
"8-2002",41,4,7,5,10,1,3,4,1,6
"9-2002",33,6,9,3,4,4,0,3,2,2
"10-2002",26,4,1,3,2,4,2,7,1,2
"11-2002",22,2,2,1,3,2,3,6,1,2
"12-2002",22,1,4,4,0,4,2,4,2,1
"1-2003",23,3,4,2,5,2,0,2,4,1
"2-2003",20,0,2,2,4,3,2,5,1,1
"3-2003",38,4,5,4,4,7,1,5,5,3
"4-2003",34,9,5,5,1,1,1,7,3,2
"5-2003",27,5,6,5,0,3,0,3,3,2
"6-2003",14,6,2,1,1,2,1,0,0,1
"7-2003",12,2,2,1,1,3,2,0,1,0
"8-2003",23,3,4,6,2,1,1,3,2,1
"9-2003",15,2,1,5,2,0,0,4,1,0
"10-2003",14,5,0,3,1,1,0,1,2,1
"11-2003",13,0,0,0,2,1,2,2,4,2
"12-2003",17,4,0,2,2,1,3,2,1,2
"1-2004",12,2,0,3,1,0,1,1,2,2
"2-2004",23,2,4,4,2,1,2,4,0,4
"3-2004",19,5,4,4,2,2,0,1,0,1
"4-2004",17,0,0,6,2,4,0,3,1,1
"5-2004",19,5,1,2,0,1,1,4,1,4
"6-2004",18,6,3,2,1,2,1,0,1,2
"7-2004",24,6,2,5,1,1,1,2,3,3
"8-2004",21,4,3,2,3,1,3,1,1,3
"9-2004",16,3,0,4,0,3,1,3,0,2
"10-2004",27,6,1,4,2,1,4,3,2,4
"11-2004",26,4,1,6,2,2,1,6,4,0
"12-2004",15,1,1,2,0,3,0,3,1,4
"1-2005",16,1,1,3,1,3,2,3,0,2
"2-2005",14,2,0,1,2,0,3,4,1,1
"3-2005",18,4,1,3,0,5,0,1,0,4
"4-2005",14,2,0,3,1,3,1,4,0,0
"5-2005",21,0,0,4,0,0,7,8,1,1
