"date","epu_index_rel","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8","Tema_std 9","Tema_std 10","Tema_std 11","Tema_std 12","Tema_std 13","Tema_std 14","Tema_std 15","Tema_std 16","Tema_std 17","Tema_std 18","Tema_std 19","Tema_std 20","Tema_std 21","Tema_std 22","Tema_std 23","Tema_std 24","Tema_std 25","Tema_std 26","Tema_std 27","Tema_std 28","Tema_std 29"
"1-2002",2.867574923464751,0.45218689606948115,0.0,0.44855121807559417,nan,nan,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,5.0947665073880115,nan,nan,0.9800797661793553,0.0,1.9475135075745957,3.0276303702992133,3.0248229931894177,2.3253359107925524,nan,0.0,1.6429724842899425,nan,0.0,1.0589218905840199,0.0,2.0849455780107604
"2-2002",1.6386142419798577,0.0,0.5071167610062239,0.0,nan,nan,1.3796929303227805,1.8907966564435,0.0,nan,0.8799891442319685,nan,1.2175335339785796,nan,1.0189533014776022,nan,nan,0.0,0.0,0.0,0.6055260740598427,0.7562057482973544,0.38755598513209205,nan,0.0,1.6429724842899425,nan,0.0,1.0589218905840199,1.7639385111732997,0.5212363945026901
"3-2002",1.7205449540788507,0.0,0.0,0.8971024361511883,nan,nan,2.759385860645561,1.4180974923326248,0.0,nan,0.8799891442319685,nan,1.2175335339785796,nan,1.0189533014776022,nan,nan,0.0,0.0,0.649171169191532,3.0276303702992133,0.0,0.7751119702641841,nan,0.0,0.0,nan,0.0,0.5294609452920099,0.8819692555866498,0.5212363945026901
"4-2002",2.294059938771801,0.45218689606948115,0.0,0.44855121807559417,nan,nan,1.3796929303227805,1.8907966564435,0.0,nan,0.0,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,1.9129848064125385,1.9475135075745957,0.0,1.5124114965947089,0.7751119702641841,nan,0.0,2.738287473816571,nan,1.6651995372838917,1.0589218905840199,0.0,2.0849455780107604
"5-2002",2.7037134992667653,0.0,0.0,0.44855121807559417,nan,nan,0.0,2.8361949846652497,1.2714899428111368,nan,0.0,nan,3.6526006019357387,nan,1.0189533014776022,nan,nan,0.9800797661793553,1.9129848064125385,0.0,1.2110521481196854,0.0,1.5502239405283682,nan,6.420709478249395,1.0953149895266283,nan,0.0,2.1178437811680397,0.8819692555866498,2.6061819725134505
"6-2002",4.506189165444609,0.0,0.0,0.0,nan,nan,2.759385860645561,3.3088941487761248,2.5429798856222736,nan,0.0,nan,1.2175335339785796,nan,1.0189533014776022,nan,nan,0.0,1.9129848064125385,3.8950270151491915,3.0276303702992133,3.781028741486772,2.3253359107925524,nan,0.0,4.381259958106513,nan,0.0,1.58838283587603,3.5278770223465994,2.0849455780107604
"7-2002",4.506189165444609,0.0,0.5071167610062239,0.8971024361511883,nan,nan,1.3796929303227805,4.2542924769978745,3.8144698284334106,nan,0.0,nan,1.2175335339785796,nan,2.0379066029552044,nan,nan,0.9800797661793553,0.0,2.596684676766128,2.422104296239371,2.2686172448920634,1.9377799256604602,nan,0.0,3.8336024633431993,nan,0.0,3.7062266170440696,0.8819692555866498,2.0849455780107604
"8-2002",3.3591591960587084,0.0,1.5213502830186718,0.44855121807559417,nan,nan,0.0,0.472699164110875,3.8144698284334106,nan,0.0,nan,9.740268271828636,nan,2.0379066029552044,nan,nan,0.9800797661793553,0.0,0.649171169191532,2.422104296239371,1.5124114965947089,1.5502239405283682,nan,0.0,2.738287473816571,nan,0.0,1.58838283587603,0.0,1.5637091835080703
"9-2002",2.7037134992667653,0.45218689606948115,0.0,0.44855121807559417,nan,nan,1.3796929303227805,0.94539832822175,5.085959771244547,nan,0.0,nan,3.6526006019357387,nan,0.0,nan,nan,0.9800797661793553,0.0,0.0,1.2110521481196854,0.0,2.3253359107925524,nan,0.0,3.8336024633431993,nan,0.0,1.58838283587603,0.8819692555866498,0.5212363945026901
"10-2002",2.130198514573815,0.0,0.0,0.44855121807559417,nan,nan,0.0,0.472699164110875,6.357449714055684,nan,0.8799891442319685,nan,1.2175335339785796,nan,0.0,nan,nan,0.0,0.0,0.649171169191532,1.2110521481196854,0.7562057482973544,1.9377799256604602,nan,0.0,2.1906299790532566,nan,0.0,1.58838283587603,0.0,0.5212363945026901
"11-2002",1.8024756661778436,0.0,0.5071167610062239,0.8971024361511883,nan,nan,0.0,0.0,0.0,nan,1.759978288463937,nan,1.2175335339785796,nan,0.0,nan,nan,0.9800797661793553,0.0,0.0,1.2110521481196854,1.5124114965947089,0.7751119702641841,nan,0.0,2.1906299790532566,nan,0.0,0.5294609452920099,2.6459077667599495,0.5212363945026901
"12-2002",1.8024756661778436,0.0,0.0,1.3456536542267825,nan,nan,0.0,0.94539832822175,0.0,nan,0.0,nan,2.435067067957159,nan,0.0,nan,nan,0.0,0.0,0.0,0.6055260740598427,0.0,1.5502239405283682,nan,0.0,2.1906299790532566,nan,1.6651995372838917,0.5294609452920099,1.7639385111732997,1.0424727890053802
"1-2003",1.8844063782768363,0.45218689606948115,0.5071167610062239,1.3456536542267825,nan,nan,2.759385860645561,1.4180974923326248,0.0,nan,3.519956576927874,nan,0.0,nan,0.0,nan,nan,0.9800797661793553,0.0,0.0,2.422104296239371,0.0,0.0,nan,0.0,0.5476574947633142,nan,0.0,1.0589218905840199,0.0,0.5212363945026901
