"date","epu_uruguay","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8"
"1-2002",106.4028232921603,112.92134831460675,81.70731707317074,206.1538461538461,133.11258278145692,225.0,267.99999999999994,0.0,207.75193798449615,0.0
"2-2002",81.06881774640786,80.65810593900483,81.70731707317074,206.1538461538461,66.55629139072846,0.0,267.99999999999994,0.0,0.0,142.55319148936172
"3-2002",60.8016133098059,32.26324237560193,0.0,309.23076923076917,66.55629139072846,150.0,133.99999999999997,42.94871794871795,0.0,57.02127659574468
"4-2002",96.26922107385934,129.05296950240773,81.70731707317074,412.3076923076922,133.11258278145692,0.0,0.0,0.0,103.87596899224808,57.02127659574468
"5-2002",121.6032266196118,112.92134831460675,0.0,515.3846153846154,0.0,75.0,133.99999999999997,42.94871794871795,103.87596899224808,199.5744680851064
"6-2002",212.8056465843206,258.10593900481547,81.70731707317074,412.3076923076922,0.0,300.0,133.99999999999997,85.8974358974359,207.75193798449615,285.10638297872345
"7-2002",177.3380388202672,177.4478330658106,81.70731707317074,206.1538461538461,66.55629139072846,150.0,0.0,171.7948717948718,311.6279069767442,228.08510638297872
"8-2002",146.93723216536424,145.1845906902087,245.1219512195122,515.3846153846154,133.11258278145692,150.0,0.0,85.8974358974359,207.75193798449615,57.02127659574468
"9-2002",126.67002772876229,96.78972712680579,81.70731707317074,412.3076923076922,266.22516556291384,150.0,0.0,85.8974358974359,155.8139534883721,85.53191489361703
"10-2002",101.33602218300982,96.78972712680579,326.82926829268297,103.07692307692305,0.0,75.0,0.0,171.7948717948718,103.87596899224808,57.02127659574468
"11-2002",96.26922107385934,64.52648475120387,0.0,103.07692307692305,66.55629139072846,0.0,133.99999999999997,42.94871794871795,155.8139534883721,228.08510638297872
"12-2002",70.93521552810688,32.26324237560193,0.0,0.0,66.55629139072846,75.0,0.0,85.8974358974359,155.8139534883721,142.55319148936172
"1-2003",86.13561885555836,96.78972712680579,163.41463414634148,103.07692307692305,66.55629139072846,75.0,0.0,128.84615384615384,0.0,85.53191489361703
"2-2003",65.86841441895639,0.0,0.0,103.07692307692305,133.11258278145692,0.0,133.99999999999997,171.7948717948718,51.93798449612404,114.04255319148936
"3-2003",136.80362994706326,112.92134831460675,326.82926829268297,515.3846153846154,133.11258278145692,75.0,0.0,128.84615384615384,51.93798449612404,114.04255319148936
"4-2003",126.67002772876229,161.31621187800965,81.70731707317074,206.1538461538461,332.7814569536423,0.0,0.0,214.74358974358972,0.0,57.02127659574468
"5-2003",96.26922107385934,129.05296950240773,163.41463414634148,206.1538461538461,66.55629139072846,75.0,0.0,42.94871794871795,103.87596899224808,57.02127659574468
"6-2003",65.86841441895639,112.92134831460675,81.70731707317074,103.07692307692305,0.0,0.0,0.0,0.0,51.93798449612404,85.53191489361703
"7-2003",35.46760776405344,16.131621187800967,0.0,103.07692307692305,0.0,0.0,0.0,0.0,103.87596899224808,85.53191489361703
"8-2003",86.13561885555836,96.78972712680579,0.0,206.1538461538461,133.11258278145692,0.0,133.99999999999997,42.94871794871795,51.93798449612404,114.04255319148936
"9-2003",60.8016133098059,48.39486356340289,0.0,309.23076923076917,133.11258278145692,0.0,0.0,42.94871794871795,0.0,85.53191489361703
"10-2003",65.86841441895639,129.05296950240773,0.0,0.0,66.55629139072846,0.0,0.0,42.94871794871795,51.93798449612404,57.02127659574468
"11-2003",50.66801109150491,0.0,0.0,103.07692307692305,266.22516556291384,75.0,0.0,42.94871794871795,103.87596899224808,28.51063829787234
"12-2003",60.8016133098059,96.78972712680579,0.0,103.07692307692305,133.11258278145692,0.0,0.0,0.0,103.87596899224808,28.51063829787234
"1-2004",45.601209982354426,80.65810593900483,0.0,103.07692307692305,0.0,75.0,0.0,42.94871794871795,51.93798449612404,0.0
"2-2004",81.06881774640786,96.78972712680579,0.0,103.07692307692305,0.0,0.0,267.99999999999994,42.94871794871795,103.87596899224808,114.04255319148936
"3-2004",81.06881774640786,129.05296950240773,0.0,103.07692307692305,0.0,0.0,133.99999999999997,85.8974358974359,103.87596899224808,57.02127659574468
"4-2004",65.86841441895639,80.65810593900483,163.41463414634148,103.07692307692305,0.0,75.0,0.0,85.8974358974359,103.87596899224808,0.0
"5-2004",60.8016133098059,96.78972712680579,0.0,0.0,0.0,150.0,0.0,85.8974358974359,51.93798449612404,28.51063829787234
"6-2004",81.06881774640786,145.1845906902087,0.0,103.07692307692305,66.55629139072846,0.0,0.0,42.94871794871795,51.93798449612404,85.53191489361703
"7-2004",116.53642551046129,193.57945425361157,0.0,0.0,66.55629139072846,150.0,133.99999999999997,85.8974358974359,103.87596899224808,85.53191489361703
"8-2004",96.26922107385934,112.92134831460675,0.0,103.07692307692305,133.11258278145692,150.0,133.99999999999997,42.94871794871795,155.8139534883721,57.02127659574468
"9-2004",55.7348122006554,64.52648475120387,0.0,0.0,0.0,75.0,0.0,42.94871794871795,103.87596899224808,85.53191489361703
"10-2004",96.26922107385934,96.78972712680579,81.70731707317074,0.0,66.55629139072846,225.0,133.99999999999997,85.8974358974359,103.87596899224808,85.53191489361703
"11-2004",91.20241996470885,112.92134831460675,81.70731707317074,0.0,199.6688741721854,0.0,0.0,128.84615384615384,51.93798449612404,85.53191489361703
"12-2004",50.66801109150491,16.131621187800967,81.70731707317074,0.0,0.0,0.0,133.99999999999997,42.94871794871795,103.87596899224808,114.04255319148936
"1-2005",55.7348122006554,32.26324237560193,0.0,206.1538461538461,0.0,75.0,0.0,42.94871794871795,103.87596899224808,85.53191489361703
