"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"10-2010",16,1,3,1,2,3,1,1,3,1
"11-2010",15,1,2,0,3,3,0,4,1,1
"12-2010",10,0,1,1,4,1,1,2,0,0
"1-2011",8,1,4,0,0,1,0,0,2,0
"2-2011",16,0,2,0,2,6,1,4,0,1
"3-2011",24,1,1,1,0,3,1,9,2,6
"4-2011",15,0,2,0,1,2,1,4,1,4
"5-2011",15,0,1,0,2,1,1,8,0,2
"6-2011",34,5,2,1,7,9,0,7,1,2
"7-2011",45,2,1,0,6,3,5,18,2,8
"8-2011",60,1,12,1,2,6,5,30,1,2
"9-2011",37,2,2,1,0,0,4,18,3,7
"10-2011",38,1,4,1,2,1,4,14,7,4
"11-2011",46,1,7,2,13,7,3,5,4,4
"12-2011",43,5,3,1,7,3,1,13,3,7
"1-2012",23,3,3,2,4,2,2,4,0,3
"2-2012",21,0,2,1,6,3,2,4,0,3
"3-2012",21,0,4,1,1,4,2,3,3,3
"4-2012",25,4,1,5,1,0,0,10,3,1
"5-2012",31,1,3,0,4,6,3,10,2,2
"6-2012",58,3,2,5,11,9,3,12,6,7
"7-2012",36,1,3,1,4,3,2,10,2,10
"8-2012",42,2,7,6,5,3,0,11,4,4
"9-2012",27,4,3,2,1,3,0,8,3,3
"10-2012",36,4,1,4,5,7,3,7,3,2
"11-2012",25,3,5,1,4,3,0,6,1,2
"12-2012",28,2,0,1,6,6,5,3,2,3
"1-2013",34,3,6,4,7,4,0,6,3,1
"2-2013",19,0,1,0,5,6,0,3,1,3
"3-2013",20,0,1,1,6,1,3,3,1,4
"4-2013",22,4,4,1,4,0,0,2,5,2
"5-2013",22,1,4,2,2,2,1,3,2,5
"6-2013",21,1,1,0,1,1,0,9,1,7
"7-2013",23,2,3,0,0,5,3,6,2,2
"8-2013",18,1,3,2,1,2,2,3,1,3
"9-2013",22,3,4,1,0,1,1,10,1,1
"10-2013",25,2,3,2,4,4,1,7,0,2
"11-2013",24,1,2,4,2,4,3,3,2,3
"12-2013",25,5,5,2,0,6,1,2,2,2
"1-2014",19,2,4,2,0,1,2,2,1,5
"2-2014",15,0,2,3,4,0,1,2,1,2
"3-2014",16,1,1,0,2,1,0,2,0,9
"4-2014",24,1,5,2,0,5,3,2,1,5
"5-2014",15,2,2,2,1,3,2,1,2,0
"6-2014",24,2,4,0,0,6,4,6,0,2
"7-2014",19,0,1,2,1,4,3,4,1,3
"8-2014",23,1,1,1,1,2,3,6,3,5
"9-2014",28,2,2,2,6,8,0,2,2,4
"10-2014",18,0,1,2,3,5,1,4,1,1
"11-2014",25,1,1,4,3,8,3,2,0,3
"12-2014",29,3,3,5,1,3,3,8,1,2
"1-2015",32,5,2,3,4,3,2,3,2,8
"2-2015",22,4,4,1,2,1,3,3,3,1
"3-2015",29,5,2,1,1,2,5,6,2,5
"4-2015",29,5,0,4,1,4,5,7,2,1
"5-2015",18,0,1,2,6,3,0,5,0,1
"6-2015",28,5,2,2,3,3,3,6,0,4
"7-2015",28,2,1,1,2,6,2,7,1,6
"8-2015",30,1,4,2,2,9,1,6,1,4
"9-2015",43,2,4,2,3,10,2,10,3,7
"10-2015",26,0,1,2,1,3,1,7,5,6
"11-2015",16,3,0,1,2,4,1,3,0,2
"12-2015",29,1,4,2,7,3,2,2,0,8
"1-2016",19,0,1,1,6,1,1,4,2,3
"2-2016",20,2,0,1,2,2,0,6,5,2
"3-2016",21,2,1,1,4,1,1,8,1,2
"4-2016",23,2,3,3,3,3,0,6,2,1
"5-2016",19,1,3,3,5,2,1,2,1,1
"6-2016",42,4,1,1,14,7,2,4,6,3
"7-2016",36,1,7,2,12,4,0,7,0,3
"8-2016",31,4,4,2,1,4,1,12,1,2
"9-2016",24,4,2,0,5,5,0,4,2,2
"10-2016",25,3,3,4,3,4,3,2,2,1
"11-2016",31,2,7,1,8,3,2,6,0,2
"12-2016",44,8,3,2,8,9,4,5,1,4
"1-2017",41,2,5,5,6,12,2,6,1,2
"2-2017",36,5,5,5,5,4,1,7,2,2
"3-2017",26,3,1,6,2,4,3,3,1,3
"4-2017",14,3,3,1,2,2,1,1,0,1
"5-2017",25,2,4,3,6,7,0,1,1,1
"6-2017",25,2,2,2,0,8,0,6,1,4
"7-2017",21,1,2,0,3,6,3,4,1,1
"8-2017",20,2,2,2,2,8,0,2,1,1
"9-2017",33,7,8,1,5,3,0,4,3,2
"10-2017",19,3,4,1,5,4,0,1,1,0
"11-2017",19,4,7,0,2,1,0,3,2,0
"12-2017",26,6,1,1,8,6,1,2,1,0
"1-2018",32,8,5,1,8,1,3,4,1,1
"2-2018",17,3,2,1,3,0,0,6,0,2
"3-2018",24,6,3,0,5,1,0,3,3,3
"4-2018",11,1,3,1,0,2,0,2,1,1
"5-2018",38,6,4,0,4,5,1,9,0,9
"6-2018",27,3,3,2,5,3,1,6,2,2
"7-2018",34,5,2,3,11,1,2,4,3,3
"8-2018",18,1,2,2,2,3,2,3,1,2
"9-2018",25,2,3,1,4,4,1,5,2,3
