"date","epu_uruguay","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8"
"1-2002",126.47628267182965,56.30252100840337,47.97136038186158,475.3378378378378,0.0,0.0,422.2689075630252,121.94135490394339,176.3157894736842,167.5
"2-2002",72.9670861568248,56.30252100840337,47.97136038186158,67.9054054054054,0.0,68.48381601362863,0.0,121.94135490394339,88.1578947368421,125.625
"3-2002",72.9670861568248,56.30252100840337,143.91408114558473,271.6216216216216,37.36059479553903,0.0,84.45378151260505,60.970677451971696,0.0,83.75
"4-2002",102.15392061955473,168.90756302521012,95.94272076372316,67.9054054054054,0.0,102.72572402044294,0.0,142.2649140546006,0.0,209.37499999999997
"5-2002",121.61181026137467,0.0,47.97136038186158,67.9054054054054,0.0,171.20954003407155,84.45378151260505,223.5591506572295,88.1578947368421,209.37499999999997
"6-2002",194.5788964181995,56.30252100840337,47.97136038186158,271.6216216216216,37.36059479553903,239.69335604770018,168.9075630252101,345.50050556117293,88.1578947368421,251.25
"7-2002",189.7144240077445,56.30252100840337,47.97136038186158,475.3378378378378,149.44237918215612,205.45144804088588,84.45378151260505,243.88270980788678,88.1578947368421,251.25
"8-2002",145.9341723136496,281.51260504201684,0.0,203.7162162162162,74.72118959107806,68.48381601362863,253.36134453781514,243.88270980788678,88.1578947368421,83.75
"9-2002",126.47628267182965,112.60504201680673,47.97136038186158,135.8108108108108,112.0817843866171,136.96763202725725,84.45378151260505,223.5591506572295,0.0,83.75
"10-2002",116.74733785091969,225.21008403361347,143.91408114558473,0.0,149.44237918215612,68.48381601362863,84.45378151260505,121.94135490394339,88.1578947368421,125.625
"11-2002",77.8315585672798,112.60504201680673,47.97136038186158,67.9054054054054,37.36059479553903,171.20954003407155,84.45378151260505,81.29423660262893,0.0,41.875
"12-2002",82.69603097773478,168.90756302521012,47.97136038186158,135.8108108108108,112.0817843866171,68.48381601362863,84.45378151260505,40.647118301314464,0.0,125.625
"1-2003",97.28944820909975,0.0,47.97136038186158,67.9054054054054,224.1635687732342,68.48381601362863,0.0,182.91203235591507,88.1578947368421,0.0
"2-2003",68.10261374636983,0.0,0.0,135.8108108108108,261.5241635687732,68.48381601362863,0.0,20.323559150657232,88.1578947368421,41.875
"3-2003",136.20522749273965,281.51260504201684,47.97136038186158,67.9054054054054,149.44237918215612,136.96763202725725,0.0,203.23559150657232,88.1578947368421,83.75
"4-2003",121.61181026137467,112.60504201680673,95.94272076372316,135.8108108108108,149.44237918215612,34.24190800681431,0.0,243.88270980788678,88.1578947368421,41.875
"5-2003",92.42497579864475,112.60504201680673,0.0,67.9054054054054,74.72118959107806,34.24190800681431,84.45378151260505,203.23559150657232,88.1578947368421,41.875
"6-2003",58.373668925459846,112.60504201680673,0.0,0.0,0.0,68.48381601362863,0.0,142.2649140546006,88.1578947368421,0.0
"7-2003",34.05130687318491,56.30252100840337,47.97136038186158,67.9054054054054,0.0,34.24190800681431,0.0,60.970677451971696,0.0,0.0
"8-2003",82.69603097773478,168.90756302521012,47.97136038186158,67.9054054054054,37.36059479553903,68.48381601362863,0.0,101.61779575328616,0.0,167.5
"9-2003",53.50919651500485,0.0,47.97136038186158,0.0,37.36059479553903,102.72572402044294,0.0,60.970677451971696,88.1578947368421,83.75
"10-2003",48.64472410454987,0.0,0.0,0.0,37.36059479553903,34.24190800681431,0.0,142.2649140546006,0.0,41.875
"11-2003",43.780251694094886,0.0,191.88544152744632,67.9054054054054,37.36059479553903,34.24190800681431,84.45378151260505,20.323559150657232,0.0,0.0
"12-2003",58.373668925459846,0.0,95.94272076372316,67.9054054054054,0.0,34.24190800681431,84.45378151260505,101.61779575328616,0.0,83.75
"1-2004",58.373668925459846,0.0,95.94272076372316,0.0,37.36059479553903,0.0,84.45378151260505,81.29423660262893,0.0,167.5
"2-2004",87.56050338818977,56.30252100840337,0.0,203.7162162162162,37.36059479553903,102.72572402044294,0.0,121.94135490394339,176.3157894736842,83.75
"3-2004",72.9670861568248,56.30252100840337,0.0,0.0,74.72118959107806,34.24190800681431,0.0,142.2649140546006,88.1578947368421,125.625
"4-2004",72.9670861568248,168.90756302521012,47.97136038186158,135.8108108108108,74.72118959107806,34.24190800681431,84.45378151260505,40.647118301314464,0.0,125.625
"5-2004",63.238141335914825,0.0,0.0,135.8108108108108,74.72118959107806,34.24190800681431,0.0,121.94135490394339,88.1578947368421,41.875
"6-2004",63.238141335914825,56.30252100840337,47.97136038186158,0.0,37.36059479553903,68.48381601362863,0.0,101.61779575328616,176.3157894736842,41.875
"7-2004",111.88286544046468,0.0,0.0,67.9054054054054,112.0817843866171,102.72572402044294,168.9075630252101,162.58847320525786,176.3157894736842,167.5
