"date","epu_uruguay","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8"
"1-2002",129.98891352549887,153.4351145038168,0.0,48.375451263537904,65.47231270358306,101.68634064080943,130.2375809935205,61.94144838212635,201.5759312320917,378.0564263322885
"2-2002",74.27937915742794,76.7175572519084,0.0,24.187725631768952,32.73615635179153,203.37268128161887,86.82505399568035,92.91217257318954,115.18624641833811,31.50470219435737
"3-2002",77.99334811529933,76.7175572519084,804.0,24.187725631768952,81.84039087947882,135.58178752107924,43.412526997840175,61.94144838212635,57.59312320916906,94.51410658307212
"4-2002",103.9911308203991,76.7175572519084,0.0,72.56317689530685,65.47231270358306,169.47723440134908,173.6501079913607,123.8828967642527,143.98280802292263,63.00940438871474
"5-2002",122.5609756097561,153.4351145038168,0.0,24.187725631768952,49.10423452768729,406.74536256323773,303.8876889848812,154.85362095531588,57.59312320916906,31.50470219435737
"6-2002",204.2682926829268,230.1526717557252,1608.0,24.187725631768952,98.20846905537458,271.16357504215847,347.3002159827214,309.70724191063175,316.7621776504298,126.01880877742948
"7-2002",204.2682926829268,153.4351145038168,804.0,48.375451263537904,147.31270358306188,406.74536256323773,477.5377969762419,123.8828967642527,172.77936962750718,220.5329153605016
"8-2002",152.27272727272725,153.4351145038168,804.0,24.187725631768952,130.94462540716611,406.74536256323773,130.2375809935205,0.0,259.16905444126076,126.01880877742948
"9-2002",122.5609756097561,76.7175572519084,402.0,48.375451263537904,163.68078175895764,237.26812816188868,173.6501079913607,30.970724191063177,143.98280802292263,63.00940438871474
"10-2002",96.56319290465632,76.7175572519084,1206.0,72.56317689530685,98.20846905537458,135.58178752107924,86.82505399568035,30.970724191063177,143.98280802292263,31.50470219435737
"11-2002",81.70731707317073,230.1526717557252,0.0,72.56317689530685,130.94462540716611,67.79089376053962,43.412526997840175,0.0,28.79656160458453,126.01880877742948
"12-2002",81.70731707317073,0.0,0.0,48.375451263537904,147.31270358306188,135.58178752107924,0.0,61.94144838212635,86.38968481375359,63.00940438871474
"1-2003",85.42128603104213,153.4351145038168,0.0,96.75090252707581,81.84039087947882,169.47723440134908,173.6501079913607,30.970724191063177,57.59312320916906,0.0
"2-2003",74.27937915742794,0.0,0.0,24.187725631768952,98.20846905537458,169.47723440134908,0.0,92.91217257318954,57.59312320916906,94.51410658307212
"3-2003",141.13082039911308,230.1526717557252,0.0,48.375451263537904,229.1530944625407,101.68634064080943,260.475161987041,30.970724191063177,201.5759312320917,63.00940438871474
"4-2003",126.27494456762749,76.7175572519084,804.0,120.93862815884475,114.57654723127035,33.89544688026981,390.71274298056153,92.91217257318954,115.18624641833811,63.00940438871474
"5-2003",100.27716186252772,306.8702290076336,0.0,24.187725631768952,147.31270358306188,67.79089376053962,173.6501079913607,61.94144838212635,115.18624641833811,31.50470219435737
"6-2003",51.99556541019955,76.7175572519084,0.0,24.187725631768952,0.0,67.79089376053962,173.6501079913607,92.91217257318954,57.59312320916906,31.50470219435737
"7-2003",44.56762749445676,0.0,0.0,48.375451263537904,32.73615635179153,33.89544688026981,0.0,92.91217257318954,86.38968481375359,31.50470219435737
"8-2003",85.42128603104213,0.0,402.0,0.0,130.94462540716611,203.37268128161887,130.2375809935205,30.970724191063177,57.59312320916906,63.00940438871474
"9-2003",55.709534368070955,76.7175572519084,0.0,48.375451263537904,49.10423452768729,101.68634064080943,86.82505399568035,61.94144838212635,28.79656160458453,31.50470219435737
"10-2003",51.99556541019955,0.0,0.0,24.187725631768952,32.73615635179153,33.89544688026981,260.475161987041,30.970724191063177,57.59312320916906,31.50470219435737
"11-2003",48.28159645232816,0.0,402.0,72.56317689530685,49.10423452768729,0.0,43.412526997840175,92.91217257318954,0.0,63.00940438871474
"12-2003",63.13747228381374,76.7175572519084,0.0,24.187725631768952,16.368078175895764,101.68634064080943,130.2375809935205,61.94144838212635,86.38968481375359,94.51410658307212
"1-2004",44.56762749445676,76.7175572519084,0.0,96.75090252707581,16.368078175895764,33.89544688026981,86.82505399568035,0.0,57.59312320916906,31.50470219435737
"2-2004",85.42128603104213,0.0,0.0,0.0,98.20846905537458,33.89544688026981,260.475161987041,92.91217257318954,115.18624641833811,94.51410658307212
"3-2004",70.56541019955654,76.7175572519084,0.0,0.0,49.10423452768729,169.47723440134908,130.2375809935205,92.91217257318954,86.38968481375359,31.50470219435737
"4-2004",63.13747228381374,76.7175572519084,0.0,48.375451263537904,98.20846905537458,67.79089376053962,43.412526997840175,0.0,57.59312320916906,94.51410658307212
"5-2004",70.56541019955654,306.8702290076336,0.0,24.187725631768952,32.73615635179153,101.68634064080943,173.6501079913607,61.94144838212635,57.59312320916906,31.50470219435737
"6-2004",66.85144124168515,153.4351145038168,0.0,48.375451263537904,32.73615635179153,33.89544688026981,130.2375809935205,123.8828967642527,115.18624641833811,0.0
"7-2004",89.13525498891352,153.4351145038168,0.0,24.187725631768952,65.47231270358306,33.89544688026981,260.475161987041,61.94144838212635,143.98280802292263,94.51410658307212
"8-2004",77.99334811529933,76.7175572519084,0.0,48.375451263537904,32.73615635179153,135.58178752107924,86.82505399568035,61.94144838212635,143.98280802292263,94.51410658307212
"9-2004",59.42350332594235,76.7175572519084,0.0,48.375451263537904,49.10423452768729,169.47723440134908,130.2375809935205,30.970724191063177,0.0,31.50470219435737
"10-2004",100.27716186252772,306.8702290076336,0.0,72.56317689530685,49.10423452768729,67.79089376053962,86.82505399568035,123.8828967642527,172.77936962750718,94.51410658307212
"11-2004",96.56319290465632,153.4351145038168,0.0,120.93862815884475,130.94462540716611,135.58178752107924,86.82505399568035,61.94144838212635,86.38968481375359,0.0
"12-2004",55.709534368070955,0.0,0.0,120.93862815884475,32.73615635179153,0.0,43.412526997840175,92.91217257318954,0.0,126.01880877742948
"1-2005",59.42350332594235,0.0,0.0,0.0,65.47231270358306,203.37268128161887,43.412526997840175,61.94144838212635,0.0,94.51410658307212
"2-2005",51.99556541019955,0.0,0.0,24.187725631768952,65.47231270358306,0.0,86.82505399568035,30.970724191063177,86.38968481375359,94.51410658307212
"3-2005",66.85144124168515,76.7175572519084,0.0,24.187725631768952,98.20846905537458,33.89544688026981,217.06263498920086,30.970724191063177,28.79656160458453,63.00940438871474
"4-2005",51.99556541019955,0.0,0.0,96.75090252707581,65.47231270358306,33.89544688026981,86.82505399568035,61.94144838212635,28.79656160458453,0.0
"5-2005",77.99334811529933,0.0,0.0,24.187725631768952,98.20846905537458,67.79089376053962,43.412526997840175,309.70724191063175,28.79656160458453,0.0
"6-2005",63.13747228381374,0.0,0.0,72.56317689530685,49.10423452768729,33.89544688026981,43.412526997840175,123.8828967642527,143.98280802292263,0.0
"7-2005",37.13968957871397,0.0,402.0,0.0,65.47231270358306,33.89544688026981,0.0,61.94144838212635,57.59312320916906,0.0
