"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"1-2002",35,2,0,2,4,3,3,2,7,12
"2-2002",20,1,0,1,2,6,2,3,4,1
"3-2002",21,1,2,1,5,4,1,2,2,3
"4-2002",28,1,0,3,4,5,4,4,5,2
"5-2002",33,2,0,1,3,12,7,5,2,1
"6-2002",55,3,4,1,6,8,8,10,11,4
"7-2002",55,2,2,2,9,12,11,4,6,7
"8-2002",41,2,2,1,8,12,3,0,9,4
"9-2002",33,1,1,2,10,7,4,1,5,2
"10-2002",26,1,3,3,6,4,2,1,5,1
"11-2002",22,3,0,3,8,2,1,0,1,4
"12-2002",22,0,0,2,9,4,0,2,3,2
"1-2003",23,2,0,4,5,5,4,1,2,0
"2-2003",20,0,0,1,6,5,0,3,2,3
"3-2003",38,3,0,2,14,3,6,1,7,2
"4-2003",34,1,2,5,7,1,9,3,4,2
"5-2003",27,4,0,1,9,2,4,2,4,1
"6-2003",14,1,0,1,0,2,4,3,2,1
"7-2003",12,0,0,2,2,1,0,3,3,1
"8-2003",23,0,1,0,8,6,3,1,2,2
"9-2003",15,1,0,2,3,3,2,2,1,1
"10-2003",14,0,0,1,2,1,6,1,2,1
"11-2003",13,0,1,3,3,0,1,3,0,2
"12-2003",17,1,0,1,1,3,3,2,3,3
"1-2004",12,1,0,4,1,1,2,0,2,1
"2-2004",23,0,0,0,6,1,6,3,4,3
"3-2004",19,1,0,0,3,5,3,3,3,1
"4-2004",17,1,0,2,6,2,1,0,2,3
"5-2004",19,4,0,1,2,3,4,2,2,1
"6-2004",18,2,0,2,2,1,3,4,4,0
"7-2004",24,2,0,1,4,1,6,2,5,3
"8-2004",21,1,0,2,2,4,2,2,5,3
"9-2004",16,1,0,2,3,5,3,1,0,1
"10-2004",27,4,0,3,3,2,2,4,6,3
"11-2004",26,2,0,5,8,4,2,2,3,0
"12-2004",15,0,0,5,2,0,1,3,0,4
"1-2005",16,0,0,0,4,6,1,2,0,3
"2-2005",14,0,0,1,4,0,2,1,3,3
"3-2005",18,1,0,1,6,1,5,1,1,2
"4-2005",14,0,0,4,4,1,2,2,1,0
"5-2005",21,0,0,1,6,2,1,10,1,0
"6-2005",17,0,0,3,3,1,1,4,5,0
"7-2005",10,0,1,0,4,1,0,2,2,0
"8-2005",19,1,1,2,2,4,2,6,0,1
"9-2005",26,0,0,2,6,3,10,2,1,2
"10-2005",18,1,0,0,3,0,5,5,2,2
"11-2005",25,1,1,1,3,1,5,9,2,2
"12-2005",27,0,0,1,7,1,6,6,4,2
"1-2006",20,0,0,1,4,0,7,5,2,1
"2-2006",9,0,0,1,2,0,5,1,0,0
"3-2006",17,1,0,1,5,3,6,1,0,0
"4-2006",19,4,0,1,6,2,4,1,1,0
"5-2006",21,0,0,1,3,1,12,3,0,1
"6-2006",24,1,0,2,0,4,9,6,1,1
"7-2006",19,2,0,0,3,0,8,2,0,4
"8-2006",15,3,0,2,5,2,1,1,1,0
"9-2006",14,0,2,1,2,1,2,3,2,1
"10-2006",17,0,0,2,6,0,4,2,0,3
"11-2006",18,0,0,3,7,3,0,3,1,1
"12-2006",10,0,0,4,3,0,1,1,0,1
"1-2007",11,0,0,0,3,2,2,1,1,2
"2-2007",9,0,0,0,4,0,0,3,1,1
"3-2007",12,0,0,2,2,3,0,4,0,1
"4-2007",9,0,0,0,5,2,0,1,0,1
"5-2007",14,0,0,0,2,1,4,5,2,0
"6-2007",8,0,0,1,1,0,0,0,3,3
"7-2007",11,0,0,0,2,1,0,3,3,2
"8-2007",21,3,0,1,7,0,2,3,1,4
"9-2007",11,3,0,1,3,2,1,1,0,0
"10-2007",7,0,0,2,2,0,1,1,0,1
"11-2007",12,2,0,1,5,1,0,2,0,1
"12-2007",17,0,0,1,4,7,0,1,2,2
"1-2008",15,2,0,4,3,1,3,0,0,2
"2-2008",10,1,0,1,4,1,2,1,0,0
"3-2008",15,4,0,2,2,3,1,2,1,0
"4-2008",22,1,0,2,8,4,1,2,1,3
"5-2008",13,2,0,0,3,1,2,2,1,2
"6-2008",23,5,0,2,6,2,1,3,1,3
"7-2008",13,0,0,2,7,1,1,0,0,2
"8-2008",17,1,1,0,4,0,4,4,2,1
"9-2008",28,5,0,4,10,1,0,0,2,6
"10-2008",53,5,1,4,5,10,6,4,5,13
"11-2008",42,0,0,3,10,6,5,6,5,7
"12-2008",36,0,0,2,8,9,2,4,5,6
"1-2009",24,1,0,2,7,2,1,1,4,6
"2-2009",24,0,0,3,4,7,1,2,2,5
"3-2009",14,0,1,1,3,4,0,1,1,3
"4-2009",19,0,0,2,3,2,1,1,1,9
"5-2009",12,0,0,3,2,1,0,3,2,1
"6-2009",19,0,1,4,7,0,2,2,1,2
"7-2009",17,0,0,6,2,3,1,2,1,2
"8-2009",12,0,0,2,2,1,1,1,2,3
"9-2009",19,0,0,6,2,4,0,0,6,1
"10-2009",20,3,0,2,4,3,1,0,6,1
"11-2009",16,0,0,4,7,2,0,0,1,2
"12-2009",23,0,0,4,7,1,1,3,4,3
"1-2010",15,0,0,3,1,3,1,1,5,1
"2-2010",15,0,0,2,2,2,0,4,3,2
"3-2010",13,0,0,3,1,1,1,1,2,4
"4-2010",17,0,0,4,4,2,3,0,2,2
"5-2010",24,0,0,5,10,0,1,5,1,2
"6-2010",23,2,0,9,2,1,0,2,5,2
