"date","epu_index","Tema 0","Tema 1","Tema 2","Tema 3","Tema 4","Tema 5","Tema 6","Tema 7","Tema 8"
"1-2002",35,4,5,7,11,3,0,3,1,1
"2-2002",20,4,3,2,2,1,0,3,1,4
"3-2002",21,4,2,4,1,0,3,1,3,3
"4-2002",28,6,5,5,3,3,0,1,3,2
"5-2002",33,9,3,4,2,2,1,2,4,6
"6-2002",55,9,17,4,2,3,3,4,6,7
"7-2002",55,14,6,3,3,3,3,8,11,4
"8-2002",41,13,6,5,2,2,2,7,4,0
"9-2002",33,10,1,3,2,6,0,2,7,2
"10-2002",26,5,4,6,0,2,0,2,5,2
"11-2002",22,4,1,3,1,4,1,1,4,3
"12-2002",22,1,1,6,2,2,0,2,3,5
"1-2003",23,6,1,3,0,3,2,1,4,3
"2-2003",20,2,2,1,3,1,0,3,7,1
"3-2003",38,11,3,6,0,5,2,2,7,2
"4-2003",34,9,2,2,5,5,1,3,6,1
"5-2003",27,7,1,3,1,5,2,1,6,1
"6-2003",14,4,2,4,0,1,1,0,0,2
"7-2003",12,3,1,3,0,1,0,0,2,2
"8-2003",23,4,2,3,2,3,2,2,3,2
"9-2003",15,4,1,1,1,2,0,0,3,3
"10-2003",14,7,0,1,1,1,0,1,1,2
"11-2003",13,1,0,3,5,1,0,1,1,1
"12-2003",17,3,3,3,2,1,1,2,1,1
"1-2004",12,3,3,0,0,2,0,3,1,0
"2-2004",23,7,2,3,3,0,0,3,2,3
"3-2004",19,6,0,1,2,5,1,2,2,0
"4-2004",17,3,1,4,0,3,2,1,3,0
"5-2004",19,5,3,2,1,0,1,4,3,0
"6-2004",18,7,3,0,1,3,0,1,2,1
"7-2004",24,7,4,0,1,2,1,2,6,1
"8-2004",21,3,5,2,1,1,2,3,2,2
"9-2004",16,3,0,4,0,2,1,1,2,3
"10-2004",27,3,3,4,4,4,2,3,3,1
"11-2004",26,2,3,4,5,5,1,0,6,0
"12-2004",15,1,0,3,1,4,0,3,2,1
"1-2005",16,5,0,3,0,1,0,1,1,5
"2-2005",14,3,2,1,1,1,0,2,2,2
"3-2005",18,5,2,5,0,1,1,2,1,1
"4-2005",14,2,0,1,2,3,0,1,2,3
"5-2005",21,1,1,2,2,1,0,0,4,10
"6-2005",17,1,4,0,0,2,0,2,2,6
"7-2005",10,0,0,3,2,0,1,1,0,3
