"date","epu_index_rel","Tema_std 0","Tema_std 1","Tema_std 2","Tema_std 3","Tema_std 4","Tema_std 5","Tema_std 6","Tema_std 7","Tema_std 8"
"1-2002",2.790084117076239,1.8281889399515898,1.6530663624886754,0.8006379742855408,1.7199123658414934,1.3979464119145457,3.3952639434773255,0.5752703867658769,1.30655444090258,2.2789467191802273
"2-2002",1.5943337811864224,0.0,0.5510221208295585,1.2009569614283113,0.6879649463365973,1.6775356942974549,0.48503770621104647,0.8629055801488155,0.8710362939350534,1.1394733595901136
"3-2002",1.6740504702457435,0.9140944699757949,0.5510221208295585,0.0,0.6879649463365973,1.6775356942974549,1.4551131186331394,1.4381759669146923,0.4355181469675267,0.5697366797950568
"4-2002",2.2320672936609913,2.285236174939487,0.0,1.6012759485710817,1.7199123658414934,1.957124976680364,0.0,1.1505407735317539,0.8710362939350534,0.5697366797950568
"5-2002",2.630650738957597,0.0,0.5510221208295585,0.8006379742855408,1.3759298926731947,3.3550713885949097,0.48503770621104647,2.588716740446446,0.8710362939350534,1.1394733595901136
"6-2002",4.384417898262662,1.3711417049636925,0.5510221208295585,1.6012759485710817,4.471772151187882,3.3550713885949097,3.8803016496883718,3.7392575139782003,0.4355181469675267,0.0
"7-2002",4.384417898262662,1.8281889399515898,0.0,1.2009569614283113,3.439824731682987,3.914249953360728,3.8803016496883718,3.7392575139782003,0.4355181469675267,1.1394733595901136
"8-2002",3.268384251432166,0.0,0.5510221208295585,0.4003189871427704,2.7518597853463893,4.193839235743638,2.910226237266279,1.4381759669146923,1.7420725878701069,0.5697366797950568
"9-2002",2.630650738957597,0.45704723498789745,1.6530663624886754,0.8006379742855408,2.063894839009792,2.5163035414461823,0.9700754124220929,1.725811160297631,1.30655444090258,0.5697366797950568
"10-2002",2.072633915542349,0.9140944699757949,0.0,0.8006379742855408,1.3759298926731947,1.3979464119145457,0.48503770621104647,2.3010815470635078,1.7420725878701069,0.0
"11-2002",1.7537671593050648,0.0,0.5510221208295585,0.4003189871427704,1.3759298926731947,0.27958928238290914,1.4551131186331394,2.3010815470635078,1.30655444090258,0.5697366797950568
"12-2002",1.7537671593050648,1.3711417049636925,0.0,1.6012759485710817,0.34398247316829866,1.3979464119145457,0.9700754124220929,1.1505407735317539,0.8710362939350534,0.5697366797950568
"1-2003",1.8334838483643858,0.0,0.5510221208295585,0.0,1.3759298926731947,2.236714259063273,0.48503770621104647,0.8629055801488155,2.1775907348376333,0.5697366797950568
"2-2003",1.5943337811864224,0.9140944699757949,0.5510221208295585,0.4003189871427704,0.0,1.1183571295316366,0.0,2.3010815470635078,0.8710362939350534,1.1394733595901136
"3-2003",3.0292341842542028,0.45704723498789745,0.5510221208295585,0.8006379742855408,1.7199123658414934,3.914249953360728,0.9700754124220929,2.0134463536805693,2.61310888180516,0.0
"4-2003",2.710367428016918,0.45704723498789745,0.0,0.8006379742855408,2.4078773121780905,1.957124976680364,0.9700754124220929,2.3010815470635078,0.4355181469675267,3.418420078770341
"5-2003",2.1523506046016703,0.45704723498789745,1.102044241659117,0.0,1.3759298926731947,2.236714259063273,0.48503770621104647,2.0134463536805693,1.30655444090258,0.5697366797950568
"6-2003",1.1160336468304957,1.3711417049636925,1.102044241659117,0.0,1.3759298926731947,0.8387678471487274,0.0,0.28763519338293847,0.4355181469675267,0.0
"7-2003",0.9566002687118534,1.3711417049636925,0.0,0.0,0.34398247316829866,0.8387678471487274,0.0,0.5752703867658769,0.4355181469675267,1.1394733595901136
"8-2003",1.8334838483643858,0.0,0.5510221208295585,1.6012759485710817,0.6879649463365973,1.3979464119145457,0.9700754124220929,1.4381759669146923,0.8710362939350534,1.1394733595901136
"9-2003",1.195750335889817,0.45704723498789745,0.5510221208295585,0.8006379742855408,0.6879649463365973,0.5591785647658183,0.0,1.725811160297631,0.0,0.5697366797950568
"10-2003",1.1160336468304957,0.0,1.102044241659117,0.4003189871427704,0.6879649463365973,1.3979464119145457,0.0,0.28763519338293847,0.8710362939350534,0.5697366797950568
"11-2003",1.0363169577711746,0.45704723498789745,1.102044241659117,0.0,0.0,0.27958928238290914,0.48503770621104647,0.8629055801488155,0.0,2.848683398975284
"12-2003",1.355183714008459,1.3711417049636925,2.204088483318234,0.4003189871427704,1.7199123658414934,0.27958928238290914,0.48503770621104647,0.5752703867658769,0.0,0.0
"1-2004",0.9566002687118534,0.0,0.0,1.2009569614283113,1.031947419504896,0.8387678471487274,0.9700754124220929,0.28763519338293847,0.0,0.0
"2-2004",1.8334838483643858,0.9140944699757949,1.6530663624886754,0.8006379742855408,0.34398247316829866,1.6775356942974549,0.48503770621104647,1.4381759669146923,1.30655444090258,0.0
"3-2004",1.5146170921271014,0.9140944699757949,0.5510221208295585,1.6012759485710817,1.7199123658414934,0.5591785647658183,0.0,1.1505407735317539,0.4355181469675267,0.0
"4-2004",1.355183714008459,0.9140944699757949,1.102044241659117,1.2009569614283113,0.34398247316829866,0.8387678471487274,0.48503770621104647,0.8629055801488155,0.8710362939350534,0.0
"5-2004",1.5146170921271014,0.45704723498789745,1.102044241659117,0.8006379742855408,1.7199123658414934,0.5591785647658183,0.9700754124220929,1.1505407735317539,0.4355181469675267,0.0
"6-2004",1.4349004030677803,0.0,1.102044241659117,0.8006379742855408,2.4078773121780905,0.5591785647658183,0.0,0.8629055801488155,0.4355181469675267,0.5697366797950568
"7-2004",1.9132005374237069,0.0,1.6530663624886754,1.2009569614283113,2.4078773121780905,0.8387678471487274,0.9700754124220929,0.8629055801488155,0.8710362939350534,0.5697366797950568
"8-2004",1.6740504702457435,1.3711417049636925,0.5510221208295585,0.4003189871427704,2.063894839009792,0.5591785647658183,1.4551131186331394,0.28763519338293847,0.8710362939350534,1.1394733595901136
"9-2004",1.275467024949138,0.9140944699757949,1.102044241659117,1.2009569614283113,0.6879649463365973,0.27958928238290914,0.48503770621104647,1.1505407735317539,0.4355181469675267,0.0
"10-2004",2.1523506046016703,1.8281889399515898,1.102044241659117,1.6012759485710817,2.7518597853463893,0.0,1.4551131186331394,0.8629055801488155,0.4355181469675267,1.1394733595901136
"11-2004",2.072633915542349,0.9140944699757949,0.5510221208295585,1.2009569614283113,1.7199123658414934,0.8387678471487274,0.0,1.725811160297631,1.30655444090258,1.7092100393851706
"12-2004",1.195750335889817,0.9140944699757949,1.102044241659117,0.8006379742855408,0.34398247316829866,0.0,0.9700754124220929,0.8629055801488155,0.8710362939350534,0.5697366797950568
"1-2005",1.275467024949138,0.9140944699757949,0.5510221208295585,0.4003189871427704,0.34398247316829866,1.1183571295316366,0.48503770621104647,1.1505407735317539,0.8710362939350534,0.0
"2-2005",1.1160336468304957,0.45704723498789745,0.5510221208295585,0.4003189871427704,0.6879649463365973,0.8387678471487274,0.48503770621104647,1.1505407735317539,0.0,0.5697366797950568
"3-2005",1.4349004030677803,0.9140944699757949,0.5510221208295585,0.4003189871427704,1.3759298926731947,1.1183571295316366,0.48503770621104647,0.8629055801488155,0.8710362939350534,0.0
"4-2005",1.1160336468304957,0.45704723498789745,0.0,0.4003189871427704,0.6879649463365973,0.5591785647658183,0.0,1.1505407735317539,0.8710362939350534,1.1394733595901136
"5-2005",1.6740504702457435,1.3711417049636925,0.0,0.8006379742855408,0.34398247316829866,0.27958928238290914,0.0,3.7392575139782003,0.0,0.5697366797950568
"6-2005",1.355183714008459,0.0,1.6530663624886754,2.001594935713852,0.34398247316829866,0.27958928238290914,0.0,1.725811160297631,0.0,0.5697366797950568
"7-2005",0.7971668905932112,0.9140944699757949,0.5510221208295585,0.0,0.0,0.0,0.48503770621104647,0.8629055801488155,0.8710362939350534,0.5697366797950568
"8-2005",1.5146170921271014,1.3711417049636925,0.0,2.4019139228566226,0.6879649463365973,0.0,0.48503770621104647,1.4381759669146923,0.4355181469675267,0.5697366797950568
"9-2005",2.072633915542349,1.3711417049636925,1.102044241659117,0.8006379742855408,2.063894839009792,1.1183571295316366,0.0,1.1505407735317539,1.7420725878701069,0.5697366797950568
"10-2005",1.4349004030677803,1.3711417049636925,0.5510221208295585,0.0,1.3759298926731947,1.1183571295316366,0.9700754124220929,0.5752703867658769,0.8710362939350534,0.0
"11-2005",1.9929172264830282,2.285236174939487,0.5510221208295585,0.4003189871427704,1.031947419504896,0.8387678471487274,1.4551131186331394,1.725811160297631,0.4355181469675267,1.1394733595901136
"12-2005",2.1523506046016703,0.45704723498789745,0.5510221208295585,0.0,1.7199123658414934,1.1183571295316366,0.9700754124220929,3.451622320595262,0.4355181469675267,0.5697366797950568
"1-2006",1.5943337811864224,2.285236174939487,0.5510221208295585,0.4003189871427704,1.031947419504896,1.3979464119145457,0.0,0.5752703867658769,0.8710362939350534,0.5697366797950568
"2-2006",0.7174502015338902,0.45704723498789745,0.5510221208295585,0.0,0.34398247316829866,1.3979464119145457,0.0,0.28763519338293847,0.0,0.0
