"newspaper","date","epu_uruguay","eu_uruguay","pol_impositiva","pol_gasto_gub","pol_fiscal","pol_monetaria","pol_salud","pol_seguridad_nacional","pol_regulacion_financiera","pol_regulacion","pol_deuda_crisis","pol_prog_derechos","pol_comercial"
"EPU Final","1-2002",122.44053351827516,130.18854523070235,144.90604288256847,206.1939789664523,181.61658884493457,116.69444221543759,62.73833276368836,129.06680719918543,30.183273548269856,23.862105205626012,160.48807522702583,134.64026855730745,73.93958080736921
"EPU Final","02-2002",105.84279275105295,106.08871279334558,283.3962795386758,219.9592307851151,215.26787208600032,98.55048015750094,133.85333058330195,19.66902080245414,32.19827109177775,101.82043786636368,88.77143755907278,114.25008976493018,94.65083355285881
"EPU Final","03-2002",78.75803049495948,83.43574851152457,154.12128946560188,93.43248681850129,108.96567796353219,47.73676246701429,123.19043814700501,108.61299961761961,59.26664814520445,163.991306919512,70.02841248606757,87.12330089725694,72.59237658079427
"EPU Final","04-2002",78.29192812624181,80.47135102028473,67.17633080410387,102.94148874494073,74.83982683806205,72.13045821346377,116.33830893434649,51.285850159580285,55.97010389062926,44.248497608191656,104.71101826981693,73.76586142119861,13.710925068481352
"EPU Final","05-2002",111.83450780271022,107.55336606481698,145.89901449611727,206.37848405423736,206.3048535851873,94.89907532552056,116.61830486439304,102.81856361716096,56.104809315155435,88.70998437454548,88.38992029261637,108.07111808880038,96.20746579339922
"EPU Final","06-2002",164.9200794384583,158.4858772818293,195.57648448127364,196.44385249394324,317.2191611767302,180.66166190230243,239.08670561425316,140.5299775754289,86.26806514556897,272.80508763866186,232.18027659511716,174.91860547657075,84.53191220263543
"EPU Final","07-2002",156.91764623731905,157.3951179450942,129.91488373955337,155.12921689296684,157.89339575206168,175.95500627351993,429.5285010950871,72.13358072255024,147.6037248023243,233.38327463670527,267.42241661346196,134.6777274754179,57.853274370848276
"EPU Final","08-2002",143.86141793196933,153.58073967367747,131.1885590703333,62.66003662735523,119.58102766516437,158.47140072169958,61.96279497590192,91.050965863023,149.05082014352357,94.26853838266918,170.24525968124698,132.9759174114584,102.23581083671964
"EPU Final","09-2002",130.99325682075408,125.66375141919666,44.95812819481938,59.05213414345556,50.08696498883692,126.71847605062815,77.86005196222062,228.82224522190884,112.37489792931106,207.29484966794232,118.0268191159575,140.5095143296174,0.0
"EPU Final","10-2002",136.51304639989928,141.19565118461753,117.86810649777468,96.76174692454936,123.10737708551676,118.65061550516452,229.64410270689717,224.9663674719873,110.48127142391984,87.34359835929774,137.7950682760782,134.40823017978516,90.21485451852263
"EPU Final","11-2002",87.11566219452936,94.36888823322352,73.28167045549834,77.00390043361728,36.73874946339387,70.81744961057332,0.0,89.5151664388274,73.26835496211761,115.84808331364164,64.92943431133557,85.42209809618878,35.89691120600827
"EPU Final","12-2002",129.18472226516565,136.68617394463757,101.42547512136967,190.3164758257061,169.49418576880106,140.0212442326095,301.11800520655805,132.74297208574953,144.86720830935525,114.52821908117134,121.24719096068665,128.50916362994738,88.71983880407794
"EPU Final","01-2003",122.28220524217394,120.8521070911608,121.06272885537663,106.0099369671457,67.43680069771048,113.7420167242898,279.5475327182037,349.16294428356565,33.62242539006791,132.90504269575837,112.56169506975286,122.71212938048656,65.89154181949019
"EPU Final","02-2003",87.43365032637566,87.72784893372652,85.73730882505392,112.61525479655927,107.45802766948758,40.27636955848192,0.0,240.00625383668753,35.71738754409666,0.0,56.27070257647922,108.63177949923904,139.99428701178712
"EPU Final","03-2003",128.65973522079074,121.60115265287472,50.755449940878485,116.6670205775995,148.43232322882307,122.62177896288838,0.0,426.24239910406726,63.43278440937982,75.22244593392581,93.68880582036252,118.97109444598445,46.61714523283659
"EPU Final","04-2003",122.91999768298187,109.25779240737155,53.06579759110339,191.67910208695224,155.1888443430796,122.86161530154268,0.0,263.3354534746776,33.1600971130115,209.72403133783016,117.5441347561305,134.4719609669733,97.47824109853455
"EPU Final","05-2003",100.2670488616756,98.95080426121186,62.341670632596404,49.13116508281262,83.34435261511454,90.36798884129976,64.77928565662474,171.34136303314324,31.16517148455493,49.27673597275889,79.78578784434616,91.6270009436392,152.68984735354232
"EPU Final","06-2003",85.84972724329896,84.56289020390716,49.107401105588885,96.7532553276275,112.8385256664923,108.75351940708124,63.784430457861305,37.49110415351504,30.686548842185722,72.77994439855482,90.64669453001287,77.77571458955316,30.0689791541333
"EPU Final","07-2003",69.3185220150499,66.79514156322793,49.564112984781694,32.55102877054371,51.76725179038892,84.81837511853911,64.37764261003805,56.75967207652398,92.91582570151627,122.42802870114146,54.89383972557113,69.07916347371155,30.34862865025234
"EPU Final","08-2003",86.84044757544532,81.81968368828996,74.51116319549739,146.80470631934958,114.14070128448112,100.00777578531178,64.52051354348244,75.84751563769264,31.040676791540726,24.539945744090314,61.12851511581576,97.55484172281122,106.4559308579424
"EPU Final","09-2003",75.55829129003024,79.94578279179014,38.135767987154836,83.48503289855485,31.864730906687367,81.89641757176099,0.0,77.6394605777926,31.7740321723495,100.47886917116851,56.31544302605162,77.3106857826479,46.70186516965229
"EPU Final","10-2003",78.64509850322933,80.46011953426694,37.48853297888691,65.65450912361563,41.765236102795235,95.6014483707423,194.77184057186145,57.24133074979506,31.234767669201094,49.38677781280524,49.20859117675137,82.33179441338784,45.90924753836743
"EPU Final","11-2003",60.114152515611934,58.35491611011123,22.924163686939178,0.0,57.463558152903644,41.53743690288338,119.10259484921419,17.501480206034568,0.0,22.649937632706052,39.49437983988244,60.99578737470587,112.29365586607094
"EPU Final","12-2003",74.46502276600413,71.07092161254867,85.19034034770111,47.95577835834343,30.506425717972554,63.7043876680295,126.45908396125786,37.164952747220866,91.25877965812256,144.29360007334182,65.89595433298224,58.59532348746833,89.42218811518458
"EPU Final","01-2004",60.08953574554001,61.76225620383648,34.37216434878288,60.196742804166824,47.8666890019239,78.42747379920611,119.05382228785089,122.46019339906334,0.0,45.281324947940604,67.6769260717115,55.164065805769724,56.12383578400474
"EPU Final","02-2004",87.68815767256899,91.59465921498851,110.10514911201722,128.55307907982106,112.44381285261738,93.5949466121959,63.56131045625969,112.07987717428172,91.73761890425176,48.35023853208174,72.263687567608,89.90423704308104,14.981898446058109
"EPU Final","03-2004",73.7868010988902,73.17973296932007,33.32148683593798,29.178333848307933,55.684218122762125,93.91956918877443,57.70731123996264,135.67642138286743,55.52572037422886,43.897179643855075,65.60819907388624,53.47782798637939,27.204130008840725
"EPU Final","04-2004",76.30088340234171,82.55250665011968,114.85608284035003,60.34501064358595,67.17842215097595,32.37320673050394,0.0,157.8366250600876,0.0,90.78571060991045,45.229078671899146,64.03150702940914,70.32758979091727
"EPU Final","05-2004",72.7028800779234,76.11054803869416,103.96799175028215,106.21419503451978,48.261954807059524,51.1662408605983,120.03692569237481,52.91632516465366,57.74950025709435,114.13810437951172,51.17683323713444,55.61959070920301,113.1745722415686
"EPU Final","06-2004",85.2343291985054,87.93885337115225,155.1307663044474,72.77249798404722,37.03459945907269,102.61986006770437,172.71055486748423,50.75775823714501,0.0,65.68930427101245,76.36101480328952,78.62216078239314,67.84871632897999
"EPU Final","07-2004",88.79213008902921,89.27985180530901,121.45554837371819,130.52525782852982,92.2576594654287,128.9307033639486,57.36571310712941,33.71832137563566,55.19703615733328,65.45599577123379,92.39476154107574,81.14088007795041,67.60773825204203
"EPU Final","08-2004",88.02318250561397,92.52971144157588,137.3199596559964,105.21504309758974,76.49273098908674,124.4084459876544,178.36161596744284,122.30993549305222,0.0,113.06441260007256,56.32823908218114,78.29485555564786,70.06871522726972
"EPU Final","09-2004",60.96901266598138,67.38302714103054,56.25038556475525,118.21507513291144,47.00058485834264,72.47849420001846,175.3494777002001,103.06661805290804,0.0,88.924001224665,38.763884675976286,68.4201123472489,27.554163044740562
"EPU Final","10-2004",93.2384332765337,92.63945990264098,85.33417241299051,112.0857384123335,62.389110316346716,115.96593611887724,0.0,114.00983312257442,53.324166840519446,63.23503365776073,84.0091770070502,78.38772021255294,52.25101295636278
"EPU Final","11-2004",89.6935490773892,80.23975814474247,57.006808842520904,44.92678665274308,47.632622063039186,100.99807283159663,0.0,156.67889920390115,56.99645053899043,270.3594022564082,78.57031881756564,75.11853614163626,83.77408739886282
"EPU Final","12-2004",78.45882311865952,84.88725462207326,82.67310783426122,93.0775301357801,59.21002340702312,66.57756994133186,61.361214442155294,108.20037108382536,29.520744960464857,140.02996478202314,81.38943114322754,74.82095970856551,86.77991155627241
"EPU Final","01-2005",60.237539528164504,60.19453609904561,68.91364970421002,60.34501064358595,105.56609195153365,46.2474381864342,0.0,52.61220835336254,86.12640986618382,68.08928295743286,28.268174169936966,61.120983982617815,84.39310774910072
"EPU Final","02-2005",69.13481568462132,68.46862604340205,74.1491389926924,81.16190698309154,51.63005942698682,74.6414042107909,64.20703048297965,56.60924891731058,30.889860782394546,24.42071455893793,60.831512613044566,68.89609148570702,30.268199422380647
"EPU Final","03-2005",75.75456833755439,78.91556595320671,58.557852197382296,76.91526053148564,58.71433463844194,80.16738845444173,60.84751653975133,35.764849881063526,87.82081809712172,92.57178361060775,63.41347802910264,83.0979305046223,28.684471951557047
"EPU Final","04-2005",59.698391493331464,52.83797033657478,56.91403942210998,44.853675527189395,47.55510762518234,73.33361068976645,118.27885843243767,121.66305625732818,56.903697975053916,89.97314525864194,56.03032732137222,63.45840159627367,69.69813211174714
"EPU Final","05-2005",68.77741899477112,67.5732211692512,57.85554545059815,15.19855727127537,48.34179261484622,65.22839668776476,0.0,53.00386250983919,86.76754939372364,91.46153475837134,68.34865734785753,90.89787361517521,70.85112023601096
"EPU Final","06-2005",73.83829610706545,68.37274112596613,79.90721846567313,29.987851066457644,66.76729349644121,96.52525287087832,118.61666014970699,69.72029895215077,114.13242727269075,112.78763313226332,67.42841838723764,86.78132364729092,83.87662606152972
"EPU Final","07-2005",76.57978329096402,82.41166034210563,56.160059775008556,0.0,28.155067332645086,81.40737332793123,116.71193658246963,85.75092971282695,56.14985532825472,88.78120876986829,71.87447126564142,79.69528541772087,55.01983419692476
"EPU Final","08-2005",74.70617040518665,79.1432341186487,123.7011091555474,103.39661590579057,93.96338789605961,76.97744815822399,0.0,51.51259628166847,56.217560137734125,222.22065016654128,55.35472048068043,85.49076537761657,55.08617644073134
"EPU Final","09-2005",83.34266165691521,92.00806638569757,116.534782120031,111.32180683663412,70.81587552757178,106.64403580287174,55.04154373853309,16.176112526668074,79.44109596138726,41.869365968523645,83.4366040475171,83.22266505168257,64.86861368067946
"EPU Final","10-2005",78.4418993000403,76.14630268609133,89.74001283648731,78.58184921299468,49.988790253470356,80.29847428521292,51.804959733950795,106.57440922327609,74.76975567855445,19.703669907852987,83.43846248933926,80.8556994096498,36.632503648754344
"EPU Final","11-2005",91.17741128736854,86.23130282025609,108.65608458217189,57.0875518166118,27.236610767230644,105.00233887890056,112.90463457356577,33.181447132373115,54.31817072725535,85.88504506630754,117.66586330992325,74.34210556643069,119.75627794765595
