"newspaper","date","epu_news_rel","eu_news_rel","pol_impositiva_rel","pol_gasto_gub_rel","pol_fiscal_rel","pol_monetaria_rel","pol_salud_rel","pol_seguridad_nacional_rel","pol_regulacion_financiera_rel","pol_regulacion_rel","pol_deuda_crisis_rel","pol_prog_derechos_rel","pol_comercial_rel"
"el_observador","01-2002",0.025032369443245578,0.03107466551575313,0.005179110919292188,0.0056107034958998705,0.007768666378938282,0.010358221838584376,0.00043159257660768235,0.0030211480362537764,0.00043159257660768235,0.00043159257660768235,0.011652999568407424,0.018990073370738023,0.0021579628830384117
"el_observador","02-2002",0.0216390423572744,0.02532228360957643,0.010128913443830571,0.005985267034990792,0.009208103130755065,0.008747697974217311,0.0009208103130755065,0.00046040515653775324,0.00046040515653775324,0.001841620626151013,0.006445672191528545,0.016114180478821363,0.0027624309392265192
"el_observador","03-2002",0.016101694915254237,0.019915254237288134,0.005508474576271186,0.002542372881355932,0.004661016949152543,0.00423728813559322,0.000847457627118644,0.002542372881355932,0.000847457627118644,0.0029661016949152543,0.005084745762711864,0.01228813559322034,0.00211864406779661
"el_observador","04-2002",0.01600640256102441,0.01920768307322929,0.0024009603841536613,0.0028011204481792717,0.003201280512204882,0.006402561024409764,0.0008003201280512205,0.0012004801920768306,0.0008003201280512205,0.0008003201280512205,0.007603041216486595,0.010404161664665866,0.00040016006402561027
"el_observador","05-2002",0.02286401925391095,0.025671881267549136,0.005214600882470918,0.005615724027276374,0.008824709185720016,0.00842358604091456,0.0008022462896109105,0.0024067388688327317,0.0008022462896109105,0.001604492579221821,0.006417970316887284,0.0152426795026073,0.002807862013638187
"el_observador","06-2002",0.033717105263157895,0.03782894736842105,0.0069901315789473685,0.005345394736842105,0.013569078947368422,0.016036184210526317,0.001644736842105263,0.003289473684210526,0.0012335526315789473,0.004934210526315789,0.016858552631578948,0.024671052631578948,0.0024671052631578946
"el_observador","07-2002",0.03208104685521317,0.0375685943436049,0.004643309413254538,0.004221190375685944,0.006753904601097509,0.01561840439003799,0.0029548332629801602,0.0016884761502743773,0.002110595187842972,0.004221190375685944,0.019417475728155338,0.018995356690586745,0.0016884761502743773
"el_observador","08-2002",0.029411764705882353,0.03665814151747655,0.004688832054560955,0.0017050298380221654,0.005115089514066497,0.014066496163682864,0.00042625745950554135,0.002131287297527707,0.002131287297527707,0.0017050298380221654,0.0123614663256607,0.01875532821824382,0.0029838022165387893
"el_observador","09-2002",0.02678093197643278,0.029994643813604713,0.0016068559185859668,0.0016068559185859668,0.0021424745581146223,0.011247991430101767,0.0005356186395286556,0.005356186395286556,0.0016068559185859668,0.003749330476700589,0.00856989823245849,0.01981788966256026,0.0
"el_observador","10-2002",0.027909426013691417,0.03370194839389152,0.00421274354923644,0.0026329647182727752,0.0052659294365455505,0.010531858873091101,0.001579778830963665,0.0052659294365455505,0.001579778830963665,0.001579778830963665,0.010005265929436546,0.018957345971563982,0.0026329647182727752
"el_observador","11-2002",0.0178103719224725,0.022524882137244632,0.0026191723415400735,0.0020953378732320588,0.001571503404924044,0.006286013619696176,0.0,0.0020953378732320588,0.0010476689366160294,0.0020953378732320588,0.004714510214772132,0.012048192771084338,0.0010476689366160294
"el_observador","12-2002",0.02641118591403418,0.03262558259968928,0.0036250647332988087,0.005178663904712584,0.0072501294665976174,0.012428793371310202,0.0020714655618850335,0.0031071983428275505,0.0020714655618850335,0.0020714655618850335,0.008803728638011392,0.018125323666494046,0.002589331952356292
"el_observador","01-2003",0.025,0.028846153846153848,0.004326923076923077,0.0028846153846153848,0.0028846153846153848,0.010096153846153847,0.0019230769230769232,0.008173076923076924,0.0004807692307692308,0.002403846153846154,0.008173076923076924,0.01730769230769231,0.0019230769230769232
"el_observador","02-2003",0.01787538304392237,0.02093973442288049,0.0030643513789581204,0.0030643513789581204,0.004596527068437181,0.003575076608784474,0.0,0.0056179775280898875,0.0005107252298263534,0.0,0.0040858018386108275,0.015321756894790603,0.0040858018386108275
"el_observador","03-2003",0.026303854875283448,0.029024943310657598,0.0018140589569160999,0.0031746031746031746,0.006349206349206349,0.010884353741496598,0.0,0.009977324263038548,0.0009070294784580499,0.0013605442176870747,0.006802721088435374,0.016780045351473923,0.0013605442176870747
"el_observador","04-2003",0.025130393551446185,0.026078710289236605,0.001896633475580844,0.005215742057847321,0.006638217164532954,0.010905642484589853,0.0,0.006164058795637743,0.000474158368895211,0.003793266951161688,0.008534850640113799,0.01896633475580844,0.002844950213371266
"el_observador","05-2003",0.020499108734402853,0.023618538324420676,0.0022281639928698753,0.001336898395721925,0.0035650623885918,0.008021390374331552,0.000445632798573975,0.004010695187165776,0.000445632798573975,0.00089126559714795,0.005793226381461676,0.012923351158645277,0.004456327985739751
"el_observador","06-2003",0.017551557700745943,0.020184291355857833,0.0017551557700745941,0.0026327336551118913,0.004826678367705134,0.009653356735410267,0.00043878894251864854,0.0008775778850372971,0.00043878894251864854,0.0013163668275559457,0.006581834137779728,0.010969723562966213,0.0008775778850372971
"el_observador","07-2003",0.0141718334809566,0.015943312666076175,0.001771479185119575,0.0008857395925597874,0.0022143489813994687,0.007528786536758193,0.0004428697962798937,0.001328609388839681,0.001328609388839681,0.0022143489813994687,0.003985828166519044,0.00974313551815766,0.0008857395925597874
"el_observador","08-2003",0.01775410563692854,0.019529516200621395,0.002663115845539281,0.0039946737683089215,0.004882379050155349,0.00887705281846427,0.0004438526409232135,0.001775410563692854,0.0004438526409232135,0.0004438526409232135,0.004438526409232135,0.013759431868619618,0.0031069684864624943
