"newspaper","date","epu_news_std","eu_news_std","pol_impositiva_std","pol_gasto_gub_std","pol_fiscal_std","pol_monetaria_std","pol_salud_std","pol_seguridad_nacional_std","pol_regulacion_financiera_std","pol_regulacion_std","pol_deuda_crisis_std","pol_prog_derechos_std","pol_comercial_std"
"el_observador","01-2002",3.8290519631890056,4.170950785438976,2.6090243132738182,3.2604120128449363,2.915116373510277,2.9833950358728853,0.6309815324760196,1.989246724316549,0.2920720540393421,0.4136275903828422,2.931604264858544,3.8421398054832374,1.0983811985607992
"el_observador","02-2002",3.309994996978151,3.3988458751689166,5.102532433426167,3.478073035801896,3.4552509911107596,2.5195288456152554,1.3462101388093346,0.3031494777848885,0.3115704186045837,1.7649634013205255,1.6215704785396878,3.2602788331414607,1.4060493022460616
"el_observador","03-2002",2.4629800493201284,2.673095395383233,2.774944256360193,1.4773874772676108,1.74900120083937,1.220431902916221,1.2389696701245232,1.6740016925816381,0.5735008044145387,2.84263808831327,1.2791953072838504,2.486179699054653,1.0783683207904118
"el_observador","04-2002",2.448403747349678,2.57812270771298,1.2095056690387027,1.6277471738335956,1.2012493241604754,1.8440779773556024,1.1700553907538516,0.7904449768892889,0.5416013999272955,0.7670069042953545,1.9127356802256856,2.1050073316774087,0.20367740992920144
"el_observador","05-2002",3.4973723925364038,3.445770101123004,2.6269027055796452,3.263329472450987,3.3113861484002514,2.4261775013448816,1.172871408541466,1.584694743077684,0.5429048930679147,1.5377057792491702,1.6146013772910213,3.0839536275533046,1.4291732578786684
"el_observador","06-2002",5.157504102584307,5.077534226672799,3.521342471064365,3.106239569803338,5.09166468007514,4.618772711529974,2.4045792939916733,2.1659232425946637,0.8347832432678729,4.7288246393933155,4.241191678069675,4.991535920288947,1.2557315314467294
"el_observador","07-2002",4.9072460248168035,5.042588728939353,2.339109422836985,2.4529579614123835,2.5343369025555322,4.498442961698793,4.319919575866847,1.1117613604875942,1.4283050848652505,4.045483862039027,4.884952953381695,3.843208745718463,0.8594172180887705
"el_observador","08-2002",4.498941885755033,4.920384551767436,2.3620418681589164,0.9908026275508843,1.9193875070824988,4.051459360576099,0.6231816755102034,1.4033262270860567,1.4423080758933413,1.634058187411842,3.1098368439367268,3.794645323659276,1.5187250349068715
"el_observador","09-2002",4.096519124683212,4.025986477952434,0.8094683093004066,0.9337531993442855,0.8039427051625677,3.239668190065769,0.7830659939726499,3.526730935987026,1.087409131027031,3.5932650714618735,2.155972808562676,4.009626568927697,0.0
"el_observador","10-2002",4.269138113812833,4.52359392422309,2.122207945885707,1.5300309137930324,1.9759887184551264,3.0334063095126713,2.309611707341133,3.4673020839851385,1.0690852278185714,1.514020737625664,2.5170755475955704,3.8355182806138135,1.3401523101976682
